"","StationaryDistributionINF","StationaryDistributionPER","GOP","Importance","Membership","QuantileDR.10","QuantileDR.25","QuantileDR.35","QuantileDR.45","QuantileDR.50","QuantileDR.65","QuantileDR.75","QuantileDR.85","QuantileDR.95","Ticker","Name"
"VEF.TO",0.011,0.002,0.03,0.587,1,-0.007,-0.003,-0.002,0,0.001,0.003,0.004,0.006,0.01,"VEF.TO","Vanguard FTSE Developed All Cap ex U.S. Index ETF (CAD-hedged)"
"VBU.TO",0.002,0.022,0.009,0.15,1,-0.003,-0.002,-0.001,0,0,0,0.001,0.002,0.003,"VBU.TO","Vanguard U.S. Aggregate Bond Index ETF (CAD-hedged)"
"FDE.TO",0.001,0.017,0.003,0.394,1,-0.005,0,0,0,0,0,0,0,0.013,"FDE.TO","First Trust AlphaDEX Emerging Market Dividend ETF (CAD-Hedged)"
"ZWE.TO",0.003,0.021,0.01,0.178,1,-0.007,-0.004,-0.002,-0.001,0,0.002,0.004,0.006,0.01,"ZWE.TO","BMO Europe High Dividend Covered Call Hedged to CAD ETF"
"ZSU.TO",0.002,0.02,0.007,0.168,1,-0.002,-0.001,0,0,0,0,0,0.001,0.003,"ZSU.TO","BMO Short-Term US IG Corporate Bond Hedged to CAD Index ETF"
"ZEQ.TO",0.003,0.009,0.011,0.402,1,-0.009,-0.004,-0.002,0,0,0.003,0.005,0.007,0.01,"ZEQ.TO","BMO MSCI Europe High Quality Hedged to CAD Index ETF"
"ZDM.TO",0.009,0.002,0.027,0.592,1,-0.008,-0.004,-0.002,0,0.001,0.003,0.005,0.007,0.01,"ZDM.TO","BMO MSCI EAFE Hedged to CAD Index ETF"
"ZDH.TO",0.004,0.018,0.012,0.202,1,-0.008,-0.004,-0.002,0,0,0.003,0.004,0.006,0.009,"ZDH.TO","BMO International Dividend Hedged to CAD ETF"
"XPF.TO",0.002,0.011,0.007,0.285,1,-0.003,-0.001,-0.001,0,0,0.001,0.001,0.002,0.003,"XPF.TO","iShares S&P/TSX North American Preferred Stock Index ETF (CAD-Hedged)"
"XFS.TO",0.001,0,0.006,0.979,1,-0.009,-0.002,0,0,0,0.003,0.004,0.007,0.014,"XFS.TO","iShares Edge MSCI Multifactor USA Index ETF (CAD-Hedged)"
"XFH.TO",0.009,0.002,0.025,0.588,1,-0.009,-0.003,-0.001,0,0.001,0.003,0.005,0.007,0.009,"XFH.TO","iShares Core MSCI EAFE IMI Index ETF (CAD-Hedged)"
"XEB.TO",0.002,0.032,0.007,0.11,1,-0.005,-0.002,-0.001,0,0,0,0.001,0.003,0.006,"XEB.TO","iShares J.P. Morgan USD Emerging Markets Bond Index ETF (CAD-Hedged)"
"CSD.TO",0.001,0.019,0.006,0.173,1,-0.003,-0.001,-0.001,0,0,0.001,0.001,0.002,0.004,"CSD.TO","iShares Short Duration High Income ETF (CAD-Hedged)"
"ZEF.TO",0.002,0.037,0.007,0.076,1,-0.006,-0.003,-0.002,-0.001,-0.001,0.001,0.002,0.004,0.008,"ZEF.TO","BMO Emerging Markets Bond Hedged to CAD Index ETF"
"XHY.TO",0.002,0.027,0.007,0.111,1,-0.005,-0.002,-0.001,0,0,0.001,0.002,0.003,0.005,"XHY.TO","iShares U.S. High Yield Bond Index ETF (CAD-Hedged)"
"XIN.TO",0.014,0.003,0.037,0.548,1,-0.008,-0.003,-0.001,0,0.001,0.003,0.004,0.006,0.01,"XIN.TO","iShares MSCI EAFE Index ETF (CAD-Hedged)"
"ZMT.TO",0.001,0.008,0.005,0.612,1,-0.019,-0.008,-0.004,0,0,0.005,0.009,0.014,0.021,"ZMT.TO","BMO S&P/TSX Equal Weight Global Base Metals Hedged to CAD Index ETF"
"XFF.TO",0.005,0.001,0.015,0.715,1,-0.008,-0.004,-0.002,0,0,0.003,0.005,0.008,0.011,"XFF.TO","iShares Edge MSCI Multifactor EAFE Index ETF (CAD-Hedged)"
"ZMU.TO",0.002,0.031,0.007,0.101,1,-0.005,-0.002,-0.001,-0.001,0,0.001,0.002,0.003,0.005,"ZMU.TO","BMO Mid-Term US IG Corporate Bond Hedged to CAD Index ETF"
"ZHY.TO",0.002,0.037,0.007,0.057,1,-0.004,-0.002,-0.001,0,0,0.001,0.002,0.003,0.006,"ZHY.TO","BMO High Yield US Corporate Bond Hedged to CAD Index ETF"
"FSD.TO",0,0.023,0.002,0.151,1,0,0,0,0,0,0,0,0,0.001,"FSD.TO","First Trust Short Duration High Yield Bond ETF (CAD-Hedged)"
"CHB.TO",0.002,0.03,0.007,0.088,1,-0.005,-0.002,-0.001,-0.001,0,0.001,0.002,0.003,0.006,"CHB.TO","iShares U.S. High Yield Fixed Income Index ETF (CAD-Hedged)"
"FSL.TO",0.001,0.015,0.005,0.252,1,-0.003,-0.001,-0.001,0,0,0.001,0.001,0.002,0.003,"FSL.TO","First Trust Senior Loan ETF (CAD-Hedged)"
"FUD.TO",0,0.003,0.002,0.572,1,0,0,0,0,0,0,0,0,0.008,"FUD.TO","First Trust AlphaDEX U.S. Dividend ETF (CAD-Hedged)"
"ZLD.TO",0.002,0.004,0.009,0.575,1,-0.008,-0.002,0,0,0,0.003,0.004,0.006,0.011,"ZLD.TO","BMO Low Volatility International Equity Hedged to CAD ETF"
"VBG.TO",0.002,0.012,0.008,0.3,1,-0.002,-0.001,0,0,0,0,0.001,0.002,0.003,"VBG.TO","Vanguard Global ex-U.S. Aggregate Bond Index ETF (CAD-hedged)"
"XCD.TO",0.002,0,0.007,1.002,1,-0.01,-0.003,0,0,0,0.003,0.006,0.009,0.013,"XCD.TO","iShares S&P Global Consumer Discretionary Index ETF (CAD-Hedged)"
"EUR.TO",0.001,0.005,0.005,0.448,1,-0.007,0,0,0,0,0,0,0.006,0.012,"EUR.TO","First Trust AlphaDEX European Dividend Index ETF (CAD-Hedged)"
"XEH.TO",0.005,0.003,0.016,0.489,1,-0.008,-0.004,-0.002,0,0.001,0.003,0.004,0.007,0.01,"XEH.TO","iShares MSCI Europe IMI Index ETF (CAD-Hedged)"
"XIG.TO",0.002,0.026,0.008,0.139,1,-0.004,-0.002,-0.001,0,0,0.001,0.002,0.003,0.004,"XIG.TO","iShares U.S. IG Corporate Bond Index ETF (CAD-Hedged)"
"XGI.TO",0.002,0.002,0.008,0.595,1,-0.011,-0.002,0,0,0,0.002,0.005,0.008,0.013,"XGI.TO","iShares S&P Global Industrials Index ETF (CAD-Hedged)"
"MEUD.PA",0.001,0.004,0.006,0.498,1,-0.008,-0.003,-0.002,0,0.001,0.003,0.004,0.006,0.01,"MEUD.PA","LYXOR STOXX600 EUR"
"^SPEUP",0.002,0.011,0.007,0.285,1,-0.008,-0.003,-0.002,0,0,0.003,0.004,0.006,0.01,"^SPEUP","^SPEUP"
"SC01.DE",0.001,0.013,0.003,0.282,1,-0.002,0,0,0,0,0,0,0.002,0.009,"SC01.DE","Source Markets plc - Source STOXX Europe 600 Optimised Construction & Materials UCITS ETF"
"S600.L",0.001,0.007,0.006,0.414,1,-0.007,-0.001,0,0,0,0,0.001,0.006,0.011,"S600.L","Source Markets plc - Source STOXX Europe 600 UCITS ETF"
"S600.SW",0.001,0.001,0.006,0.687,1,-0.006,0,0,0,0,0,0.001,0.004,0.01,"S600.SW","Source Markets plc - Source STOXX Europe 600 UCITS ETF"
"^FTSE",0.002,0.006,0.007,0.456,1,-0.009,-0.004,-0.001,0,0.001,0.003,0.004,0.006,0.01,"^FTSE","^FTSE"
"PHR.TO",0.001,0.018,0.005,0.27,1,-0.007,-0.003,-0.001,0,0,0.001,0.003,0.005,0.009,"PHR.TO","Purpose Fund Corp. - Purpose Duration Hedged Real Estate Fund"
"XSH.TO",0.002,0.012,0.007,0.283,1,-0.002,-0.001,-0.001,0,0,0.001,0.001,0.001,0.002,"XSH.TO","iShares Core Canadian Short Term Corporate + Maple Bond Index ETF"
"ZFM.TO",0.002,0.011,0.007,0.307,1,-0.003,-0.002,-0.001,0,0,0.001,0.001,0.002,0.003,"ZFM.TO","BMO Mid Federal Bond Index ETF"
"URTH",0.01,0.001,0.028,0.737,2,-0.007,-0.002,-0.001,0,0.001,0.003,0.004,0.007,0.01,"URTH","iShares, Inc. - iShares MSCI World ETF"
"SPY",0.026,0.001,0.066,0.889,2,-0.007,-0.003,-0.001,0,0.001,0.002,0.005,0.008,0.012,"SPY","SPDR S&P 500 ETF Trust"
"ITOT",0.035,0.001,0.088,0.889,2,-0.007,-0.002,-0.001,0,0.001,0.003,0.005,0.007,0.012,"ITOT","iShares Trust - iShares Core S&P Total U.S. Stock Market ETF"
"IVV",0.034,0.001,0.085,0.904,2,-0.007,-0.002,-0.001,0,0.001,0.003,0.005,0.008,0.012,"IVV","iShares Trust - iShares Core S&P 500 ETF"
"IWV",0.037,0.001,0.092,0.87,2,-0.007,-0.002,-0.001,0,0.001,0.003,0.005,0.007,0.012,"IWV","iShares Trust - iShares Russell 3000 ETF"
"^W5000",0.029,0.001,0.071,0.832,2,-0.007,-0.002,-0.001,0,0.001,0.003,0.005,0.008,0.011,"^W5000","^W5000"
"^GSPC",0.039,0.001,0.099,0.861,2,-0.007,-0.002,-0.001,0,0.001,0.002,0.004,0.008,0.012,"^GSPC","^GSPC"
"^NDX",0.007,0,0.017,1.081,2,-0.012,-0.003,-0.001,0,0.001,0.004,0.007,0.01,0.017,"^NDX","^NDX"
"^DJI",0.01,0,0.028,0.991,2,-0.008,-0.003,-0.001,0,0.001,0.003,0.005,0.008,0.014,"^DJI","^DJI"
"^IXIC",0.008,0,0.019,1.028,2,-0.009,-0.003,-0.001,0,0.001,0.004,0.006,0.009,0.015,"^IXIC","^IXIC"
"^NYA",0.01,0.002,0.029,0.633,2,-0.006,-0.002,-0.001,0,0.001,0.002,0.004,0.006,0.01,"^NYA","^NYA"
"^RUT",0.005,0.003,0.015,0.726,2,-0.009,-0.004,-0.001,0,0.001,0.003,0.005,0.008,0.013,"^RUT","^RUT"
"^RUA",0.005,0.001,0.014,0.838,2,-0.006,-0.002,-0.001,0,0.001,0.002,0.005,0.007,0.011,"^RUA","^RUA"
"^RUI",0.043,0.001,0.108,0.859,2,-0.007,-0.002,-0.001,0,0.001,0.003,0.004,0.008,0.012,"^RUI","^RUI"
"CRBN",0.01,0.001,0.026,0.7,2,-0.008,-0.003,-0.001,0,0.001,0.003,0.005,0.007,0.01,"CRBN","iShares MSCI ACWI Low Carbon Target ETF"
"IEFA",0.004,0.003,0.01,0.538,2,-0.008,-0.004,-0.002,0,0.001,0.003,0.005,0.007,0.01,"IEFA","iShares Core MSCI EAFE ETF"
"IEMG",0.003,0.005,0.008,0.694,2,-0.014,-0.006,-0.003,-0.001,0.001,0.004,0.007,0.011,0.017,"IEMG","iShares, Inc. - iShares Core MSCI Emerging Markets ETF"
"PZD",0.002,0.002,0.007,0.676,2,-0.011,-0.005,-0.002,0,0.001,0.004,0.006,0.009,0.013,"PZD","PowerShares Exchange-Traded Fund Trust - PowerShares Cleantech Portfolio"
"VIDI",0.003,0.011,0.009,0.494,2,-0.01,-0.004,-0.003,-0.001,0,0.003,0.005,0.008,0.012,"VIDI","Vident International Equity"
"VTI",0.033,0.001,0.081,0.877,2,-0.007,-0.002,-0.001,0,0.001,0.002,0.005,0.008,0.012,"VTI","Vanguard Index Funds - Vanguard Total Stock Market ETF"
"^CXKCX",0.007,0.033,0.018,0.127,3,-0.014,-0.007,-0.004,-0.001,0,0.004,0.006,0.01,0.016,"^CXKCX","^CXKCX"
"^FCHI",0.015,0.011,0.036,0.334,3,-0.009,-0.004,-0.002,0,0,0.003,0.005,0.007,0.011,"^FCHI","^FCHI"
"EXH2.F",0.007,0.01,0.019,0.423,3,-0.01,-0.005,-0.002,0,0.001,0.003,0.005,0.007,0.011,"EXH2.F","iShares (DE) I - iShares STOXX Europe 600 Financial Services UCITS ETF (DE)"
"^GDAXI",0.012,0.02,0.033,0.217,3,-0.012,-0.005,-0.002,-0.001,0,0.003,0.005,0.008,0.013,"^GDAXI","^GDAXI"
"C064.F",0.01,0.01,0.026,0.357,3,-0.011,-0.005,-0.002,0,0.001,0.003,0.005,0.008,0.013,"C064.F","ComStage - STOXX Europe 600 Chemicals NR UCITS ETF"
"EXV8.F",0.009,0.034,0.022,0.08,3,-0.011,-0.005,-0.002,0,0,0.003,0.005,0.007,0.012,"EXV8.F","iShares (DE) I - iShares STOXX Europe 600 Construction & Materials UCITS ETF (DE)"
"^N100",0.018,0.011,0.042,0.331,3,-0.008,-0.004,-0.002,0,0.001,0.003,0.004,0.006,0.01,"^N100","^N100"
"EXV7.F",0.009,0.012,0.023,0.305,3,-0.011,-0.005,-0.002,0,0,0.003,0.005,0.009,0.013,"EXV7.F","iShares (DE) I - iShares STOXX Europe 600 Chemicals UCITS ETF (DE)"
"C060.F",0.015,0.015,0.042,0.254,3,-0.009,-0.004,-0.002,0,0.001,0.003,0.004,0.006,0.01,"C060.F","ComStage - STOXX Europe 600 NR UCITS ETF"
"C066.F",0.008,0.008,0.021,0.478,3,-0.01,-0.004,-0.002,0,0,0.004,0.005,0.007,0.011,"C066.F","ComStage - STOXX Europe 600 Financial Services NR UCITS ETF"
"C060.DE",0.018,0.014,0.047,0.276,3,-0.008,-0.004,-0.002,0,0.001,0.002,0.004,0.006,0.009,"C060.DE","ComStage - STOXX Europe 600 NR UCITS ETF"
"C065.F",0.01,0.03,0.025,0.101,3,-0.011,-0.005,-0.002,-0.001,0,0.003,0.005,0.007,0.013,"C065.F","ComStage - STOXX Europe 600 Construction & Materials NR UCITS ETF"
"EXH4.F",0.018,0.01,0.046,0.384,3,-0.01,-0.004,-0.002,0,0.001,0.003,0.005,0.007,0.012,"EXH4.F","iShares (DE) I - iShares STOXX Europe 600 Industrial Goods & Services UCITS ETF (DE)"
"C069.F",0.018,0.008,0.045,0.423,3,-0.01,-0.004,-0.001,0,0.001,0.003,0.005,0.007,0.011,"C069.F","ComStage - STOXX Europe 600 Industrial Goods & Services NR UCITS ETF"
"EXSA.F",0.018,0.017,0.048,0.222,3,-0.009,-0.003,-0.002,0,0.001,0.003,0.004,0.006,0.01,"EXSA.F","iShares STOXX Europe 600 UCITS ETF (DE)"
"SC0C.DE",0.024,0.012,0.056,0.303,3,-0.008,-0.004,-0.002,0,0.001,0.002,0.004,0.006,0.011,"SC0C.DE","Source Markets plc - Source STOXX Europe 600 UCITS ETF"
"EXSA.DE",0.024,0.016,0.057,0.233,3,-0.008,-0.003,-0.002,0,0.001,0.003,0.004,0.006,0.01,"EXSA.DE","iShares STOXX Europe 600 UCITS ETF (DE)"
"VGH.TO",0.01,0,0.031,0.892,4,-0.007,-0.003,-0.001,0.001,0.001,0.003,0.005,0.007,0.011,"VGH.TO","Vanguard U.S. Dividend Appreciation Index ETF (CAD-hedged)"
"CYH.TO",0.002,0.003,0.01,0.487,4,-0.006,-0.003,-0.002,0,0,0.002,0.004,0.005,0.009,"CYH.TO","iShares Global Monthly Dividend Index ETF (CAD-Hedged)"
"ZDJ.TO",0.018,0,0.047,0.976,4,-0.008,-0.003,-0.001,0,0.001,0.003,0.005,0.007,0.013,"ZDJ.TO","BMO Dow Jones Industrial Average Hedged to CAD Index ETF"
"ZLH.TO",0.002,0.003,0.007,0.585,4,-0.007,-0.002,0,0,0,0.002,0.004,0.006,0.01,"ZLH.TO","BMO Low Volatility US Equity Hedged to CAD ETF"
"ZWA.TO",0.018,0.001,0.051,0.785,4,-0.008,-0.003,-0.001,0,0.001,0.003,0.004,0.007,0.013,"ZWA.TO","BMO Covered Call Dow Jones Industrial Average Hedged to CAD ETF"
"ULV.TO",0.004,0.006,0.014,0.45,4,-0.006,-0.001,0,0,0,0.001,0.003,0.005,0.009,"ULV.TO","PowerShares S&P 500 Low Volatility (CAD Hedged) Index ETF"
"ZUE.TO",0.026,0.001,0.066,0.842,4,-0.007,-0.002,-0.001,0,0.001,0.003,0.005,0.007,0.011,"ZUE.TO","BMO S&P 500 Hedged to CAD Index ETF"
"ZUD.TO",0.005,0.002,0.017,0.643,4,-0.007,-0.002,-0.001,0,0,0.002,0.005,0.007,0.009,"ZUD.TO","BMO US Dividend Hedged to CAD ETF"
"ZUB.TO",0.002,0.001,0.007,0.94,4,-0.012,-0.006,-0.003,0,0.001,0.005,0.007,0.012,0.018,"ZUB.TO","BMO Equal Weight US Banks Hedged to CAD Index ETF"
"ZQQ.TO",0.01,0,0.023,1.045,4,-0.011,-0.003,-0.001,0,0.001,0.004,0.007,0.01,0.017,"ZQQ.TO","BMO NASDAQ 100 Equity Hedged to CAD Index ETF"
"VUS.TO",0.025,0.001,0.065,0.835,4,-0.007,-0.002,-0.001,0,0.001,0.003,0.005,0.007,0.012,"VUS.TO","Vanguard U.S. Total Market Index ETF (CAD-Hedged)"
"VSP.TO",0.032,0.001,0.083,0.85,4,-0.007,-0.002,-0.001,0.001,0.001,0.003,0.005,0.007,0.011,"VSP.TO","Vanguard S&P 500 Index ETF (CAD-hedged)"
"CUD.TO",0.007,0.002,0.023,0.66,4,-0.007,-0.003,-0.001,0,0.001,0.003,0.004,0.006,0.01,"CUD.TO","iShares US Dividend Growers Index ETF (CAD-Hedged)"
"XSU.TO",0.004,0.002,0.014,0.725,4,-0.009,-0.004,-0.002,0.001,0.001,0.003,0.006,0.008,0.013,"XSU.TO","iShares U.S. Small Cap Index ETF (CAD-Hedged)"
"XHD.TO",0.004,0.008,0.012,0.408,4,-0.007,-0.003,-0.001,0,0,0.003,0.004,0.007,0.011,"XHD.TO","iShares U.S. High Dividend Equity Index ETF (CAD-Hedged)"
