"","StationaryDistributionINF","StationaryDistributionPER","GOP","Importance","Membership","QuantileDR.10","QuantileDR.25","QuantileDR.35","QuantileDR.45","QuantileDR.50","QuantileDR.65","QuantileDR.75","QuantileDR.85","QuantileDR.95","Ticker","Name"
"^SSMI",0.003,0.012,0.009,0.302,1,-0.009,-0.004,-0.002,-0.001,0,0.002,0.004,0.006,0.013,"^SSMI","^SSMI"
"^STOXX",0.004,0.009,0.011,0.315,1,-0.007,-0.003,-0.002,-0.001,0,0.002,0.003,0.005,0.009,"^STOXX","^STOXX"
"^SPEUP",0.002,0.01,0.007,0.287,1,-0.008,-0.003,-0.002,0,0,0.003,0.004,0.006,0.01,"^SPEUP","^SPEUP"
"^FTSE",0.002,0.006,0.007,0.452,1,-0.009,-0.004,-0.001,0,0.001,0.003,0.004,0.006,0.01,"^FTSE","^FTSE"
"^STOXX50E",0.004,0.015,0.009,0.225,1,-0.008,-0.004,-0.002,-0.001,0,0.002,0.004,0.006,0.011,"^STOXX50E","^STOXX50E"
"IEFA",0.004,0.004,0.013,0.504,1,-0.008,-0.004,-0.002,0,0.001,0.003,0.005,0.007,0.01,"IEFA","iShares Core MSCI EAFE ETF"
"VIDI",0.004,0.008,0.012,0.457,1,-0.01,-0.004,-0.003,-0.001,0,0.003,0.005,0.008,0.012,"VIDI","Vident International Equity"
"SC01.DE",0,0.011,0.002,0.281,1,-0.002,0,0,0,0,0,0,0.002,0.009,"SC01.DE","Source Markets plc - Source STOXX Europe 600 Optimised Construction & Materials UCITS ETF"
"S600.L",0.001,0.007,0.006,0.412,1,-0.007,-0.001,0,0,0,0,0.001,0.006,0.011,"S600.L","Source Markets plc - Source STOXX Europe 600 UCITS ETF"
"S600.SW",0.001,0.002,0.005,0.659,1,-0.006,0,0,0,0,0,0.001,0.004,0.01,"S600.SW","Source Markets plc - Source STOXX Europe 600 UCITS ETF"
"MEUD.PA",0.001,0.005,0.007,0.485,1,-0.008,-0.003,-0.002,0,0.001,0.003,0.004,0.006,0.01,"MEUD.PA","LYXOR STOXX600 EUR"
"ERUS",0.002,0.007,0.006,0.509,1,-0.017,-0.008,-0.004,-0.001,0,0.006,0.01,0.016,0.024,"ERUS","iShares, Inc. - iShares MSCI Russia Capped ETF"
"^MERV",0.001,0,0.006,1.174,1,-0.021,-0.01,-0.005,-0.001,0.001,0.007,0.013,0.02,0.039,"^MERV","MERVAL BUENOS AIRES"
"^DJAT",0.001,0.001,0.006,0.803,1,-0.01,-0.004,-0.002,-0.001,0,0.003,0.005,0.008,0.012,"^DJAT","Dow Jones Asian Titans 50 Index"
"^BVSP",0.001,0.006,0.005,0.654,1,-0.015,-0.007,-0.004,0,0.001,0.004,0.008,0.014,0.02,"^BVSP","IBOVESPA"
"^XAU",0.001,0.028,0.006,0.101,1,-0.019,-0.009,-0.005,-0.002,0,0.003,0.007,0.011,0.022,"^XAU","PHLX GOLD AND SILVER SECTOR IND"
"^XU100",0.001,0.013,0.006,0.531,1,-0.017,-0.008,-0.004,-0.001,0.001,0.005,0.008,0.013,0.02,"^XU100","-"
"QAT",0.001,0.01,0.005,0.585,1,-0.013,-0.006,-0.003,-0.001,0.001,0.004,0.007,0.011,0.018,"QAT","iShares Trust - iShares MSCI Qatar Capped ETF"
"AAIT",0.001,0.026,0.006,0.181,1,-0.018,-0.007,-0.006,-0.001,-0.001,0,0.007,0.012,0.027,"AAIT","iShares MSCI All Country Asia Info Tech"
"^HSI",0.001,0.005,0.006,0.64,1,-0.014,-0.007,-0.003,0,0.001,0.004,0.007,0.011,0.017,"^HSI","-"
"^STI",0.001,0.003,0.007,0.676,1,-0.009,-0.004,-0.003,-0.001,0,0.002,0.004,0.008,0.012,"^STI","-"
"^KS11",0.001,0.004,0.006,0.593,1,-0.011,-0.004,-0.002,0,0.001,0.003,0.005,0.007,0.011,"^KS11","-"
"^TWII",0.001,0.009,0.006,0.402,1,-0.009,-0.004,-0.002,0,0.001,0.003,0.005,0.007,0.011,"^TWII","-"
"000001.SS",0.002,0.028,0.007,0.122,1,-0.012,-0.006,-0.003,-0.002,0,0.003,0.005,0.008,0.016,"000001.SS","SSE Composite Index"
"^OMXSPI",0.004,0.016,0.01,0.236,1,-0.009,-0.004,-0.002,0,0,0.003,0.005,0.007,0.011,"^OMXSPI","OMX Stockholm_PI"
"^OMX",0.004,0.022,0.009,0.156,1,-0.01,-0.004,-0.002,-0.001,0,0.003,0.005,0.009,0.012,"^OMX","OMX Stockholm 30 Index"
"^ISEQ",0.002,0.011,0.008,0.298,1,-0.009,-0.005,-0.002,-0.001,0,0.002,0.004,0.007,0.011,"^ISEQ","ISEQ-OVERALL PRICE"
"^OMXH25",0.001,0.007,0.007,0.537,1,-0.01,-0.005,-0.002,0,0.001,0.004,0.006,0.008,0.012,"^OMXH25","OMX Helsinki 25"
"^MXX",0.001,0.024,0.006,0.126,1,-0.008,-0.005,-0.003,-0.001,0,0.003,0.005,0.007,0.011,"^MXX","-"
"^N225",0.001,0.001,0.006,0.826,1,-0.01,-0.003,-0.001,0,0.001,0.004,0.006,0.009,0.014,"^N225","-"
"EWC",0.002,0.012,0.007,0.269,1,-0.008,-0.004,-0.002,0,0.001,0.003,0.004,0.006,0.012,"EWC","iShares MSCI Canada ETF"
"ZSU.TO",0.001,0.016,0.006,0.186,1,-0.002,-0.001,0,0,0,0,0,0.001,0.003,"ZSU.TO","BMO Short-Term US IG Corporate Bond Hedged to CAD Index ETF"
"ZHY.TO",0.002,0.026,0.007,0.085,1,-0.004,-0.002,-0.001,0,0,0.001,0.002,0.003,0.006,"ZHY.TO","BMO High Yield US Corporate Bond Hedged to CAD Index ETF"
"PHR.TO",0.001,0.014,0.005,0.284,1,-0.007,-0.003,-0.001,0,0,0.001,0.003,0.005,0.009,"PHR.TO","Purpose Fund Corp. - Purpose Duration Hedged Real Estate Fund"
"FUD.TO",0,0.003,0.002,0.549,1,0,0,0,0,0,0,0,0,0.008,"FUD.TO","First Trust AlphaDEX U.S. Dividend ETF (CAD-Hedged)"
"XFS.TO",0.001,0.001,0.006,0.953,1,-0.009,-0.002,0,0,0,0.003,0.004,0.007,0.014,"XFS.TO","iShares Edge MSCI Multifactor USA Index ETF (CAD-Hedged)"
"ZEF.TO",0.002,0.026,0.007,0.097,1,-0.006,-0.003,-0.002,-0.001,-0.001,0.001,0.002,0.004,0.008,"ZEF.TO","BMO Emerging Markets Bond Hedged to CAD Index ETF"
"EUR-A.TO",0.002,0.006,0.006,0.487,1,0,0,0,0,0,0,0,0,0,"EUR-A.TO","First Trust AlphaDEX European Dividend Index ETF (CAD-Hedged)"
