"","StationaryDistributionINF","StationaryDistributionPER","GOP","Importance","Membership","QuantileDR.10","QuantileDR.25","QuantileDR.35","QuantileDR.45","QuantileDR.50","QuantileDR.65","QuantileDR.75","QuantileDR.85","QuantileDR.95","Ticker","BankName"
"BBVA",0.019,0.01,0.061,0.93,1,-0.026,-0.015,-0.008,-0.003,0,0.007,0.009,0.014,0.025,"BBVA","BancoBilbaoViscayaArgentariaSA"
"BCH",0.008,0.008,0.03,1.054,1,-0.018,-0.008,-0.003,-0.001,0.001,0.005,0.008,0.012,0.021,"BCH","BancoDeChile"
"BLX",0.003,0.011,0.015,0.44,1,-0.023,-0.012,-0.008,-0.004,-0.003,0,0.005,0.01,0.015,"BLX","BancoLatinoamericanodeComercioExteriorSA"
"BSAC",0.006,0.007,0.025,1.078,1,-0.015,-0.006,-0.003,-0.001,0,0.003,0.006,0.01,0.024,"BSAC","BancoSantanderChile"
"SAN",0.018,0.01,0.063,0.927,1,-0.024,-0.013,-0.007,-0.002,-0.002,0.004,0.009,0.011,0.022,"SAN","BancoSantanderSA"
"CIB",0.005,0.01,0.02,1.048,1,-0.02,-0.013,-0.008,-0.003,-0.002,0.003,0.006,0.014,0.026,"CIB","BanColombiaSA"
"BCS",0.011,0.01,0.038,0.855,1,-0.019,-0.01,-0.008,-0.005,-0.002,0.002,0.008,0.013,0.018,"BCS","BarclaysPLC"
"BAP",0.006,0.008,0.026,1.065,1,-0.012,-0.007,-0.005,-0.001,0,0.003,0.007,0.01,0.019,"BAP","CredicorpLtd"
"DKT",0.003,0.01,0.011,1.083,1,-0.002,0,0,0,0,0.001,0.002,0.002,0.005,"DKT","DeutschBkContingentCapTrV"
"DB",0.012,0.011,0.041,0.843,1,-0.026,-0.013,-0.008,-0.002,-0.001,0.006,0.009,0.015,0.029,"DB","DeutscheBankAG"
"AVAL",0.004,0.009,0.016,1.021,1,-0.016,-0.009,-0.007,-0.002,-0.001,0.004,0.006,0.012,0.023,"AVAL","GrupoAvalAccionesyValoresSA"
"BSMX",0.005,0.009,0.02,1.205,1,-0.026,-0.013,-0.008,-0.002,0.003,0.009,0.012,0.019,0.039,"BSMX","GrupoFinancieroSantanderMexicoSABdeCV"
"HDB",0.003,0.006,0.015,1.128,1,-0.017,-0.007,-0.004,-0.001,0.001,0.005,0.007,0.011,0.015,"HDB","HDFCBankLimited"
"HSBC",0.01,0.009,0.034,1.017,1,-0.016,-0.008,-0.004,-0.001,0.001,0.003,0.005,0.008,0.015,"HSBC","HSBCHoldingsplc"
"IBN",0.004,0.009,0.017,1.089,1,-0.025,-0.013,-0.007,-0.001,0,0.007,0.012,0.018,0.026,"IBN","ICICIBankLimited"
"ING",0.011,0.011,0.039,0.799,1,-0.019,-0.009,-0.006,-0.003,-0.001,0.003,0.006,0.009,0.022,"ING","INGGroupNV"
"KB",0.006,0.01,0.022,0.966,1,-0.02,-0.011,-0.007,-0.003,-0.001,0.006,0.011,0.018,0.024,"KB","KBFinancialGroupInc"
"LYG",0.007,0.01,0.023,0.783,1,-0.016,-0.009,-0.006,-0.003,0,0.003,0.006,0.012,0.019,"LYG","LloydsBankingGroupPlc"
"MFCB",0.004,0.008,0.015,1.097,1,-0.015,-0.005,-0.002,0,0,0.002,0.005,0.008,0.021,"MFCB","MFCBancorpLtd"
"MFG",0.005,0.008,0.017,1.047,1,-0.012,-0.006,-0.003,-0.003,0,0.003,0.006,0.009,0.011,"MFG","MizuhoFinancialGroupInc"
"RBS",0.011,0.009,0.039,1.051,1,-0.021,-0.011,-0.008,-0.004,-0.003,0.004,0.008,0.016,0.023,"RBS","RoyalBankScotlandplc(The)"
"SHG",0.006,0.009,0.02,1.035,1,-0.02,-0.011,-0.006,-0.003,-0.001,0.006,0.009,0.013,0.025,"SHG","ShinhanFinancialGroupCoLtd"
"SMFG",0.005,0.008,0.019,1.065,1,-0.014,-0.007,-0.004,-0.001,0,0.004,0.006,0.01,0.021,"SMFG","SumitomoMitsuiFinancialGroupInc"
"UBS",0.019,0.009,0.061,1.025,1,-0.013,-0.007,-0.004,-0.002,-0.001,0.003,0.006,0.01,0.019,"UBS","UBSAG"
