"","StationaryDistributionINF","StationaryDistributionPER","GOP","Importance","Membership","QuantileDR.10","QuantileDR.25","QuantileDR.35","QuantileDR.45","QuantileDR.50","QuantileDR.65","QuantileDR.75","QuantileDR.85","QuantileDR.95","Ticker","BankName"
"BBD",0.012,0.012,0.031,1.022,1,-0.041,-0.021,-0.016,-0.004,-0.001,0.011,0.019,0.026,0.038,"BBD","BancoBradescoSa"
"BSBR",0.011,0.011,0.029,1.039,1,-0.038,-0.018,-0.013,-0.007,-0.002,0.011,0.023,0.028,0.047,"BSBR","BancoSantanderBrasilSA"
"BFR",0.006,0.013,0.021,1.017,1,-0.07,-0.027,-0.019,-0.01,-0.008,0.001,0.023,0.041,0.103,"BFR","BBVABancoFrancesSA"
"SUPV",0.007,0.023,0.022,0.166,1,-0.079,-0.04,-0.026,-0.015,-0.009,0.011,0.026,0.049,0.087,"SUPV","GrupoSupervielleSA"
"ITUB",0.012,0.012,0.031,1.023,1,-0.045,-0.018,-0.012,-0.004,0.002,0.008,0.017,0.026,0.037,"ITUB","ItauUnibancoBancoHoldingSA"
"BMA",0.006,0.014,0.019,1.06,1,-0.073,-0.027,-0.02,-0.012,-0.007,0.007,0.019,0.04,0.078,"BMA","MacroBankInc"
"BCH",0.008,0.008,0.029,1.054,2,-0.018,-0.008,-0.003,-0.001,0.001,0.005,0.008,0.012,0.021,"BCH","BancoDeChile"
"BLX",0.003,0.011,0.015,0.44,2,-0.023,-0.012,-0.008,-0.004,-0.003,0,0.005,0.01,0.015,"BLX","BancoLatinoamericanodeComercioExteriorSA"
"BSAC",0.006,0.007,0.025,1.078,2,-0.015,-0.006,-0.003,-0.001,0,0.003,0.006,0.01,0.024,"BSAC","BancoSantanderChile"
"CIB",0.005,0.01,0.02,1.048,2,-0.02,-0.013,-0.008,-0.003,-0.002,0.003,0.006,0.014,0.026,"CIB","BanColombiaSA"
"BAP",0.006,0.008,0.027,1.065,2,-0.012,-0.007,-0.005,-0.001,0,0.003,0.007,0.01,0.019,"BAP","CredicorpLtd"
"DKT",0.003,0.01,0.011,1.083,2,-0.002,0,0,0,0,0.001,0.002,0.002,0.005,"DKT","DeutschBkContingentCapTrV"
"FBC",0.004,0.009,0.016,1.075,2,-0.015,-0.008,-0.004,-0.003,-0.001,0.003,0.006,0.011,0.019,"FBC","FlagstarBancorpInc"
"AVAL",0.004,0.009,0.016,1.021,2,-0.016,-0.009,-0.007,-0.002,-0.001,0.004,0.006,0.012,0.023,"AVAL","GrupoAvalAccionesyValoresSA"
"BSMX",0.005,0.009,0.02,1.205,2,-0.026,-0.013,-0.008,-0.002,0.003,0.009,0.012,0.019,0.039,"BSMX","GrupoFinancieroSantanderMexicoSABdeCV"
"HDB",0.003,0.006,0.015,1.128,2,-0.017,-0.007,-0.004,-0.001,0.001,0.005,0.007,0.011,0.015,"HDB","HDFCBankLimited"
"IBN",0.004,0.009,0.017,1.089,2,-0.025,-0.013,-0.007,-0.001,0,0.007,0.012,0.018,0.026,"IBN","ICICIBankLimited"
"KB",0.006,0.01,0.023,0.966,2,-0.02,-0.011,-0.007,-0.003,-0.001,0.006,0.011,0.018,0.024,"KB","KBFinancialGroupInc"
"MFCB",0.004,0.008,0.015,1.097,2,-0.015,-0.005,-0.002,0,0,0.002,0.005,0.008,0.021,"MFCB","MFCBancorpLtd"
"MFG",0.005,0.008,0.017,1.047,2,-0.012,-0.006,-0.003,-0.003,0,0.003,0.006,0.009,0.011,"MFG","MizuhoFinancialGroupInc"
"OFG",0.004,0.01,0.015,1.261,2,-0.021,-0.007,-0.004,-0.003,0,0.006,0.011,0.017,0.031,"OFG","OFGBancorp"
"SHG",0.006,0.009,0.021,1.035,2,-0.02,-0.011,-0.006,-0.003,-0.001,0.006,0.009,0.013,0.025,"SHG","ShinhanFinancialGroupCoLtd"
"SMFG",0.005,0.008,0.02,1.065,2,-0.014,-0.007,-0.004,-0.001,0,0.004,0.006,0.01,0.021,"SMFG","SumitomoMitsuiFinancialGroupInc"
"WBK",0.004,0.009,0.016,1.039,2,-0.014,-0.008,-0.006,-0.002,-0.001,0.003,0.006,0.009,0.016,"WBK","WestpacBankingCorporation"
"WF",0.006,0.008,0.023,1.112,2,-0.028,-0.01,-0.005,0,0.001,0.009,0.011,0.018,0.032,"WF","WooriBank"
"ZBK",0.003,0.008,0.015,1.137,2,-0.017,-0.007,-0.003,0,0,0.003,0.006,0.013,0.024,"ZBK","ZionsBancorporation"
"DSEEY",0.005,0.008,0.018,1.092,2,-0.014,-0.008,-0.005,-0.002,0,0.003,0.008,0.012,0.024,"DSEEY","DAIWACAPITALMARKETSAMERICAINC"
"JFBC",0.002,0.003,0.008,1.25,2,-0.015,0,0,0,0,0.001,0.006,0.011,0.025,"JFBC","JEFFERIESLLC"
"NMR",0.006,0.01,0.022,0.967,2,-0.013,-0.008,-0.004,-0.004,-0.002,0.002,0.004,0.01,0.019,"NMR","NOMURASECURITIESINTERNATIONALINC"
"BNP.PA",0.006,0.01,0.018,0.721,2,-0.014,-0.008,-0.004,-0.002,-0.001,0.002,0.005,0.009,0.017,"BNP.PA","BNP Paribas SA"
