"Item","IteminPlot","StationaryDistributionValue"
"Residential mortgages, total (x 1,000,000)","Residentialmortgagestotal",0.0259977691731681
"Other residential mortgages (x 1,000,000)","Otherresidentialmortgages",0.0258915428715028
"Total loans (x 1,000,000)","Totalloans",0.0256551863981267
"Mortgages, total (x 1,000,000)","Mortgagestotal",0.0254831427877867
"Non-residential mortgages (x 1,000,000)","Nonresidentialmortgages",0.0248630520573396
"Total, less liquid Canadian assets (x 1,000,000)","TotallessliquidCanadianassets",0.0247723541332262
"Chartered bank deposits, personal (x 1,000,000)","Charteredbankdepositspersonal",0.0246338712239223
"Chartered bank deposits, personal, non-chequable, notice (x 1,000,000)","Charteredbankdepositspersonalnonchequablenotice",0.024575072773834
"Mortgages insured under National Housing Act (NHA) (x 1,000,000)","MortgagesinsuredunderNationalHousingActNHA",0.0245736196965909
"Total, major assets (x 1,000,000)","Totalmajorassets",0.0243822047674952
"Total, Canadian dollar major assets (x 1,000,000)","TotalCanadiandollarmajorassets",0.0234307937904587
"Chartered bank deposits, personal, non-chequable, notice, other (x 1,000,000)","Charteredbankdepositspersonalnonchequablenoticeother",0.0223990139479971
"Total, loans in Canadian dollars (excluding call, Canada Savings Bonds and conventional mortgages) (x 1,000,000)","TotalloansinCanadiandollarsexcludingcallCanadaSavingsBondsandconventionalmortgages",0.0223042920954023
"Chartered bank deposits, personal (excluding personal, chequable, demand) (x 1,000,000)","Charteredbankdepositspersonalexcludingpersonalchequabledemand",0.0222393391901008
"General loans (including grain dealers and installment finance companies) (x 1,000,000)","Generalloansincludinggraindealersandinstallmentfinancecompanies",0.0217995971069993
"Non-mortgage loans, total (x 1,000,000)","Nonmortgageloanstotal",0.0216923636509429
"Foreign currency deposits of Canadian residents, other (x 1,000,000)","ForeigncurrencydepositsofCanadianresidentsother",0.0212268534129737
"Chartered bank deposits, held by general public (including private sector float) (x 1,000,000)","Charteredbankdepositsheldbygeneralpublicincludingprivatesectorfloat",0.0208591075721264
"Chartered bank deposits, total Canadian dollar (gross) (x 1,000,000)","CharteredbankdepositstotalCanadiandollargross",0.0206632553066528
"Canadian dollar gross demand deposits, personal chequing (x 1,000,000)","Canadiandollargrossdemanddepositspersonalchequing",0.0206194721355673
"Total, foreign currency deposits of Canadian residents (x 1,000,000)","TotalforeigncurrencydepositsofCanadianresidents",0.0206127686307036
"Canadian dollar non-chequable personal savings deposits, other (x 1,000,000)","Canadiandollarnonchequablepersonalsavingsdepositsother",0.0205651881821306
"Chartered bank deposits, held by general public (excluding private sector float) (x 1,000,000)","Charteredbankdepositsheldbygeneralpublicexcludingprivatesectorfloat",0.0204892206572127
"Personal loans (x 1,000,000)","Personalloans",0.0203200273139737
"Total, Canadian dollar gross demand deposits (x 1,000,000)","TotalCanadiandollargrossdemanddeposits",0.020313287061402
"Chartered bank deposits, total Canadian dollar (gross) (excluding private sector float) (x 1,000,000)","CharteredbankdepositstotalCanadiandollargrossexcludingprivatesectorfloat",0.0198539284917141
"Business loans excluding reverse repurchase agreements (x 1,000,000)","Businessloansexcludingreverserepurchaseagreements",0.019285349773672
"Canadian dollar gross demand deposits, other (x 1,000,000)","Canadiandollargrossdemanddepositsother",0.0174954518593015
"Chartered bank deposits, personal, non-chequable, notice, tax sheltered (x 1,000,000)","Charteredbankdepositspersonalnonchequablenoticetaxsheltered",0.017383924260081
"Business loans to residents (x 1,000,000)","Businessloanstoresidents",0.0163568353681415
"Chartered bank deposits, non-personal, chequable (x 1,000,000)","Charteredbankdepositsnonpersonalchequable",0.0162584468320658
"Chartered bank deposits, non-personal (x 1,000,000)","Charteredbankdepositsnonpersonal",0.01620909330198
"Business loans (x 1,000,000)","Businessloans",0.0157575934179349
"Chartered bank deposits, personal, chequable (x 1,000,000)","Charteredbankdepositspersonalchequable",0.0154386959514926
"Canadian dollar non-chequable personal savings deposits, daily interest (x 1,000,000)","Canadiandollarnonchequablepersonalsavingsdepositsdailyinterest",0.0152887078242058
"Personal lines of credit (x 1,000,000)","Personallinesofcredit",0.0150934513139671
"Foreign currency loans to Canadian residents (x 1,000,000)","ForeigncurrencyloanstoCanadianresidents",0.0148509302426402
"Personal loan plan loans (x 1,000,000)","Personalloanplanloans",0.0148252703611842
"Demand (less private sector float) (x 1,000,000)","Demandlessprivatesectorfloat",0.0142079664792477
"Leasing receivables (x 1,000,000)","Leasingreceivables",0.0123760169417077
"Canadian provincial securities, total (x 1,000,000)","Canadianprovincialsecuritiestotal",0.0110528284372604
"Canadian provincial securities (excluding short-term paper) (x 1,000,000)","Canadianprovincialsecuritiesexcludingshorttermpaper",0.0104305137771459
