"Item","IteminPlot","StationaryDistributionValue"
"Retained earnings (x 1,000,000)","Retainedearnings",0.037394120296488
"Cash and deposits (x 1,000,000)","Cashanddeposits",0.036474096810471
"Total, equity (x 1,000,000)","Totalequity",0.0340455444173558
"Loans and accounts with affiliates (x 1,000,000)","Loansandaccountswithaffiliates",0.0334986149059622
"Share capital (x 1,000,000)","Sharecapital",0.0334481521177855
"Accounts payable and accrued liabilities (x 1,000,000)","Accountspayableandaccruedliabilities",0.0332218015015794
"Investments and accounts with affiliates (x 1,000,000)","Investmentsandaccountswithaffiliates",0.0332112694002274
"Borrowings (x 1,000,000)","Borrowings",0.0326550756974144
"Contributed surplus and other (x 1,000,000)","Contributedsurplusandother",0.0319838550019639
"Accounts receivable and accrued revenue (x 1,000,000)","Accountsreceivableandaccruedrevenue",0.0314038091688828
"Operating profit or loss (x 1,000,000)","Operatingprofitorloss",0.0308676690652978
"Income tax (x 1,000,000)","Incometax",0.0307815604306766
"Interest expense on borrowing (x 1,000,000)","Interestexpenseonborrowing",0.0299019559555275
"Loans and other borrowings (x 1,000,000)","Loansandotherborrowings",0.0290577902357107
"Other operating revenue (x 1,000,000)","Otheroperatingrevenue",0.0277626899459677
"Operating revenue (x 1,000,000)","Operatingrevenue",0.0270427992782216
"Bankers' acceptances and paper (x 1,000,000)","Bankersacceptancesandpaper",0.0265521517764926
"Sales of goods and services (x 1,000,000)","Salesofgoodsandservices",0.0259645887390724
"Operating expenses (x 1,000,000)","Operatingexpenses",0.0254483612904184
"Other operating expenses (x 1,000,000)","Otheroperatingexpenses",0.0252847952945741
"Future income tax (x 1,000,000)","Futureincometax",0.0252617893218288
"Inventories (x 1,000,000)","Inventories",0.0251016053410497
"Capital assets, net (x 1,000,000)","Capitalassetsnet",0.025044614417077
"Depreciation, depletion and amortization (x 1,000,000)","Depreciationdepletionandamortization",0.0249715751831585
"Interest and dividend revenue (x 1,000,000)","Interestanddividendrevenue",0.0242300145019844
"Mortgages (x 1,000,000)","Mortgages",0.0238522844311393
"Profit before income tax (x 1,000,000)","Profitbeforeincometax",0.0233460202931687
"Profit before extraordinary gains (x 1,000,000)","Profitbeforeextraordinarygains",0.0217168848116413
"Net profit (x 1,000,000)","Netprofit",0.0214039832420972
"Bonds and debentures (x 1,000,000)","Bondsanddebentures",0.0189110059889757
"Comprehensive income (x 1,000,000)","Comprehensiveincome",0.0142196064742034
"Total liabilities (x 1,000,000)","Totalliabilities",0.0121934788495104
"Other liabilities (x 1,000,000)","Otherliabilities",0.0105877826611217
"Portfolio investments (x 1,000,000)","Portfolioinvestments",0.0100865242019406
"Total assets (x 1,000,000)","Totalassets",0.00952800280883112
"Interest revenue, operating (x 1,000,000)","Interestrevenueoperating",0.00936207437643199
"Mortgage (x 1,000,000)","Mortgage",0.00890456882142002
"Loans (x 1,000,000)","Loans",0.00888448758587753
"Non-mortgage (x 1,000,000)","Nonmortgage",0.00833145716171238
"Deposits (x 1,000,000)","Deposits",0.0079473252398995
"Interest expense, operating (x 1,000,000)","Interestexpenseoperating",0.00787136000813119
"Allowance for losses on investments and loans (x 1,000,000)","Allowanceforlossesoninvestmentsandloans",0.00782594291408619
"Other assets (x 1,000,000)","Otherassets",0.0077725021318187
"Dividend revenue, operating (x 1,000,000)","Dividendrevenueoperating",0.00411761640079644
"Equity in affiliates' earnings (x 1,000,000)","Equityinaffiliatesearnings",0.0036429239603433
"Annuity considerations (x 1,000,000)","Annuityconsiderations",0.00233015980050124
"Actuarial liabilities of insurers (x 1,000,000)","Actuarialliabilitiesofinsurers",0.00222374974212268
"Insurers' premiums (x 1,000,000)","Insurerspremiums",0.00221879374494918
"Insurance claims incurred (x 1,000,000)","Insuranceclaimsincurred",0.00220941909649845
"Annuity claims incurred (x 1,000,000)","Annuityclaimsincurred",0.00218414315826559
"LeverageEquityLiability","LeverageEquityLiability",0.00191805200739883
"LeverageAssetLiability","LeverageAssetLiability",0.00190433702066657
"Accumulated other comprehensive income (x 1,000,000)","Accumulatedothercomprehensiveincome",0.0018858447887393
"Normal increase in actuarial liabilities (x 1,000,000)","Normalincreaseinactuarialliabilities",0.00076853337711866
"Gains or losses on sale of securities and other assets (x 1,000,000)","Gainsorlossesonsaleofsecuritiesandotherassets",0.000572171303760815
"Gains or losses (x 1,000,000)","Gainsorlosses",0.000405966512317747
"Other comprehensive income (x 1,000,000)","Othercomprehensiveincome",0.000187370920451197
"Extraordinary gains or losses (x 1,000,000)","Extraordinarygainsorlosses",7.53260688749687e-05
