"Item","IteminPlot","StationaryDistributionValue"
"Insurance claims incurred (x 1,000,000)","Insuranceclaimsincurred",0.0189946703260448
"Insurers' premiums (x 1,000,000)","Insurers'premiums",0.0182421611829573
"Annuity claims incurred (x 1,000,000)","Annuityclaimsincurred",0.0173588176881136
"Portfolio investments (x 1,000,000)","Portfolioinvestments",0.0172976260939922
"Mortgage (x 1,000,000)","Mortgage",0.0163364200377108
"Annuity considerations (x 1,000,000)","Annuityconsiderations",0.0163354235420631
"Total liabilities (x 1,000,000)","Totalliabilities",0.015959058197216
"Interest revenue, operating (x 1,000,000)","Interestrevenueoperating",0.0157026180069194
"Other liabilities (x 1,000,000)","Otherliabilities",0.0152241387759813
"Interest expense, operating (x 1,000,000)","Interestexpenseoperating",0.0147645044172262
"Accounts payable and accrued liabilities (x 1,000,000)","Accountspayableandaccruedliabilities",0.0147091740634167
"Other operating expenses (x 1,000,000)","Otheroperatingexpenses",0.0147013873994546
"Contributed surplus and other (x 1,000,000)","Contributedsurplusandother",0.0146934345710573
"From banks (x 1,000,000)","Frombanks",0.0146799711418772
"Normal increase in actuarial liabilities (x 1,000,000)","Normalincreaseinactuarialliabilities",0.0146171658632998
"Total assets (x 1,000,000)","Totalassets",0.0145135662561466
"Actuarial liabilities of insurers (x 1,000,000)","Actuarialliabilitiesofinsurers",0.0144321404518434
"Operating expenses (x 1,000,000)","Operatingexpenses",0.0143940614763431
"Deposits (x 1,000,000)","Deposits",0.0143034165820269
"Mortgages (x 1,000,000)","Mortgages",0.0142673232650316
"Non-mortgage (x 1,000,000)","Nonmortgage",0.0141762765398408
"Loans and overdrafts (x 1,000,000)","Loansandoverdrafts",0.0141344304533677
"Loans and accounts with affiliates (x 1,000,000)","Loansandaccountswithaffiliates",0.0139302805971423
"Future income tax (x 1,000,000)","Futureincometax",0.0139263321420986
"Allowance for losses on investments and loans (x 1,000,000)","Allowanceforlossesoninvestmentsandloans",0.0138281936451616
"Borrowings (x 1,000,000)","Borrowings",0.0138168889749871
"Income tax (x 1,000,000)","Incometax",0.0137524598311313
"Net profit (x 1,000,000)","Netprofit",0.0137286490830463
