"Item","IteminPlot","StationaryDistributionValue"
"Inventories (x 1,000,000)","Inventories",0.0471122310813878
"Retained earnings (x 1,000,000)","Retainedearnings",0.044057943183708
"Future income tax (x 1,000,000)","Futureincometax",0.0438657997627003
"Interest and dividend revenue (x 1,000,000)","Interestanddividendrevenue",0.0428705958467045
"Share capital (x 1,000,000)","Sharecapital",0.0343499965923987
"Interest expense on borrowing (x 1,000,000)","Interestexpenseonborrowing",0.0331963561404965
"Borrowings (x 1,000,000)","Borrowings",0.0309602715543897
"Other operating revenue (x 1,000,000)","Otheroperatingrevenue",0.0309291099476312
"Investments and accounts with affiliates (x 1,000,000)","Investmentsandaccountswithaffiliates",0.0288929774016546
"Cash and deposits (x 1,000,000)","Cashanddeposits",0.0266884970954435
"Sales of goods and services (x 1,000,000)","Salesofgoodsandservices",0.0264751299408498
"Capital assets, net (x 1,000,000)","Capitalassetsnet",0.0264418901218849
"Depreciation, depletion and amortization (x 1,000,000)","Depreciationdepletionandamortization",0.026009766883051
"Loans and accounts with affiliates (x 1,000,000)","Loansandaccountswithaffiliates",0.0257180814540056
"Contributed surplus and other (x 1,000,000)","Contributedsurplusandother",0.0254194738180293
"Accounts payable and accrued liabilities (x 1,000,000)","Accountspayableandaccruedliabilities",0.0252487923041272
"Loans and other borrowings (x 1,000,000)","Loansandotherborrowings",0.0248973997704186
"Income tax (x 1,000,000)","Incometax",0.0240742509991203
"Profit before income tax (x 1,000,000)","Profitbeforeincometax",0.0239330130864701
"Bonds and debentures (x 1,000,000)","Bondsanddebentures",0.023107496142749
"Net profit (x 1,000,000)","Netprofit",0.0228973725612183
"Accounts receivable and accrued revenue (x 1,000,000)","Accountsreceivableandaccruedrevenue",0.0223543730012087
"Total, equity (x 1,000,000)","Totalequity",0.0223079663882251
"Profit before extraordinary gains (x 1,000,000)","Profitbeforeextraordinarygains",0.0221713907208429
"Operating profit or loss (x 1,000,000)","Operatingprofitorloss",0.0218058352613364
"Bankers' acceptances and paper (x 1,000,000)","Bankersacceptancesandpaper",0.0202888799166029
"Total liabilities (x 1,000,000)","Totalliabilities",0.0200686660790409
"Allowance for losses on investments and loans (x 1,000,000)","Allowanceforlossesoninvestmentsandloans",0.0171632750859933
"Mortgages (x 1,000,000)","Mortgages",0.0168989796925528
"Operating revenue (x 1,000,000)","Operatingrevenue",0.016553091144819
"Operating expenses (x 1,000,000)","Operatingexpenses",0.0160730738957511
"Other liabilities (x 1,000,000)","Otherliabilities",0.0135993509743552
"Comprehensive income (x 1,000,000)","Comprehensiveincome",0.0135144830478122
"Other operating expenses (x 1,000,000)","Otheroperatingexpenses",0.0130058902503625
"Portfolio investments (x 1,000,000)","Portfolioinvestments",0.0129389336726223
"Loans (x 1,000,000)","Loans",0.0125849099523353
"Mortgage (x 1,000,000)","Mortgage",0.0119524671379117
"Non-mortgage (x 1,000,000)","Nonmortgage",0.0112192571869078
"Total assets (x 1,000,000)","Totalassets",0.0112153820720106
"Deposits (x 1,000,000)","Deposits",0.0107694938609288
"Interest revenue, operating (x 1,000,000)","Interestrevenueoperating",0.0104295560136487
"Interest expense, operating (x 1,000,000)","Interestexpenseoperating",0.0081331606789494
"Other assets (x 1,000,000)","Otherassets",0.00539060301106467
"Annuity considerations (x 1,000,000)","Annuityconsiderations",0.00372933485585225
"Insurance claims incurred (x 1,000,000)","Insuranceclaimsincurred",0.00360131204405191
"Actuarial liabilities of insurers (x 1,000,000)","Actuarialliabilitiesofinsurers",0.00355114494137475
"Insurers' premiums (x 1,000,000)","Insurerspremiums",0.00352613936043597
"Annuity claims incurred (x 1,000,000)","Annuityclaimsincurred",0.00352568869017592
"Equity in affiliates' earnings (x 1,000,000)","Equityinaffiliatesearnings",0.00325733457823455
"LeverageEquityLiability","LeverageEquityLiability",0.00289089943813594
"LeverageAssetLiability","LeverageAssetLiability",0.00287496981683556
"Dividend revenue, operating (x 1,000,000)","Dividendrevenueoperating",0.00211578928640135
"Accumulated other comprehensive income (x 1,000,000)","Accumulatedothercomprehensiveincome",0.00129019555519432
"Normal increase in actuarial liabilities (x 1,000,000)","Normalincreaseinactuarialliabilities",0.000866163534025306
"Gains or losses on sale of securities and other assets (x 1,000,000)","Gainsorlossesonsaleofsecuritiesandotherassets",0.000465739966930547
"Gains or losses (x 1,000,000)","Gainsorlosses",0.000440724899762345
"Other comprehensive income (x 1,000,000)","Othercomprehensiveincome",0.000180247903899344
"Extraordinary gains or losses (x 1,000,000)","Extraordinarygainsorlosses",9.88503949679513e-05
