"","Item","StationaryDistribution"
"Lessors.of.real.estate.","Lessors of real estate (x 1,000,000)",0.0213179468822876
"Owner.occupied.dwellings.","Owner-occupied dwellings (x 1,000,000)",0.0212650413805944
"Real.estate.and.rental.and.leasing.","Real estate and rental and leasing (x 1,000,000)",0.0202156225379483
"Service.producing.industries.","Service-producing industries (x 1,000,000)",0.020011574401024
"Real.estate.","Real estate (x 1,000,000)",0.0199889356836826
"Business.sector..services.","Business sector, services (x 1,000,000)",0.0192403434382824
"All.industries.","All industries (x 1,000,000)",0.0171739995711101
"Computer.systems.design.and.related.services.","Computer systems design and related services (x 1,000,000)",0.0166349702928291
"Other.information.services.","Other information services (x 1,000,000)",0.0161992417700185
"Business.sector.industries.","Business sector industries (x 1,000,000)",0.0158620027576008
"Universities.","Universities (x 1,000,000)",0.0156938206604608
"Professional..scientific.and.technical.services.","Professional, scientific and technical services (x 1,000,000)",0.0153911962862242
"Waste.management.and.remediation.services.","Waste management and remediation services (x 1,000,000)",0.0151489480276826
"Food.services.and.drinking.places.","Food services and drinking places (x 1,000,000)",0.0143832434335045
"Accounting..tax.preparation..bookkeeping.and.payroll.services.","Accounting, tax preparation, bookkeeping and payroll services (x 1,000,000)",0.0143777367590985
"Non.business.sector..services.","Non-business sector, services (x 1,000,000)",0.013558744895084
"Non.business.sector.industries.","Non-business sector industries (x 1,000,000)",0.0132825785642703
"Other.services..except.public.administration..","Other services (except public administration) (x 1,000,000)",0.013214268386025
"Repair.and.maintenance.","Repair and maintenance (x 1,000,000)",0.0131114706357911
"Accommodation.and.food.services.","Accommodation and food services (x 1,000,000)",0.01286202404999
"Health.care.and.social.assistance.","Health care and social assistance (x 1,000,000)",0.0127565656614592
"Public.Sector.","Public Sector (x 1,000,000)",0.0126839254229214
"Credit.intermediation.and.monetary.authorities.","Credit intermediation and monetary authorities (x 1,000,000)",0.0125912287966808
"Local.credit.unions.","Local credit unions (x 1,000,000)",0.0124238993446991
"Depository.credit.intermediation.and.monetary.authorities.","Depository credit intermediation and monetary authorities (x 1,000,000)",0.0122160210466566
"Finance.and.insurance.","Finance and insurance (x 1,000,000)",0.0121163921596184
"Veneer..plywood.and.engineered.wood.product.manufacturing.","Veneer, plywood and engineered wood product manufacturing (x 1,000,000)",0.0118476553073947
"Repair.construction.","Repair construction (x 1,000,000)",0.0118405211303863
"Banking..monetary.authorities.and.other.depository.credit.intermediation.","Banking, monetary authorities and other depository credit intermediation (x 1,000,000)",0.0117061240294292
"Ambulatory.health.care.services.","Ambulatory health care services (x 1,000,000)",0.0116399618186835
"Personal.and.household.goods.wholesaler.distributors.","Personal and household goods wholesaler-distributors (x 1,000,000)",0.0112978831833717
"Health.care.","Health care (x 1,000,000)",0.0112466458357654
"Household.appliance.manufacturing.","Household appliance manufacturing (x 1,000,000)",0.0106953388731079
"Information.and.communication.technology..services.","Information and communication technology, services (x 1,000,000)",0.0102359684399676
"Motion.picture.and.sound.recording.industries.","Motion picture and sound recording industries (x 1,000,000)",0.0101751068388301
"Truck.transportation.","Truck transportation (x 1,000,000)",0.0100263129611815
"Health.and.personal.care.stores.","Health and personal care stores (x 1,000,000)",0.00968436708832621
"Transportation.and.warehousing.","Transportation and warehousing (x 1,000,000)",0.00968089008243683
"Air.transportation.","Air transportation (x 1,000,000)",0.00967770415795297
"Advertising..public.relations..and.related.services.","Advertising, public relations, and related services (x 1,000,000)",0.00936126665232813
"Support.activities.for.transportation.","Support activities for transportation (x 1,000,000)",0.00924452015430312
"Management..scientific.and.technical.consulting.services.","Management, scientific and technical consulting services (x 1,000,000)",0.00879778634051442
"Educational.services.","Educational services (x 1,000,000)",0.00879072273818674
"Gold.and.silver.ore.mining.","Gold and silver ore mining (x 1,000,000)",0.00866796013147554
"Information.and.communication.technology.sector.","Information and communication technology sector (x 1,000,000)",0.00864037122988953
"Wholesale.trade.","Wholesale trade (x 1,000,000)",0.00862218525047939
"Hospitals.","Hospitals (x 1,000,000)",0.00845597752470918
"Financial.investment.services..funds.and.other.financial.vehicles.","Financial investment services, funds and other financial vehicles (x 1,000,000)",0.00832581582942705
"Local..municipal.and.regional.public.administration.","Local, municipal and regional public administration (x 1,000,000)",0.00826263929250271
"Residential.building.construction.","Residential building construction (x 1,000,000)",0.00816616778203351
"Other.professional..scientific.and.technical.services.including.scientific.research.and.development.","Other professional, scientific and technical services including scientific research and development (x 1,000,000)",0.00801938235716404
"Retail.trade.","Retail trade (x 1,000,000)",0.00742348817551876
"Employment.services.","Employment services (x 1,000,000)",0.00719965142788366
"Social.Assistance.","Social Assistance (x 1,000,000)",0.0071542412036347
"Administrative.and.support..waste.management.and.remediation.services.","Administrative and support, waste management and remediation services (x 1,000,000)",0.00681505847439064
"Other.educational.services.","Other educational services (x 1,000,000)",0.00680562360157108
"Nursing.and.residential.care.facilities.","Nursing and residential care facilities (x 1,000,000)",0.00671980751297746
"Investigation.and.security.services.","Investigation and security services (x 1,000,000)",0.006522735277663
"Rental.and.leasing.services.","Rental and leasing services (x 1,000,000)",0.00602000888975959
"Non.store.retailers.","Non-store retailers (x 1,000,000)",0.00578927893255052
"Rental.and.leasing.services..except.automotive.equipment..","Rental and leasing services (except automotive equipment) (x 1,000,000)",0.00565947753803618
"Motor.vehicle.and.parts.dealers.","Motor vehicle and parts dealers (x 1,000,000)",0.00558014477837979
"Gasoline.stations.","Gasoline stations (x 1,000,000)",0.00547668703653558
"Rental.and.leasing.services.and.lessors.of.non.financial.intangible.assets..except.copyrighted.works..","Rental and leasing services and lessors of non-financial intangible assets (except copyrighted works) (x 1,000,000)",0.00541686935162698
"Miscellaneous.wholesaler.distributors.","Miscellaneous wholesaler-distributors (x 1,000,000)",0.0053119233989078
"Provincial.and.territorial.public.administration.","Provincial and territorial public administration (x 1,000,000)",0.00522105839795326
"Administrative.and.support.services.","Administrative and support services (x 1,000,000)",0.00515207549366892
"Oil.and.gas.extraction.","Oil and gas extraction (x 1,000,000)",0.00495839168771444
"Non.conventional.oil.extraction.","Non-conventional oil extraction (x 1,000,000)",0.00492562157945238
"Business.sector..goods.","Business sector, goods (x 1,000,000)",0.00492391690597501
"Goods.producing.industries.","Goods-producing industries (x 1,000,000)",0.00486661819496036
"Insurance.carriers.","Insurance carriers (x 1,000,000)",0.0048199786202052
"Construction.","Construction (x 1,000,000)",0.00450321935914695
"Clothing.and.clothing.accessories.stores.","Clothing and clothing accessories stores (x 1,000,000)",0.00440410950907095
"Facilities.and.other.support.services.","Facilities and other support services (x 1,000,000)",0.00423852282882402
"Activities.related.to.credit.intermediation.","Activities related to credit intermediation (x 1,000,000)",0.00422527432220253
"Information.and.cultural.industries.","Information and cultural industries (x 1,000,000)",0.00417904694555907
"Sawmills.and.wood.preservation.","Sawmills and wood preservation (x 1,000,000)",0.00415951586418676
"Metal.ore.mining.","Metal ore mining (x 1,000,000)",0.00414382788941674
"Rail.transportation.","Rail transportation (x 1,000,000)",0.00399623285054518
"Other.food.manufacturing.","Other food manufacturing (x 1,000,000)",0.0039295986872055
"Printing.and.related.support.activities.","Printing and related support activities (x 1,000,000)",0.00392003182765203
"Water..sewage.and.other.systems.","Water, sewage and other systems (x 1,000,000)",0.00383698404400348
"Insurance.carriers.and.related.activities.","Insurance carriers and related activities (x 1,000,000)",0.00375595480945835
"Crude.oil.and.other.pipeline.transportation.","Crude oil and other pipeline transportation (x 1,000,000)",0.00372085837916009
