"","Tick_2000-07-31_To_2001-08-15","Membership_2000-07-31_To_2001-08-15"
"1","600111.SS",1
"2","0012.HK",1
"3","0006.HK",1
"4","0083.HK",1
"5","0992.HK",1
"6","1928.HK",1
"7","0836.HK",1
"8","0135.HK",1
"9","2319.HK",1
"10","0084.HK",1
"11","0220.HK",1
"12","603002.SS",1
"13","1125.HK",1
"14","600572.SS",1
"15","1021.HK",1
"16","1232.HK",1
"17","0066.HK",1
"18","2778.HK",1
"19","600131.SS",1
"20","600505.SS",1
"21","2309.HK",1
"22","0322.HK",1
"23","1201.HK",1
"24","2300.HK",1
"25","0113.HK",1
"26","600066.SS",1
"27","0750.HK",1
"28","0329.HK",1
"29","0606.HK",1
"30","2886.HK",1
"31","0237.HK",1
"32","0362.HK",1
"33","1838.HK",1
"34","6168.HK",1
"35","0697.HK",1
"36","2380.HK",1
"37","8130.HK",1
"38","0229.HK",1
"39","8166.HK",1
"40","600833.SS",1
"41","0035.HK",1
"42","601636.SS",1
"43","600141.SS",1
"44","600297.SS",1
"45","0357.HK",1
"46","2338.HK",1
"47","601311.SS",1
"48","0019.HK",1
"49","600696.SS",1
"50","0059.HK",1
"51","600059.SS",1
"52","600831.SS",1
"53","0842.HK",1
"54","0317.HK",1
"55","600265.SS",1
"56","900908.SS",1
"57","0388.HK",1
"58","1623.HK",1
"59","0494.HK",1
"60","2883.HK",1
"61","600458.SS",1
"62","600758.SS",1
"63","0123.HK",1
"64","8060.HK",1
"65","600085.SS",1
"66","0062.HK",1
"67","2689.HK",1
"68","0546.HK",1
"69","1898.HK",1
"70","600587.SS",1
"71","600983.SS",1
"72","1234.HK",1
"73","0593.HK",1
"74","601058.SS",1
"75","900933.SS",1
"76","1086.HK",1
"77","900936.SS",1
"78","600367.SS",1
"79","0363.HK",1
"80","600629.SS",1
"81","600229.SS",1
"82","3836.HK",1
"83","0666.HK",1
"84","600961.SS",1
"85","600731.SS",1
"86","900918.SS",1
"87","3393.HK",1
"88","0239.HK",1
"89","601669.SS",1
"90","PORTFO",1
"91","601766.SS",2
"92","^SSEC",2
"93","1038.HK",2
"94","0003.HK",2
"95","0293.HK",2
"96","0017.HK",2
"97","1044.HK",2
"98","1398.HK",2
"99","0101.HK",2
"100","300257.SZ",2
"101","000544.SZ",2
"102","000498.SZ",2
"103","002324.SZ",2
"104","399106.SZ",2
"105","600090.SS",2
"106","8109.HK",2
"107","0821.HK",2
"108","0145.HK",2
"109","8272.HK",2
"110","1335.HK",2
"111","2280.HK",2
