"","Tick_2001-01-04_To_2002-05-13","Membership_2001-01-04_To_2002-05-13"
"1","BN.PA",1
"2","EI.PA",1
"3","FR.PA",1
"4","MC.PA",1
"5","^FCHI",1
"6","3WI.F",1
"7","TG9.F",1
"8","1WR.F",1
"9","81R.F",1
"10","NVD.F",1
"11","WCE.F",1
"12","BRD.F",1
"13","DCC.F",1
"14","VTLN.F",1
"15","SKNB.F",1
"16","RYC.F",1
"17","AFL.F",1
"18","RPU.F",1
"19","HLD.F",1
"20","2M1G.F",1
"21","SAP.F",1
"22","MOO.F",1
"23","S8F.F",1
"24","N8Z1.F",1
"25","C4X.F",1
"26","NSY.F",1
"27","YOW.F",1
"28","JIX.F",1
"29","RGG.F",1
"30","GZF.F",1
"31","C5S.F",1
"32","BASA.F",1
"33","A9D.F",1
"34","CJA.F",1
"35","VETO.PA",1
"36","CRE.F",1
"37","34U.F",1
"38","PRL.F",1
"39","NAQ.F",1
"40","VBL.F",1
"41","VAT.F",1
"42","EIA.F",1
"43","4I1.F",1
"44","SAF.PA",1
"45","6MT.F",1
"46","CVLB.F",2
"47","3TK.F",2
"48","3RL.F",2
"49","MEF.F",2
"50","B5X.F",2
"51","MZB.F",2
"52","W6O.F",2
"53","ISC1.F",2
"54","T7D.F",2
"55","M1H.F",2
"56","E3A.F",2
"57","BABB.F",2
"58","WF5A.F",2
"59","UJ1.F",2
"60","NY4B.F",2
"61","MTR.F",2
"62","3NZ.F",2
"63","NKC.F",2
"64","J5E.F",2
"65","BERR.PA",2
"66","OII.F",2
"67","0ACS.F",2
"68","TDA1.F",2
"69","4S0.F",2
"70","TGNA.F",2
"71","OPA.F",2
"72","3MD.F",2
"73","PIG.F",2
"74","2CP.F",2
"75","SUY1.F",2
"76","CGR.F",2
"77","CCG.F",2
"78","SJS.F",2
"79","ETL.PA",2
"80","5LM1.F",2
"81","ZYT.F",2
"82","MDF.F",2
"83","DPWA.F",2
"84","AKQ.F",2
"85","EN3.F",2
"86","CPQA.F",2
"87","SABE.PA",2
"88","TWZ.F",2
"89","04B.F",2
"90","GOQN.F",2
"91","PW9.F",2
"92","4ML.F",2
"93","B7P.F",2
"94","VCX.F",2
"95","07C.F",2
"96","NRG.PA",2
"97","XTE.F",2
"98","C1B1.F",2
"99","MZ8A.F",2
"100","BM8.F",2
"101","R9U2.F",2
"102","NPV.F",2
"103","SMIF.F",2
"104","TBN1.F",2
"105","GU9.F",2
"106","GOK.F",2
"107","NLM.F",2
"108","FRM2.F",2
"109","C3L.F",2
"110","HUA.F",2
"111","RRU.F",2
"112","ALMDT.PA",2
"113","SESG.PA",2
"114","HJMA.F",2
"115","DGL.F",2
"116","UN3.F",2
"117","BI2.F",2
"118","B2B.F",2
"119","GIB.F",2
"120","W1X.F",2
"121","RCK.F",2
"122","NRZ1.F",2
"123","BV5.F",2
"124","0SGA.F",2
"125","KIN2.F",2
"126","4B4.F",2
"127","KOH1.F",2
"128","EP9.F",2
"129","O5H.F",2
"130","LI5.F",2
"131","DH9.F",2
"132","CRS1.F",2
"133","APR.PA",2
"134","RG2A.F",2
"135","ALGIL.PA",2
"136","8GC.F",2
"137","WA7.F",2
"138","REB.F",2
"139","42BA.F",2
"140","O4H.F",2
"141","COF.F",2
"142","I3F.F",2
"143","O7N.F",2
"144","OCKA.F",2
"145","VALE3.PA",2
"146","PNT.F",2
"147","USX1.F",2
"148","TO6.F",2
"149","NH8.F",3
"150","3W31.F",3
"151","OGPN.F",3
"152","MXR.F",3
"153","MMO.F",3
"154","FAM1.F",3
"155","KIS.F",3
"156","G3U.F",3
"157","ABR.F",3
"158","6CA.F",3
"159","TKM.F",3
"160","WBJ.F",3
"161","MI5.F",3
"162","IDG.F",3
"163","WEK.F",3
"164","SUK.F",3
"165","A78.F",3
"166","WSE.F",3
"167","G1V.F",3
"168","JFM.F",3
"169","SBW.F",3
"170","ND5.F",3
"171","MFZ.F",3
"172","CSC.F",3
"173","AX8.F",3
"174","I93A.F",3
"175","AM8.F",3
"176","HX1A.F",3
"177","WE7.F",3
"178","7C0.F",3
"179","5P1.F",3
"180","HIA1.F",3
"181","1AN.F",3
"182","FP.PA",4
"183","JAW.F",4
"184","RHO6.F",4
"185","BX7.F",4
"186","2M6.F",4
"187","OKL.F",4
"188","FV6.F",4
"189","NOTA.F",4
"190","BT3.F",4
"191","EBN.F",4
"192","0PT.F",4
"193","SMA.F",4
"194","BUR.PA",4
"195","BOI.PA",4
"196","LSPP.F",4
"197","GXCN.F",4
"198","4BV.F",4
"199","DTW.F",4
"200","AOZ.F",4
"201","DSR.F",4
"202","BAKA.F",4
"203","EIX.F",4
"204","PEP.F",4
"205","TJN.F",4
"206","DJ4A.F",4
"207","ORA.PA",5
"208","VIE.PA",5
"209","EN.PA",5
"210","CA.PA",5
"211","L3L1.F",5
"212","4GNB.F",5
"213","OSG.F",5
"214","OSR.F",5
"215","R7Y1.F",5
"216","3MR.F",5
"217","SCS.F",5
"218","IGQ5.F",5
"219","XOU.F",5
"220","4EA.F",5
"221","MLIMP.PA",5
"222","TZ2.F",5
"223","SFTU.F",5
"224","WEJ.F",5
"225","TRL.F",5
"226","H73.F",5
"227","TUB.F",5
"228","OSK.F",5
"229","BWV.F",5
"230","DX9.F",5
"231","7TO.F",5
"232","PMOX.F",5
"233","GBMB.F",5
"234","L1CC.F",5
"235","8NX.F",5
"236","FAU.F",5
"237","W5G.F",5
"238","KUX.F",5
"239","INT.F",5
"240","0GV.F",5
"241","QAT1.F",5
"242","CUL1.F",5
"243","PRC.PA",5
"244","W2P.F",5
"245","SAYN.F",5
"246","QCQ.F",5
"247","JBL.F",5
"248","OIC.F",5
"249","GSA.F",5
"250","PYW.F",5
"251","WFR.F",5
"252","EUX.F",5
"253","FWQ.F",5
"254","BOT.F",5
"255","3L7A.F",5
"256","LP3.F",5
"257","POM.PA",5
"258","LN5.F",5
"259","OBD.F",5
"260","A2O.F",5
"261","MHN2.F",5
"262","CRI.PA",5
"263","BSX.F",5
"264","CAS.PA",5
"265","VRNL.PA",5
"266","6F1.F",5
"267","2NQA.F",5
"268","BDU.F",5
"269","49P.F",5
"270","4D1.F",5
"271","EUZ.F",5
"272","A8Y1.F",5
"273","SMU.F",5
"274","EJD.F",5
"275","LT7.F",5
"276","0ZE.F",5
"277","KB9.F",5
"278","8CF.F",5
"279","BST.F",5
"280","FKGC.F",5
"281","TBM.F",5
"282","0NP.F",5
"283","DGM.PA",5
"284","GFI.PA",5
"285","CU3.F",5
"286","R6L1.F",5
"287","2R8.F",5
"288","XKR.F",5
"289","4CX1.F",5
"290","L4R.F",5
"291","9IS.F",5
"292","YBB.F",5
"293","SB2.F",5
"294","UVD.F",5
"295","NS9B.F",5
"296","PBD.F",5
"297","1JB.F",5
"298","21S.F",5
"299","TEV.F",5
"300","E36.F",5
"301","MH2.F",5
"302","U9U.F",5
"303","ALO.PA",5
"304","FG9.F",5
"305","O5P.F",5
"306","EP3.F",5
"307","3ND.F",5
"308","G04.F",5
"309","5A7.F",5
"310","IRN.F",5
"311","CR6.F",5
"312","GF8.F",5
"313","CYL.F",5
"314","ECA1.F",5
"315","44E1.F",5
"316","CJEA.F",5
"317","PV6.F",5
"318","ALSIP.PA",5
"319","KK2.F",5
"320","APM.F",5
"321","XRP1.F",5
"322","RYW.F",5
"323","DE2A.F",5
"324","3BY3.F",5
"325","POZG.F",5
"326","CSY.F",5
"327","ALBRI.PA",5
"328","XQC.F",5
"329","PO6.F",5
"330","SSN.F",5
"331","F9IQ.F",5
"332","HUR.F",5
"333","DYC.F",5
"334","UG2.F",5
"335","US5.F",5
"336","F93.F",5
"337","HPG1.F",5
"338","PORTFO",5
"339","UG.PA",6
"340","OEX.F",6
"341","FD5N.F",6
"342","V4S.F",6
"343","WL4N.F",6
"344","4FV.F",6
"345","XIC.F",6
"346","BDZ.F",6
"347","WEG1.F",6
"348","OU8.F",6
"349","FKJ1.F",6
"350","TNN.F",6
"351","RL2.F",6
"352","C4S1.F",6
"353","VPA.F",6
"354","EGZ.F",6
"355","G2K1.F",6
"356","SNM.F",6
"357","MEX.F",6
"358","VSC.F",6
"359","LPO.F",6
"360","PFX1.F",6
"361","VE3N.F",6
"362","LCJ.F",6
"363","0V3.F",6
"364","GG3.F",6
"365","VDY.F",6
"366","DSE.F",6
"367","VCLC.F",6
"368","5RN.F",6
"369","NOEJ.F",6
"370","TGX.F",6
"371","SO3.F",6
"372","S9O.F",6
"373","TZ8.F",6
"374","FCQ.F",6
"375","DOF5.F",6
"376","CNO.F",6
"377","GHFH.F",6
"378","AJXA.F",6
"379","PEU.F",6
"380","4G8.F",6
"381","PKY1.F",6
"382","GRCH.F",6
"383","CMN1.F",6
"384","LJ9.F",6
"385","3EC.F",6
"386","29R.F",6
"387","MEF1.F",6
"388","COC.F",6
"389","YI2A.F",6
"390","KW2.F",6
"391","B5G2.F",6
"392","RDS.F",6
"393","NNIC.F",6
"394","3M4.F",6
"395","CQSN.F",6
"396","ZWS.F",6
"397","J2E.F",6
"398","OXN1.F",6
"399","ALADM.PA",6
"400","E6P.F",6
"401","6CG.F",6
"402","PRZ.F",6
"403","T5N.F",6
"404","QXR2.F",6
"405","O7F.F",6
"406","N3Y.F",6
"407","BYG.F",6
"408","TF2.F",6
"409","LBON.PA",6
"410","A7V1.F",6
"411","JMD.F",6
"412","U9A.F",6
"413","NVPF.F",6
"414","TON.F",6
"415","CL2.F",6
"416","BEM.F",6
"417","QFP.F",6
"418","TIM.F",6
"419","KDIC.F",6
"420","XE9.F",6
"421","ALPRI.PA",6
"422","NN6.F",6
"423","CWB.F",6
"424","288.F",6
"425","FOJ1.F",6
"426","SMTPC.PA",7
"427","LC3.F",7
"428","BI5.F",7
"429","D9W.F",7
"430","MMF.F",7
"431","FEW.F",7
"432","SM1.F",7
"433","MPG.F",7
"434","MSH.F",7
"435","USF1.F",7
"436","EB8.F",7
"437","RGB.F",7
"438","37G1.F",7
"439","DRE2.F",7
"440","GAP.F",7
"441","M9U.F",7
"442","FREY.PA",7
"443","CEK.F",7
"444","WXE.F",7
"445","RKM.F",7
"446","MHC.F",7
"447","MPO.F",7
"448","WORD.F",7
"449","4P7.F",7
"450","I5X.F",7
"451","YC8.F",7
"452","PFM.F",7
"453","ROF.F",7
"454","CG5.F",7
"455","0FK.F",7
"456","FNZ.F",7
"457","E5C.F",7
"458","2G1.F",7
"459","OCW.F",7
"460","KA6N.F",7
"461","N84.F",7
"462","0PE.F",7
"463","GGD.F",7
"464","YAK.F",7
"465","W7D.F",7
"466","G7V.F",7
"467","4XI.F",7
"468","KID1.F",7
"469","GNL1.F",7
"470","45E.F",7
"471","PS4.F",7
"472","MHSG.F",7
"473","XWM.F",7
"474","HO1.F",7
"475","C7C.F",7
"476","76MA.F",7
"477","BC51.F",7
"478","SGQ.F",7
"479","BHN.F",7
"480","I5S.F",7
"481","AI2.F",7
"482","IO0.F",7
"483","H0H1.F",7
"484","LVO.F",7
"485","GE3.F",7
"486","KER.PA",8
"487","X7F1.F",8
"488","AUZ.F",8
"489","AML.F",8
"490","HYN.F",8
"491","XBLA.F",8
"492","4FY.F",8
"493","3SD.F",8
"494","RCIB.F",8
"495","WX5.F",8
"496","NVAL.F",8
"497","CLZ.F",8
"498","UOPN.F",8
"499","IVU.F",8
"500","LBL.F",8
"501","NCYC.F",8
"502","RYD.F",8
"503","AOP.F",8
"504","HI6.F",8
"505","4GE.F",8
"506","AIR.PA",9
"507","SU.PA",9
"508","DG.PA",9
"509","ATO.PA",9
"510","OR.PA",9
"511","LR.PA",9
"512","ML.PA",9
"513","BNP.PA",9
"514","CAP.PA",9
"515","GLE.PA",9
"516","ACA.PA",9
"517","VIV.PA",9
"518","XUN.F",9
"519","DSN.F",9
"520","SZY.F",9
"521","LR6B.F",9
"522","G9U.F",9
"523","BMU.F",9
"524","31D1.F",9
"525","DIREN.PA",9
"526","COA1.F",9
"527","XCRA.F",9
"528","PGV.F",9
"529","5Z0.F",9
"530","KAP.F",9
"531","4PO.F",9
"532","G5N.F",9
"533","OEM.F",9
"534","VJ6.F",9
"535","EDP.F",9
"536","5D8.F",9
"537","FLE.PA",9
"538","MIY.F",9
"539","BLON.F",9
"540","BLC.PA",9
"541","CEXB.F",9
"542","NQG.F",9
"543","PQ2.F",9
"544","EKF.F",9
"545","EMD.F",9
"546","NFC.F",9
"547","NUF.F",9
"548","AEU.F",9
"549","NSU.F",9
"550","3HC.F",9
"551","3I7.F",9
"552","DBG.PA",9
"553","AIL.F",9
"554","MED.F",9
"555","ORJ.F",9
"556","ER2N.F",9
"557","4HM.F",9
"558","B4D.F",9
"559","P1I.F",9
"560","AXI.F",9
"561","AI3A.F",9
"562","SDA.F",9
"563","MFL.F",9
"564","KNIA.F",9
"565","SFM1.F",9
"566","2BU.F",9
"567","3B6A.F",9
"568","CGM.PA",9
"569","PP4A.F",9
"570","4QL.F",9
"571","KCO.F",9
"572","ABW.F",9
"573","RN7.F",9
"574","EFGD.F",9
"575","PHIA.F",9
"576","MEL.F",9
"577","S6N.F",9
"578","3HM.F",9
"579","RHI.F",9
"580","FT1.F",9
"581","4NM1.F",9
"582","P1Z.F",9
"583","MWG2.F",9
"584","AON.F",9
"585","EJF.F",9
"586","ISR.F",9
"587","TIB1.F",9
"588","BNS.PA",9
"589","IHCB.F",9
"590","VLON.F",9
"591","ENGI.PA",10
"592","AI.PA",10
"593","AC.PA",10
"594","C6O.F",10
"595","CJ1.F",10
"596","H09.F",10
"597","BTQ.F",10
"598","03M.F",10
"599","BB2.F",10
"600","CS3.F",10
"601","RJF.F",10
"602","UIS.F",10
"603","SUU.F",10
"604","T921.F",10
"605","SM2.F",10
"606","H6Q.F",10
"607","R90.F",10
"608","P6V.F",10
"609","7ES1.F",10
"610","SI3.F",10
"611","D2T.F",10
"612","2TS.F",10
"613","CHWD.F",10
"614","RMR.F",10
"615","SKFA.F",10
"616","LGG.F",10
"617","NAH.F",10
"618","LIVS.F",10
"619","LMI.F",10
"620","EE9.F",10
"621","NGQ1.F",10
"622","MARA.F",10
"623","ASJA.F",11
"624","CW2.F",11
"625","1I1.F",11
"626","R9G2.F",11
"627","OT5.F",11
"628","MBY.F",11
"629","SW.PA",12
"630","32P.F",12
"631","CTY.F",12
"632","RTC.F",12
"633","TEN.F",12
"634","CIT.F",12
"635","E9P1.F",12
"636","KWO.F",12
"637","ASV.F",12
"638","SKB.F",12
"639","DNQA.F",12
"640","4V1.F",12
"641","BDJ.F",12
"642","8CZ.F",12
"643","HAR.F",12
"644","8C3.F",12
"645","6AH.F",12
"646","IHY3.F",12
"647","ISZN.F",12
"648","R6C.F",12
"649","VOW5.F",12
"650","ALEHT.PA",12
"651","QIA.F",12
"652","DQW1.F",12
"653","VOP.F",13
"654","YST.F",13
"655","MG9.F",13
"656","JI3.F",13
"657","AD9S.F",13
"658","FWF.F",13
"659","13M.F",13
"660","NKB2.F",13
"661","3C1.F",13
"662","EXK.F",13
"663","A60.F",13
"664","IMV.F",13
"665","STF.PA",13
"666","CPH.F",13
"667","ETG.F",13
"668","NHF.F",13
"669","TKTT.PA",13
"670","FAD1.F",13
"671","FUK.F",13
"672","ALUCR.PA",13
"673","PJX.F",13
"674","NZCA.F",13
"675","TPV.F",13
"676","GYJ.F",13
"677","MMM.F",14
"678","LZ1.F",14
"679","KABN.F",14
"680","GUIA.F",14
"681","AD2.F",14
"682","OLD.F",14
"683","DYI.F",14
"684","RNY.F",14
"685","EP7.F",15
"686","NLC.F",15
"687","F8B.F",15
"688","WPIA.F",15
"689","AQHE.F",15
"690","ARTE.PA",15
"691","OI2.F",15
"692","ALPHY.PA",16
"693","8GM.F",16
"694","WUG.F",16
"695","SSM1.F",16
"696","NTN.F",16
"697","CNWK.F",16
"698","MUJ.F",16
"699","STAL.PA",16
"700","RYO1.F",16
"701","M3C.F",16
"702","AMC.F",17
"703","BCY.F",17
"704","V4T.F",17
"705","ECN.F",17
"706","RYS1.F",17
"707","3MI.F",17
"708","3BA.F",17
"709","HBC1.F",17
"710","BOY.F",17
"711","2KE.F",17
"712","KRZ.F",17
"713","SBOA.F",17
"714","YC4.F",18
"715","BJ9.F",18
"716","CDH1.F",18
"717","WI1.F",18
"718","0LW.F",19
"719","XBX.F",19
"720","VIU.F",20
"721","P2I.F",20
"722","SI2.F",21
"723","BKAA.F",21
"724","JLT.F",21
"725","AK2.F",21
"726","FE7.F",21
"727","P2F.F",22
"728","TVP.F",22
