"","Tick_2000-12-11_To_2002-08-07","Membership_2000-12-11_To_2002-08-07"
"1","ADS.DE",1
"2","ENI.DU",1
"3","W1I.DU",1
"4","ENI.MU",1
"5","BBZA.DE",1
"6","AIL.BE",1
"7","VMR1.SG",1
"8","TTFB.MU",1
"9","NVE.SG",1
"10","SWJ.MU",1
"11","RLD.SG",1
"12","FKGC.MU",1
"13","S64.BE",1
"14","AG8.SG",1
"15","HVB.BE",1
"16","PD3.BE",1
"17","VR9.SG",1
"18","OJS1.BE",1
"19","RLD.BE",1
"20","S6IA.BE",2
"21","MIZ.SG",2
"22","XSZ.BE",2
"23","OBA.BE",2
"24","KAP.BE",2
"25","IPH1.BE",2
"26","MZ8.SG",2
"27","MIZ.BE",2
"28","DIP.DU",2
"29","XKK.BE",2
"30","AOF.HM",2
"31","LCJ.BE",2
"32","CFSL.BE",2
"33","KWI.BE",2
"34","UQM.SG",2
"35","EJR.DU",2
"36","UHY1.MU",2
"37","TKK1.BE",2
"38","AKQ.MU",2
"39","I8T.SG",2
"40","XSC.DU",2
"41","UR2.BE",2
"42","UZC.SG",2
"43","VF2.MU",3
"44","HDM.BE",3
"45","A7A.DE",3
"46","BIH.BE",3
"47","IBI.SG",3
"48","ADA.SG",3
"49","MUT3.SG",3
"50","33B.SG",3
"51","SYW.BE",3
"52","PLEK.MU",3
"53","FEW.MU",3
"54","BXR.BE",3
"55","AMD.MU",3
"56","ALB.MU",3
"57","UZS.BE",3
"58","WRW.BE",3
"59","FDK.MU",3
"60","PL4.BE",3
"61","GGZ.MU",3
"62","NVAC.BE",3
"63","TTR1.DU",3
"64","DSY1.HA",3
"65","M8R.BE",3
"66","NVC.SG",3
"67","D9N.SG",3
"68","EZH1.MU",3
"69","DRW8.HM",3
"70","BIF.BE",3
"71","KOA.MU",3
"72","ILK1.SG",3
"73","I76.BE",3
"74","LU2.SG",3
"75","F5B.BE",3
"76","FZM.BE",3
"77","VX1.BE",4
"78","HMSB.BE",4
"79","PYA.MU",4
"80","ADB.DU",4
"81","IT6.DU",4
"82","EUZ.SG",4
"83","GA2.HM",4
"84","KU2.DE",4
"85","ACX.SG",4
"86","ADB.BE",4
"87","LEN.MU",4
"88","ACX.DE",4
"89","WE7.BE",4
"90","CBHD.DU",4
"91","AAD.DU",4
"92","WUG.DU",4
"93","MUB.MU",4
"94","L3X.BE",5
"95","L3X.MU",5
"96","4P1.BE",5
"97","KMB.DU",6
"98","H2FA.DU",6
"99","BSY.BE",6
"100","HMSB.SG",6
"101","I93.MU",6
"102","SVT1.DU",6
"103","BHQ.BE",6
"104","AOG.BE",6
"105","MDD.BE",6
"106","0PE.BE",6
"107","IHM.SG",6
"108","DNO.BE",6
"109","0BD.SG",6
"110","AV7.HM",6
"111","ITR.SG",6
"112","C6F.BE",6
"113","7HP.HM",6
"114","8WY.BE",6
"115","BYW6.DU",6
"116","SUL1.BE",6
