"","Tick_2000-08-02_To_2002-01-22","Membership_2000-08-02_To_2002-01-22"
"1","BPCL.NS",1
"2","IOC.NS",1
"3","NELCO.NS",1
"4","EDUCOMP.BO",1
"5","SVARTCORP.BO",1
"6","PRISMCEM.BO",1
"7","TANLA.BO",1
"8","PANORAMUNI.BO",1
"9","IBREALEST.NS",1
"10","UCOBANK.NS",1
"11","AIAENG.BO",1
"12","EDUCOMP.NS",1
"13","SIEMENS.BO",1
"14","HBLPOWER.NS",1
"15","AIAENG.NS",1
"16","OIL.NS",1
"17","ANDREWYU.BO",1
"18","INDOCRED.BO",2
"19","ASHIMASYN.NS",2
"20","MANGALAM.BO",2
"21","UNIVPRIM.BO",2
"22","RSSOFTWARE.BO",2
"23","MARATHON.BO",2
"24","RITESHIN.BO",2
"25","BAJAJHIND.BO",2
"26","SUCROSA.BO",2
"27","TATAYODOGA.BO",2
"28","NRAGRINDQ.BO",2
"29","WHBRADY.BO",2
"30","CONCOR.BO",2
"31","HNGSNGBEES.NS",2
"32","VALLABHSQ.BO",2
"33","MORARKFI.BO",2
"34","EASTERNGAS.BO",2
"35","INVPRECQ.BO",2
"36","MANINFRA.NS",2
"37","ASMTEC.BO",2
"38","SAYAJIHOTL.BO",2
"39","SAKSOFT.NS",2
"40","BANKBARODA.NS",3
"41","EICHERMOT.NS",3
"42","MARUTI.NS",3
"43","BSL.NS",3
"44","CENPORT.BO",3
"45","JAGAJITIND.BO",3
"46","MOTHERSUMI.BO",3
"47","BOSCHLTD.NS",3
"48","PNBGILTS.BO",3
"49","RAJPACK.BO",3
"50","GMETCOAL.BO",3
"51","FORCEMOT.BO",3
"52","CJGEL.BO",3
"53","POONADAL.BO",3
"54","GOKEX.BO",3
"55","SHARDUL.BO",3
"56","TVSSRICHAK.BO",3
"57","ADFFOODS.NS",3
"58","SWISSGLA.BO",3
"59","GSFC.BO",3
"60","REDEXPR.BO",3
"61","KCP.BO",3
"62","BALMLAWRIE.BO",3
