"","Tick_2001-01-05_To_2001-07-04","Membership_2001-01-05_To_2001-07-04"
"1","BANC",1
"2","BLX",1
"3","BSAC",1
"4","BOH",1
"5","BMO",1
"6","BNS",1
"7","BKU",1
"8","BBT",1
"9","CM",1
"10","COF",1
"11","CMA",1
"12","CBU",1
"13","CPF",1
"14","BAP",1
"15","DKT",1
"16","FNB",1
"17","FBP",1
"18","HSBC",1
"19","IBN",1
"20","KB",1
"21","KEY",1
"22","MTB",1
"23","PNC",1
"24","PB",1
"25","RY",1
"26","SHG",1
"27","STT",1
"28","TD",1
"29","USB",1
"30","WBK",1
"31","MCILX",1
"32","ALL",1
"33","DHY",1
"34","LFC",2
"35","^TYX",2
"36","^TNX",2
"37","1398.HK",2
"38","0939.HK",2
"39","3988.HK",2
"40","3328.HK",2
"41","ASB",3
"42","BCH",3
"43","BXS",3
"44","BAC",3
"45","BK",3
"46","C",3
"47","FCF",3
"48","FHN",3
"49","FBC",3
"50","BSMX",3
"51","ING",3
"52","JPM",3
"53","MSL",3
"54","NBHC",3
"55","PFS",3
"56","RF",3
"57","STL",3
"58","STI",3
"59","SNV",3
"60","VLY",3
"61","WFC",3
"62","WAL",3
"63","WF",3
"64","GS",3
"65","MS",3
"66","SCGLY",3
"67","AIG",3
"68","AZSEY",3
"69","AFL",3
"70","QNBK.QA",3
"71","NTB",3
"72","CUBI",3
"73","TCF",3
"74","PORTFO",3
"75","BBVA",4
"76","SAN",4
"77","BCS",4
"78","DB",4
"79","LYG",4
"80","RBS",4
"81","UBS",4
"82","CS",4
"83","DSEEY",4
"84","NMR",4
"85","BNP.PA",4
"86","G.MI",4
"87","ZURVY",4
"88","^FVX",4
"89","DBK",4
"90","GLE.PA",4
"91","LLOY.L",4
"92","BSBR",5
"93","CIB",5
"94","CFR",5
"95","MFCB",5
"96","OFG",5
"97","JFBC",5
"98","BRK",5
"99","GWB",5
"100","BBD",6
"101","ITUB",6
"102","BFR",7
"103","HDB",7
"104","HTH",7
"105","BMA",7
"106","ZBK",7
"107","MTU",8
"108","MFG",8
"109","SMFG",8
