"","Tick_2000-11-02_To_2018-01-26","Membership_2000-11-02_To_2018-01-26"
"1","ELD.TO",1
"2","AKG.TO",1
"3","YRI.TO",1
"4","K.TO",1
"5","BTO.TO",1
"6","ABX.TO",1
"7","AEM.TO",1
"8","DIIB.TO",1
"9","EXE.TO",1
"10","LYD.TO",1
"11","AR.TO",1
"12","ASR.TO",1
"13","CGG.TO",1
"14","CNL.TO",1
"15","DGC.TO",1
"16","EDR.TO",1
"17","EMA.TO",1
"18","FR.TO",1
"19","PVG.TO",1
"20","G.TO",1
"21","IMG.TO",1
"22","MAG.TO",1
"23","MUX.TO",1
"24","AVN.V",1
"25","NG.TO",1
"26","NGD.TO",1
"27","OGC.TO",1
"28","PG.TO",1
"29","POT.TO",1
"30","SEA.TO",1
"31","SIA.TO",1
"32","SJ.TO",1
"33","SMF.TO",1
"34","SSL.TO",1
"35","TXG.TO",1
"36","SBB.TO",1
"37","MOZ.TO",2
"38","VRX.TO",2
"39","CTO.V",2
"40","EFN.TO",2
"41","ENA.V",2
"42","MMA.V",2
"43","PPL.TO",2
"44","SSC.V",2
"45","ACQ.TO",2
"46","AIM.TO",2
"47","ALA.TO",2
"48","BAD.TO",2
"49","CAS.TO",2
"50","CG.TO",2
"51","CSU.TO",2
"52","DR.TO",2
"53","DRT.TO",2
"54","DSG.TO",2
"55","DVG.V",2
"56","GGI.V",2
"57","GS.TO",2
"58","GUY.TO",2
"59","HCG.TO",2
"60","IPL.TO",2
"61","JE.TO",2
"62","KIV.V",2
"63","KDX.TO",2
"64","KEY.TO",2
"65","MRE.TO",2
"66","UVN.V",2
"67","RBA.TO",2
"68","SSV.V",2
"69","S.TO",2
"70","SNV.V",2
"71","NVT.V",2
"72","TRP.TO",2
"73","AVU.V",2
"74","UFS.TO",2
"75","WDO.TO",2
"76","WPK.TO",2
"77","WTE.TO",2
"78","CNQ.TO",3
"79","LUN.TO",3
"80","FM.TO",3
"81","SU.TO",3
"82","BMO.TO",3
"83","BNS.TO",3
"84","CM.TO",3
"85","TD.TO",3
"86","CFP.TO",3
"87","NA.TO",3
"88","THO.TO",3
"89","WJX.TO",3
"90","XTC.TO",3
"91","^XAX",3
"92","ARE.TO",3
"93","CIX.TO",3
"94","CMG.TO",3
"95","CNR.TO",3
"96","ENF.TO",3
"97","FCR.TO",3
"98","FFH.TO",3
"99","FTS.TO",3
"100","FTT.TO",3
"101","GC.TO",3
"102","IFP.TO",3
"103","IMO.TO",3
"104","AVL.TO",3
"105","MTL.TO",3
"106","NPI.TO",3
"107","SAP.TO",3
"108","TIH.TO",3
"109","TOG.TO",3
"110","TOU.TO",3
"111","VFF.TO",3
"112","WCP.TO",3
"113","WFT.TO",3
"114","WJA.TO",3
"115","PORTFO",3
"116","^GSPTSE",4
"117","RY.TO",4
"118","AOT.V",4
"119","ATA.TO",4
"120","BOS.TO",4
"121","CNE.TO",4
"122","FSZ.TO",4
"123","GDC.TO",4
"124","MFC.TO",4
"125","PWF.TO",4
"126","WRN.TO",4
"127","X.TO",4
"128","^IXIC",4
"129","0939.HK",4
"130","3988.HK",4
"131","3328.HK",4
"132","^GSPC",4
"133","^DJI",4
"134","^NYA",4
"135","^RUT",4
"136","AFN.TO",4
"137","AGU.TO",4
"138","AIF.TO",4
"139","BCE.TO",4
"140","BLX.TO",4
"141","CAE.TO",4
"142","CCA.TO",4
"143","CLS.TO",4
"144","CU.TO",4
"145","EIF.TO",4
"146","GWO.TO",4
"147","L.TO",4
"148","RVL.V",4
"149","LNR.TO",4
"150","MG.TO",4
"151","MSI.TO",4
"152","NFI.TO",4
"153","ORL.TO",4
"154","OSB.TO",4
"155","POW.TO",4
"156","SNC.TO",4
"157","SPB.TO",4
"158","STB.TO",4
"159","STN.TO",4
"160","OVT.V",4
"161","TRI.TO",4
"162","U.TO",4
"163","WN.TO",4
"164","YGR.TO",4
"165","DML.TO",4
"166","PUR.TO",4
"167","BBD-B.TO",5
"168","BTE.TO",5
"169","ECA.TO",5
"170","CPG.TO",5
"171","PD.TO",5
"172","ENB.TO",5
"173","CVE.TO",5
"174","ATH.TO",5
"175","ESN.TO",5
"176","CFW.TO",5
"177","HBM.TO",5
"178","TCW.TO",5
"179","AC.TO",5
"180","BBDB.TO",5
"181","CWB.TO",5
"182","ESI.TO",5
"183","INE.TO",5
"184","LB.TO",5
"185","MEG.TO",5
"186","MRD.TO",5
"187","NVX.V",5
"188","PEY.TO",5
"189","PGF.TO",5
"190","RFC.V",5
"191","TPL.TO",5
"192","AGI.TO",5
"193","ARX.TO",5
"194","BCB.TO",5
"195","BIR.TO",5
"196","BNE.TO",5
"197","BNP.TO",5
"198","CCO.TO",5
"199","CEU.TO",5
"200","CP.TO",5
"201","CPX.TO",5
"202","CR.TO",5
"203","CS.TO",5
"204","DOL.TO",5
"205","DOO.TO",5
"206","EFX.TO",5
"207","EMH.V",5
"208","ERF.TO",5
"209","FRU.TO",5
"210","SVG.V",5
"211","GRV.V",5
"212","GMV.V",5
"213","CVG.TO",5
"214","GEI.TO",5
"215","GTE.TO",5
"216","HLF.TO",5
"217","HSE.TO",5
"218","IGM.TO",5
"219","LTV.V",5
"220","LIF.TO",5
"221","MIC.TO",5
"222","MRU.TO",5
"223","MX.TO",5
"224","LVN.TO",5
"225","NDM.TO",5
"226","NWC.TO",5
"227","OGI.V",5
"228","PBH.TO",5
"229","PKI.TO",5
"230","POU.TO",5
"231","PSI.TO",5
"232","PXT.TO",5
"233","RNW.TO",5
"234","RUS.TO",5
"235","SCL.TO",5
"236","SES.TO",5
"237","SGY.TO",5
"238","TGV.V",5
"239","DVT.V",5
"240","TA.TO",5
"241","TDG.TO",5
"242","TKO.TO",5
"243","UNS.TO",5
"244","VET.TO",5
"245","WSP.TO",5
"246","CF.TO",5
"247","RCH.TO",5
"248","AD.TO",6
"249","CCT.TO",6
"250","DRM.TO",6
"251","EFL.TO",6
"252","ESP.TO",6
"253","FSW.V",6
"254","GWR.TO",6
"255","KUB.V",6
"256","MDV.V",6
"257","MIT.V",6
"258","TII.V",6
"259","TSP.V",6
"260","VPY.V",6
"261","ZKL.V",6
"262","1398.HK",6
"263","AGT.TO",6
"264","AQN.TO",6
"265","AXY.TO",6
"266","BB.TO",6
"267","CGX.TO",6
"268","CJ.TO",6
"269","CLR.TO",6
"270","CRH.TO",6
"271","CWX.TO",6
"272","ECI.TO",6
"273","HVG.V",6
"274","GPV.V",6
"275","GIL.TO",6
"276","HBC.TO",6
"277","IAG.TO",6
"278","IFC.TO",6
"279","ITP.TO",6
"280","TVK.TO",6
"281","KAT.TO",6
"282","KEL.TO",6
"283","FVL.TO",6
"284","TVL.V",6
"285","LIX.V",6
"286","LUC.TO",6
"287","MFI.TO",6
"288","MNW.TO",6
"289","MTS.V",6
"290","IVN.TO",6
"291","NEV.V",6
"292","MVN.V",6
"293","NSU.TO",6
"294","PLI.TO",6
"295","RRX.TO",6
"296","RSI.TO",6
"297","RTI.V",6
"298","SEV.TO",6
"299","SIS.TO",6
"300","SLF.TO",6
"301","SPE.TO",6
"302","SW.TO",6
"303","T.TO",6
"304","EVT.TO",6
"305","TMD.TO",6
"306","TRQ.TO",6
"307","TRZ.TO",6
"308","VLE.TO",6
"309","WEF.TO",6
"310","AVX.V",6
"311","CVX.V",6
"312","ZCL.TO",6
"313","IRG.TO",6
"314","MGW.V",6
"315","ACD.TO",7
"316","MPC.TO",7
"317","IVS.V",7
"318","RVX.TO",7
"319","IVX.V",7
