"","Tick_2000-10-16_To_2001-11-22","Membership_2000-10-16_To_2001-11-22"
"1","5TG.SI",1
"2","J2T.SI",1
"3","AGS.SI",1
"4","S20.SI",1
"5","N08.SI",1
"6","P01.SI",1
"7","BHQ.SI",1
"8","JC7.SI",1
"9","N2H.SI",1
"10","K11.SI",1
"11","C50.SI",1
"12","A52.SI",1
"13","U04.SI",1
"14","Z25.SI",1
"15","5CJ.SI",1
"16","C41.SI",1
"17","H1P.SI",1
"18","5DX.SI",1
"19","P36.SI",1
"20","JC6.SI",1
"21","K03.SI",1
"22","O9C.SI",1
"23","Q01.SI",1
"24","5KI.SI",1
"25","5BS.SI",1
"26","C05.SI",1
"27","D79.SI",1
"28","P2Q.SI",1
"29","5MZ.SI",1
"30","O08.SI",1
"31","S3N.SI",1
"32","Y03.SI",1
"33","5UA.SI",1
"34","PH0.SI",1
"35","U10.SI",1
"36","BJL.SI",1
"37","5DD.SI",1
"38","540.SI",1
"39","5PI.SI",1
"40","BN2.SI",1
"41","BDU.SI",1
"42","O2I.SI",1
"43","RE4.SI",1
"44","Q5T.SI",1
"45","BJZ.SI",1
"46","G11.SI",1
"47","K22.SI",1
"48","5RJ.SI",1
"49","KF8.SI",1
"50","5SY.SI",1
"51","C07.SI",2
"52","T39.SI",2
"53","I06.SI",2
"54","544.SI",2
"55","KJ9.SI",2
"56","BMA.SI",2
"57","P7VU.SI",2
"58","B58.SI",2
"59","T18.SI",2
"60","S51.SI",2
"61","C76.SI",2
"62","P52.SI",2
"63","BQP.SI",2
"64","K29.SI",2
"65","AOF.SI",2
"66","MU7.SI",2
"67","NO4.SI",2
"68","AWS.SI",2
"69","BOL.SI",2
"70","N01.SI",2
"71","5VP.SI",2
"72","5GJ.SI",2
"73","KV4.SI",2
"74","5TP.SI",2
"75","H17.SI",2
"76","5NK.SI",2
"77","CY6U.SI",2
"78","5PL.SI",2
"79","BQM.SI",2
"80","575.SI",2
"81","S44.SI",2
"82","600.SI",2
"83","5FA.SI",2
"84","B26.SI",2
"85","Q0X.SI",2
"86","BCD.SI",2
"87","BOU.SI",2
"88","K75.SI",2
"89","Y45.SI",2
"90","B7K.SI",2
"91","F1E.SI",2
"92","A05.SI",2
"93","M30.SI",2
"94","5RC.SI",2
"95","N2E.SI",2
"96","5NV.SI",2
"97","F99.SI",2
"98","5GI.SI",2
"99","H22.SI",2
"100","5EN.SI",2
"101","H02.SI",2
"102","D01.SI",2
"103","J17.SI",2
"104","BBW.SI",2
"105","M04.SI",2
"106","A04.SI",2
"107","AWV.SI",2
"108","S29.SI",2
"109","KJ5.SI",2
"110","J18.SI",3
"111","BNE.SI",3
"112","5CR.SI",3
"113","NC9.SI",3
"114","NC2.SI",3
"115","G08.SI",3
"116","QC7.SI",3
"117","BRD.SI",3
"118","C06.SI",3
"119","5IE.SI",3
"120","D6U.SI",3
"121","584.SI",3
"122","F9D.SI",3
"123","BLW.SI",3
"124","5AB.SI",3
"125","5UO.SI",3
"126","A75.SI",3
"127","MT1.SI",3
"128","502.SI",3
"129","5TJ.SI",3
"130","E28.SI",3
"131","5BI.SI",3
"132","5EB.SI",3
"133","5UE.SI",3
"134","F3V.SI",3
"135","L02.SI",3
"136","5AI.SI",3
"137","V01.SI",3
"138","BFI.SI",3
"139","MF6.SI",3
"140","5QY.SI",3
"141","CZ4.SI",3
"142","H19.SI",3
"143","5AE.SI",3
"144","5OR.SI",3
"145","T41.SI",3
"146","5OS.SI",3
"147","QR9.SI",3
"148","5MD.SI",3
"149","I5H.SI",3
"150","EB7.SI",3
"151","BHO.SI",3
"152","O32.SI",3
"153","BLS.SI",3
"154","5HV.SI",3
"155","RW0U.SI",3
"156","5EC.SI",3
"157","NR7.SI",3
"158","S85.SI",3
"159","AZW.SI",3
"160","I85.SI",3
"161","H20.SI",3
"162","M1GU.SI",3
"163","R07.SI",3
"164","JK8.SI",3
"165","L09.SI",3
"166","BLH.SI",3
"167","S07.SI",3
"168","A35.SI",3
"169","D03.SI",3
"170","K6Y.SI",3
"171","LS9.SI",3
"172","574.SI",3
"173","S91.SI",3
"174","BJD.SI",3
"175","IH4.SI",3
"176","AWK.SI",3
"177","P19.SI",3
"178","5IG.SI",3
"179","QF6.SI",3
"180","KT3.SI",3
"181","5EV.SI",3
"182","BHK.SI",3
"183","BMT.SI",3
"184","AXB.SI",3
"185","B28.SI",3
"186","T19.SI",3
"187","5IF.SI",3
"188","BDA.SI",3
"189","I15.SI",3
"190","HD9.SI",3
"191","C13.SI",3
"192","M11.SI",3
"193","BQN.SI",3
"194","5FL.SI",3
"195","BKW.SI",3
"196","BQO.SI",3
"197","5RA.SI",3
"198","5PF.SI",3
"199","B10.SI",3
"200","C14.SI",3
"201","AWG.SI",3
"202","BQC.SI",3
"203","BFT.SI",3
"204","40V.SI",3
"205","AWO.SI",3
"206","H1Q.SI",3
"207","558.SI",3
"208","5GF.SI",3
"209","BKA.SI",3
"210","EB5.SI",3
"211","I49.SI",3
"212","AWZ.SI",3
"213","5PC.SI",3
"214","O9D.SI",3
"215","5DP.SI",3
"216","J36.SI",4
"217","SV3U.SI",4
"218","541.SI",4
"219","ND8U.SI",4
"220","T6I.SI",4
"221","ME8U.SI",4
"222","5WH.SI",4
"223","M44U.SI",4
"224","A68U.SI",4
"225","O5RU.SI",4
"226","K71U.SI",4
"227","BCZ.SI",4
"228","LF2.SI",4
"229","H16.SI",4
"230","RE2.SI",4
"231","RF7.SI",4
"232","Y92.SI",5
"233","AZZ.SI",5
"234","AAJ.SI",5
"235","S27.SI",5
"236","5VI.SI",5
"237","W05.SI",5
"238","500.SI",5
"239","AWX.SI",5
"240","5JK.SI",5
"241","5VS.SI",5
"242","MR7.SI",5
"243","S7OU.SI",5
"244","40S.SI",5
"245","5CF.SI",5
"246","S49.SI",5
