"","Tick_2000-09-04_To_2002-01-09","Membership_2000-09-04_To_2002-01-09"
"1","001460.KS",1
"2","000210.KS",1
"3","051910.KS",1
"4","029780.KS",1
"5","005940.KS",1
"6","093380.KQ",1
"7","000650.KS",1
"8","004985.KS",1
"9","007575.KS",1
"10","032080.KQ",1
"11","097950.KS",1
"12","035890.KQ",1
"13","078160.KQ",1
"14","039490.KS",1
"15","016670.KQ",1
"16","005830.KS",1
"17","096770.KS",1
"18","066910.KQ",1
"19","084870.KS",1
"20","006840.KS",1
"21","012620.KQ",1
"22","003100.KQ",1
"23","011300.KS",1
"24","013030.KQ",1
"25","032960.KQ",1
"26","026040.KQ",1
"27","012690.KS",1
"28","140410.KQ",1
"29","102280.KS",1
"30","071050.KS",1
"31","025870.KQ",1
"32","014820.KS",1
"33","098660.KQ",1
"34","065570.KQ",1
"35","020710.KQ",1
"36","018620.KQ",1
"37","011170.KS",1
"38","077280.KQ",1
"39","001080.KS",1
"40","050540.KQ",1
"41","009810.KS",1
"42","032980.KQ",1
"43","020760.KS",1
"44","090430.KS",2
"45","070590.KQ",2
"46","003535.KS",2
"47","009835.KS",2
"48","005490.KS",2
"49","006660.KS",2
"50","069510.KQ",2
"51","001770.KS",2
"52","008800.KQ",2
"53","031860.KQ",2
"54","012610.KS",2
"55","032560.KS",2
"56","004080.KS",2
"57","039340.KQ",2
"58","054300.KQ",2
"59","005250.KS",2
"60","000890.KS",2
"61","003160.KS",2
"62","033130.KQ",2
"63","038880.KQ",2
"64","087730.KQ",2
"65","014580.KS",2
"66","050090.KQ",2
"67","046310.KQ",2
"68","089890.KQ",2
"69","090435.KS",3
"70","001465.KS",3
"71","016920.KQ",3
"72","079160.KS",3
"73","027390.KS",3
"74","008770.KS",3
"75","000725.KS",3
"76","032830.KS",3
"77","060380.KQ",3
"78","131030.KQ",3
"79","004270.KS",3
"80","004960.KS",3
"81","084690.KS",3
"82","006280.KS",3
"83","009310.KS",3
"84","003300.KS",3
"85","000970.KS",3
"86","023960.KS",3
"87","014825.KS",3
"88","064820.KQ",3
"89","900100.KQ",3
"90","002000.KS",3
"91","032860.KQ",3
"92","033100.KQ",3
"93","108670.KS",3
"94","069620.KS",3
"95","079190.KQ",3
"96","006090.KS",3
"97","007160.KS",3
"98","030190.KQ",3
"99","001540.KQ",3
"100","002790.KS",3
"101","008560.KS",3
"102","102940.KQ",3
"103","031440.KS",3
"104","123040.KQ",3
"105","047770.KQ",3
"106","092040.KQ",3
"107","032540.KQ",3
"108","035510.KS",3
"109","128940.KS",3
"110","073570.KQ",3
"111","037460.KQ",3
"112","078130.KQ",3
"113","023900.KQ",3
"114","072520.KQ",3
"115","000640.KS",3
"116","051905.KS",3
"117","004105.KS",3
"118","053690.KS",3
"119","900110.KQ",3
"120","089230.KQ",3
"121","005800.KS",3
"122","072710.KS",3
"123","019180.KS",3
"124","000225.KS",3
"125","063570.KQ",3
"126","101490.KQ",3
"127","089140.KQ",3
"128","001070.KS",3
"129","114630.KQ",3
"130","097955.KS",3
"131","066110.KQ",3
"132","004020.KS",4
"133","000270.KS",4
"134","034220.KS",4
"135","004990.KS",4
"136","010140.KS",4
"137","000105.KS",4
"138","003470.KS",4
"139","033050.KQ",4
"140","008040.KS",4
"141","120240.KQ",4
"142","003090.KS",4
"143","017180.KS",4
"144","010120.KS",4
"145","032820.KQ",4
"146","024720.KS",4
