"","Tick_2001-01-02_To_2001-06-29","Membership_2001-01-02_To_2001-06-29"
"1","IBE.MC",1
"2","NAT.MC",1
"3","EWT.MC",1
"4","ALC.MC",1
"5","R4.MC",1
"6","CDR.MC",1
"7","MAS.MC",1
"8","VID.MC",1
"9","GRI.MC",1
"10","MTB.MC",1
"11","ECR.MC",1
"12","CMM.MC",1
"13","EBI.MC",1
"14","GSJ.MC",1
"15","INY.MC",1
"16","ZNK.MC",1
"17","BNT.MC",1
"18","OLE.MC",1
"19","SPS.MC",1
"20","CIE.MC",1
"21","SNC.MC",1
"22","CMC.MC",1
"23","IMG.MC",1
"24","FAE.MC",1
"25","COM.MC",1
"26","RJF.MC",1
"27","ENC.MC",1
"28","LGT.MC",1
"29","REN.MC",1
"30","BKIA.MC",1
"31","ADZ.MC",1
"32","COL.MC",2
"33","EEP.MC",2
"34","BKT.MC",2
"35","RDM.MC",2
"36","AMP.MC",2
"37","LBK.MC",2
"38","IBG.MC",2
"39","DGI.MC",2
"40","FDR.MC",2
"41","NEA.MC",2
"42","VIS.MC",3
"43","ACS.MC",3
"44","DIA.MC",3
"45","AMS.MC",3
"46","ABE.MC",3
"47","IAG.MC",3
"48","FER.MC",3
"49","^IBEX",3
"50","AIR.MC",3
"51","GCO.MC",3
"52","REP.MC",3
"53","IDR.MC",3
"54","CAF.MC",3
"55","ISUR.MC",3
"56","BAY.MC",3
"57","ZOT.MC",3
"58","CBAV.MC",3
"59","IKM.MC",3
"60","ITX.MC",3
"61","AZK.MC",3
"62","MED.MC",3
"63","ABB.MC",3
"64","GALQ.MC",3
"65","PORTFO",3
"66","FUN.MC",4
"67","TRG.MC",4
"68","MCM.MC",4
"69","ABG.MC",4
"70","ROVI.MC",4
"71","MDF.MC",4
"72","RLIA.MC",4
"73","PRM.MC",4
"74","VOC.MC",4
"75","ADV.MC",4
"76","ABG-P.MC",4
"77","OHL.MC",4
"78","ENG.MC",5
"79","GAS.MC",5
"80","MEL.MC",5
"81","MAP.MC",5
"82","ALB.MC",5
"83","BME.MC",5
"84","BIO.MC",5
"85","QBT.MC",5
"86","SLR.MC",5
"87","SCYR.MC",5
"88","TUB.MC",5
"89","TL5.MC",5
"90","A3M.MC",5
"91","EBRO.MC",5
"92","NHH.MC",5
"93","PVA.MC",5
"94","BDL.MC",5
"95","PSG.MC",5
"96","TEF.MC",6
"97","SAN.MC",6
"98","TRE.MC",6
"99","CABK.MC",6
"100","SAB.MC",6
"101","BBVA.MC",6
"102","MTS.MC",6
"103","PHM.MC",6
"104","ACX.MC",6
"105","EZE.MC",6
"106","ENO.MC",6
"107","ELE.MC",7
"108","ALM.MC",7
"109","GRF-P.MC",7
"110","REE.MC",7
"111","CAR.MC",7
"112","RIO.MC",7
"113","PAC.MC",7
"114","GRF.MC",8
"115","ANA.MC",8
"116","APAM.MC",8
"117","FCC.MC",8
"118","STG.MC",8
"119","PRS.MC",8
