"","Tick_2000-11-08_To_2001-05-29","Membership_2000-11-08_To_2001-05-29"
"1","FING-B.ST",1
"2","GETI-B.ST",1
"3","ACTI.ST",1
"4","DEDI.ST",1
"5","BTS-B.ST",1
"6","NVP.ST",1
"7","ACAN-B.ST",1
"8","STWK.ST",1
"9","MIDW-A.ST",1
"10","FPIP.ST",1
"11","DIAH.ST",1
"12","ORI.ST",1
"13","OASM.ST",1
"14","SJR-B.ST",1
"15","HMED.ST",1
"16","HMS.ST",1
"17","DIGN.ST",1
"18","ELAN-B.ST",1
"19","NETI-B.ST",1
"20","A1M.ST",1
"21","BULTEN.ST",1
"22","NAXS.ST",1
"23","BALD-B.ST",1
"24","DELARK.ST",1
"25","MSAB-B.ST",1
"26","POOL-B.ST",1
"27","ORX.ST",1
"28","IVSO.ST",1
"29","LOOM-B.ST",1
"30","NOLA-B.ST",1
"31","SEMC.ST",1
"32","UFLX-B.ST",1
"33","UTG.ST",1
"34","RLS.ST",1
"35","BIOG-B.ST",1
"36","SAAB-B.ST",1
"37","INDT.ST",1
"38","ORTI-B.ST",1
"39","ODFBO.ST",1
"40","MACK-B.ST",1
"41","FPAR-PREF.ST",1
"42","AUR.ST",1
"43","JLT.ST",1
"44","COPP-B.ST",1
"45","FAG.ST",1
"46","ARCM.ST",1
"47","CTT.ST",1
"48","CONF.ST",1
"49","NLAB.ST",1
"50","OEM-B.ST",1
"51","DORO.ST",1
"52","SEAM.ST",1
"53","SEAB-B.ST",1
"54","KLOV-PREF.ST",1
"55","KINV-A.ST",1
"56","ANOD-B.ST",1
"57","BEIJ-B.ST",1
"58","FEEL.ST",1
"59","CCOR-B.ST",1
"60","PREV-B.ST",1
"61","HIFA-B.ST",1
"62","EWRK.ST",1
"63","PRIC-B.ST",1
"64","CONS-B.ST",1
"65","CLAS-B.ST",1
"66","IS.ST",1
"67","HTRO.ST",1
"68","WINT.ST",1
"69","CCC.ST",1
"70","CEVI.ST",1
"71","SBOK.ST",1
"72","DIOS.ST",1
"73","ADDV-A.ST",1
"74","DUNI.ST",1
"75","BURE.ST",1
