"","Tick_2000-12-06_To_2018-01-29","Membership_2000-12-06_To_2018-01-29"
"1","CFR.VX",1
"2","ZURN.VX",1
"3","LHN.VX",1
"4","UBSG.VX",1
"5","CSGN.VX",1
"6","GAM.SW",1
"7","VATN.SW",1
"8","NEV.SW",1
"9","ISN.SW",1
"10","ROL.SW",1
"11","EVE.SW",1
"12","INRN.SW",1
"13","EFGN.SW",1
"14","LLY.SW",1
"15","VET.SW",1
"16","CPHN.SW",1
"17","UHRN.SW",1
"18","SCMN.VX",2
"19","GEBN.VX",2
"20","GIVN.VX",2
"21","SFZN.SW",2
"22","IMPN.SW",2
"23","BARN.SW",2
"24","DKSH.SW",2
"25","MOBN.SW",2
"26","SCHN.SW",2
"27","GE.SW",2
"28","ALLN.SW",2
"29","IFCN.SW",2
"30","BCJ.SW",2
"31","FHZN.SW",2
"32","EDHN.SW",2
"33","BAS.SW",2
"34","VW.SW",2
"35","TECN.SW",2
"36","SCHP.VX",2
"37","KARN.SW",2
"38","SIN.SW",2
"39","BSLN.SW",2
"40","PSPN.SW",2
"41","LONN.VX",3
"42","SLHN.VX",3
"43","ABBN.VX",3
"44","ADEN.VX",3
"45","BAER.VX",3
"46","SREN.VX",3
"47","SIK.VX",3
"48","CFT.SW",3
"49","HREN.SW",3
"50","HUBN.SW",3
"51","BALN.VX",3
"52","GAV.SW",3
"53","DUFN.VX",3
"54","ODHN.SW",3
"55","ALTN.SW",3
"56","CLN.VX",3
"57","CPEN.SW",3
"58","PWTN.SW",3
"59","SQN.SW",3
"60","MIKN.SW",3
"61","SUN.SW",3
"62","PARG.SW",3
"63","LIFE.SW",3
"64","TEMN.SW",3
"65","CLTN.SW",3
"66","RIEN.SW",3
"67","VW-V.SW",3
"68","SHLTN.SW",3
"69","SLB.SW",3
"70","FORN.SW",3
"71","ADXN.SW",3
"72","EPH.SW",3
"73","CPGN.SW",3
"74","SWTQ.SW",3
"75","DAE.SW",3
"76","BCVN.SW",3
"77","APGN.SW",3
"78","KOMN.SW",3
"79","KUD.SW",3
"80","VALN.SW",3
"81","PMI.SW",3
"82","PM.SW",3
"83","BBN.SW",3
"84","LISN.SW",3
"85","ZEHN.SW",3
"86","SOON.VX",3
"87","KNIN.VX",3
"88","HELN.SW",3
"89","SAHN.SW",3
"90","HBLN.SW",3
"91","VONN.SW",3
"92","COM.SW",3
"93","CASN.SW",3
"94","BEAN.SW",3
