"","Tick_2000-11-16_To_2001-10-18","Membership_2000-11-16_To_2001-10-18"
"1","SKY.L",1
"2","EZJ.L",1
"3","BAF.L",1
"4","GRIO.L",1
"5","NUOG.L",1
"6","TRX.L",1
"7","NAK.L",1
"8","TYRU.L",1
"9","ONEV.L",1
"10","NANO.L",1
"11","IKK.L",1
"12","MTL.L",1
"13","WSP.L",1
"14","SIHL.L",1
"15","IHC.L",1
"16","AGQ.L",1
"17","MAI.L",1
"18","AUK.L",1
"19","BOR.L",1
"20","CAM.L",1
"21","SFR.L",1
"22","PGD.L",1
"23","CTH.L",1
"24","DPLM.L",1
"25","AEO.L",1
"26","MNC.L",1
"27","LPA.L",1
"28","PUM8.L",1
"29","PKG.L",1
"30","MNL.L",1
"31","CNMI.L",1
"32","BQE.L",1
"33","TRK.L",1
"34","HYDG.L",1
"35","VENN.L",1
"36","DP3E.L",1
"37","BRLA.L",1
"38","ESCH.L",1
"39","SLNG.L",1
"40","AIFZ.L",1
"41","SDM.L",1
"42","MAV4.L",1
"43","DNLM.L",1
"44","MCGN.L",1
"45","WYG.L",1
"46","TMT.L",1
"47","COS.L",1
"48","WAND.L",1
"49","BRY.L",1
"50","CAML.L",1
"51","PTEC.L",1
"52","PTY.L",1
"53","HVT.L",1
"54","MAGP.L",1
"55","CYAN.L",1
"56","CAMB.L",1
"57","VIP.L",1
"58","QIL.L",1
"59","ICGC.L",1
"60","HYUO.IL",1
"61","BUR.L",1
"62","ATMA.L",1
"63","FPO.L",1
"64","AFRB.L",1
"65","PTD.L",1
"66","ARBB.L",1
"67","WINE.L",1
"68","MGNS.L",1
"69","AUG.L",1
"70","VELA.L",1
"71","POS.L",1
"72","CMX.L",1
"73","WRES.L",1
"74","MOGP.L",1
"75","IGG.L",1
"76","ELX.L",1
"77","IBPO.L",1
"78","BEG.L",1
"79","MPO.L",1
"80","GLB.L",1
"81","SLI.L",1
"82","NICL.L",1
"83","BWSA.L",1
"84","AIR.L",1
"85","DJAN.L",1
"86","SAFE.L",1
"87","WALG.L",1
"88","BLBD.IL",1
"89","CRDA.L",1
"90","IQE.L",1
"91","DO1D.L",1
"92","EIH.L",1
"93","KAY.L",1
"94","SRE.L",1
"95","JSG.L",1
"96","APC.L",1
"97","BGEO.L",1
"98","HVE.L",1
"99","OBT.L",1
"100","DUKE.L",1
"101","IFP.L",1
"102","CCPE.L",1
"103","ALPH.L",1
"104","RIC.L",1
"105","NCSP.IL",1
"106","IPEL.L",1
"107","AXS.L",1
"108","RR.L",2
"109","TSCO.L",2
"110","PFG.L",2
"111","BPC.L",2
"112","EUA.L",2
"113","RSAB.L",2
"114","EAH.L",2
"115","ATST.L",2
"116","JEL.L",2
