"","Tick_2001-01-15_To_2001-08-03","Membership_2001-01-15_To_2001-08-03"
"1","IBM",1
"2","MRK",1
"3","PFE",1
"4","NKE",1
"5","CVX",1
"6","XOM",1
"7","MCD",1
"8","WMT",1
"9","JNJ",1
"10","BA",1
"11","^XAX",1
"12","^N225",1
"13","^AXJO",1
"14","^AORD",1
"15","^KLSE",1
"16","^BVSP",1
"17","TD",1
"18","^SSMI",1
"19","BNS",1
"20","BMO",1
"21","CM",1
"22","^DJU",1
"23","PORTFO",1
"24","V",2
"25","VZ",2
"26","MSFT",2
"27","^BSESN",2
"28","^JKSE",2
"29","^MXX",2
"30","^IPSA",2
"31","^NSEI",2
"32","SPLK",2
"33","UNH",3
"34","MMM",3
"35","INTC",3
"36","UTX",3
"37","HD",3
"38","CSCO",3
"39","AAPL",3
"40","DIS",3
"41","KO",3
"42","GE",3
"43","^GSPTSE",3
"44","^GSPC",3
"45","^DJI",3
"46","^IXIC",3
"47","^NYA",3
"48","^TWII",3
"49","^XMI",3
"50","^OEX",3
"51","^PSE",3
"52","^RUA",3
"53","^RUI",3
"54","TRV",4
"55","PG",4
"56","AXP",4
"57","CAT",4
"58","^RUT",4
"59","^STI",4
"60","^NZ50",4
"61","WFC",4
"62","HSBC",4
"63","MCILX",4
"64","^FVX",4
"65","^MID",4
"66","^TNX",5
"67","^TYX",5
"68","1398.HK",5
"69","0939.HK",5
"70","3988.HK",5
"71","3328.HK",5
"72","GS",6
"73","JPM",6
"74","C",6
"75","BAC",6
"76","AIG",6
"77","MS",6
"78","^KS11",6
"79","RBS",6
"80","DB",6
"81","^NWX",6
"82","ING",6
"83","^FTSE",7
"84","^GDAXI",7
"85","^FCHI",7
"86","^STOXX50E",7
"87","^N100",7
"88","^BFX",7
"89","^HSI",7
"90","RY",7
"91","^ATX",7
"92","^AEX",7
"93","^SSEC",8
"94","^OSEAX",8
"95","^OMXSPI",8
"96","^XAU",8
"97","^NBI",8
"98","MICEXINDEXCF.ME",9
"99","^MERV",9
"100","ZBK",9
