"INDICATOR","STATIONARYDISTRIBUTION","MEMBERSHIP"
"CMDEBT",0.0235699197213632,2
"A794RC0Q052SBEA",0.0234510155104804,2
"WASCUR",0.0233953341316311,2
"GNP",0.023395305253107,2
"GDP",0.0232502131054553,2
"IMPGS",0.0232056593523093,2
"GPDI",0.0230995544517296,2
"PI",0.0230492754503315,2
"CSUSHPINSA",0.0230169799582805,2
"TOTALSL",0.0230044426985808,2
"DRTSCILM",0.0228575266053008,2
"EXPGS",0.0222282016712402,2
"CPILFESL",0.0221083117779637,2
"TOTBKCR",0.0197562217447023,2
"WCURCIR",0.0190679705569771,2
"M2",0.0188914922912937,2
"USGSEC",0.0180578301305483,2
"PPIACO",0.0179431675187953,2
"WTB6MS",0.0178638434331928,2
"BUSINV",0.017452962742021,2
"WGS1YR",0.0171436262916223,2
"CPIAUCSL",0.0169260410995372,2
"AHEMAN",0.0163959219543389,2
"MZM",0.0161285702153971,2
"WGS2YR",0.0156792827989496,2
"IR",0.0148797600662196,2
"BOPGEXP",0.0143659621747529,2
"WTB3MS",0.0138540423844484,2
"CPIAUCNS",0.0133697877392848,2
"FEDFUNDS",0.0132856099162072,2
"NASDAQCOM",0.0131472782124819,2
"WGS3YR",0.0130200112455309,2
"CDSP",0.0128413455464403,2
"BOPSIMP",0.0128172070192901,2
"WILL5000IND",0.0125294904189452,2
"WILL5000INDFC",0.0124794693425961,2
"BOPGIMP",0.0124014957195107,2
"MPRIME",0.0121978786730826,2
"DJIA",0.0119481740942293,2
"TREAST",0.0118746495609416,2
"SP500",0.0114934367063787,2
"TLAACBW027SBOG",0.0105841901675791,2
"BUSLOANS",0.0102709267454664,2
"INDPRO",0.00986634873300811,2
"UNRATE",0.00900039948959479,2
"TOTALSEC",0.00886414311068091,2
"UEMP27OV",0.00881994879407839,2
"DGI",0.00805291367963744,2
"WGS5YR",0.00765923292674734,2
"TGDEF",0.00713567361045872,2
"CE16OV",0.00705292827939165,2
"M1V",0.00690605655380254,6
"BOPSTB",0.00673584693675696,2
"TCU",0.00636280808955285,2
"M2V",0.00590899956334096,4
"AWOTMAN",0.00553904903501504,1
"CUUR0000SETB01",0.00493723848698482,2
"FGRECPT",0.00487982581025383,4
"TTLCONS",0.00483883045939622,2
"NFCICREDIT",0.00441757827997916,2
"DPCREDIT",0.00425382817042908,2
"FF",0.00424104384226419,2
"PSAVE",0.00422238778703527,2
"WALCL",0.0040953446124857,2
"CUSR0000SETB01",0.00392957939954975,6
"SAVINGS",0.00379187537285158,2
"TB3MS",0.00366840331789811,2
"INVEST",0.00359860461080705,6
"WGS7YR",0.0035248230346063,2
"DRISCFLM",0.0035174229072544,2
"MZMV",0.00339871658734073,2
"M1",0.00325552581371609,2
"CP",0.00301699088832016,5
"RESBALREQ",0.00301678733662814,2
"DEXUSEU",0.00297019250504338,6
"COMPOUT",0.0029432703333367,2
"T10Y2Y",0.00292455545100292,2
"DBAA",0.00284857127267972,4
"CRESTKCPIXSLTRM159SFRBATL",0.00284361214899402,4
"UEMPMED",0.00283058534742713,2
"DIVIDEND",0.00278560070282433,5
"STLFSI",0.00277242422652808,4
"MORTGAGE30US",0.00252050615212435,2
"BAMLCC4A0710YTRIV",0.00249365390251394,4
"WBAA",0.00247777572268816,4
"EXCSRESNS",0.00235695904854094,2
"RESBALNS",0.00215037066565631,4
"WGS10YR",0.00214167833025391,2
"DRTSCIS",0.00212145550500124,3
"MULT",0.00199927178484721,2
"DAAA",0.00187081583645953,4
"DEXUSUK",0.00181982041446425,1
"GFDEGDQ188S",0.00179497004686498,3
"DEXCHUS",0.00175427669007903,1
"DALLCACBEP",0.00169119820674054,1
"EQTA",0.00165323147422474,3
"WAAA",0.00160419208961459,4
"DRSDCILM",0.00158243088084585,3
"T10YIE",0.00153452688650761,2
"EMRATIO",0.00131826545830152,2
"MBST",0.00122913656221045,4
"WILLREITIND",0.00122068885101164,5
"BOPGTB",0.00120665088483063,1
"PSAVERT",0.00119715027420983,3
"ALTSALES",0.00119407892252782,3
"BOPGSTB",0.0011610415715958,1
"TOTALSA",0.0011608785912553,3
"DGS30",0.00114938755765392,4
"WGS30YR",0.00112836188728104,4
"WILLRESIPR",0.00111588419969231,1
"A191RI1Q225SBEA",0.00109727616725106,6
"DGORDER",0.00106651117729193,2
"GOLDPMGBD228NLBM",0.00105891854753461,3
"WRESBAL",0.00102713573121805,4
"IMPCH",0.00102197365349674,3
"VXVCLS",0.00100991694970365,1
"DEXCAUS",0.000969974284154752,3
"NETFI",0.000869794986906966,2
"DEXMXUS",0.000842709646098736,4
"DEXJPUS",0.000778234336472975,1
"EXPCA",0.000755060990203257,7
"VIXCLS",0.000720830528047311,1
"IMPCA",0.00072045996475283,7
"EXPUK",0.000679063427553108,2
"EXPCH",0.000666325231161496,3
"UMCSENT",0.00066112688670766,2
"PERMIT",0.000643713738794053,1
"VolatiSP500",0.000636742256826471,1
"IMPMX",0.000633529192119697,7
"GRCPROINDMISMEI",0.000617371983488273,2
"VolatiDJIA",0.000609204764940932,1
"IMPUK",0.00058175668788421,3
"VolatiWILL5000IND",0.000573062930075297,1
"EXPMX",0.000536780187238804,7
"CIVPART",0.000506693309015489,3
"HSN1F",0.000494374805512639,2
"HOUST",0.000493814537714807,6
"DGS10",0.000478698375430892,5
"IMPGE",0.000467159238565751,2
"AWHMAN",0.000448454236194208,2
"MEDCPIM157SFRBCLE",0.000421407645726904,6
"EXPGE",0.000416778689841298,2
"GRCSARTMISMEI",0.000390153638424517,6
"IMPJP",0.000384233557488732,3
"EXPJP",0.000344745611927566,2
