"INDICATOR","STATIONARYDISTRIBUTION","MEMBERSHIP"
"DRTSCILM",0.0516192654213708,0
"TREAST",0.0262697061000529,0
"TOTALSEC",0.0221491160610388,0
"UEMP27OV",0.0217375997421991,0
"EXPGS",0.0203461683342739,0
"WGS3YR",0.0199736557136459,0
"BUSLOANS",0.0190652830785016,0
"UNRATE",0.017334670978898,0
"AWOTMAN",0.0162649953829701,0
"TGDEF",0.0162548134866369,0
"IR",0.0157434024359207,0
"AHEMAN",0.0156427717059275,0
"WGS5YR",0.0151437630130803,0
"WGS2YR",0.0151030634691188,0
"CPIAUCSL",0.0149517882760318,0
"INDPRO",0.0147563770719821,0
"M1V",0.0135441390247351,0
"M2V",0.0128713509939217,0
"CPIAUCNS",0.0126352557366343,0
"DBAA",0.0122771001524584,0
"TCU",0.0121682190093728,0
"PPIACO",0.0119196154212046,0
"WGS1YR",0.0118830524407639,0
"WTB6MS",0.0116472178948093,0
"CDSP",0.0113360444241757,0
"BOPGEXP",0.0110496218230119,0
"BOPGIMP",0.0109824391063728,0
"BOPSTB",0.0108112507896696,0
"USGSEC",0.0107101120588427,0
"WCURCIR",0.0105941681730332,0
"TOTBKCR",0.0105507836849821,0
"BUSINV",0.0103885035253929,0
"WTB3MS",0.0101878817456488,0
"PSAVE",0.0101494322586891,0
"WBAA",0.0101450338455015,0
"FGRECPT",0.00981631441704914,0
"CPILFESL",0.00957909183258794,0
"MPRIME",0.00949716628759851,0
"M2",0.00912028669581746,0
"WALCL",0.00910652577949945,0
"DAAA",0.00900099137341526,0
"DRISCFLM",0.00893347395753855,0
"FEDFUNDS",0.00881829657974447,0
"STLFSI",0.0080278656119339,0
"WILL5000INDFC",0.00765563853117942,0
"NASDAQCOM",0.00753961274783156,0
"NFCICREDIT",0.00732012180550578,0
"WILL5000IND",0.00728913738568737,0
"DJIA",0.00717839828874404,0
"MZM",0.00714593719042741,0
"CRESTKCPIXSLTRM159SFRBATL",0.00691663408584171,0
"TTLCONS",0.00688322610170002,0
"PI",0.00687246041173117,0
"WAAA",0.00684414378958691,0
"CMDEBT",0.00659100767794332,0
"GDP",0.00659069738041281,0
"TOTALSL",0.00654643501867263,0
"GPDI",0.00651714253698441,0
"A794RC0Q052SBEA",0.00650166632773047,0
"IMPGS",0.00648437724756906,0
"WASCUR",0.00647205795890546,0
"SP500",0.00645430458964172,0
"CSUSHPINSA",0.00643563505655141,0
"CUUR0000SETB01",0.00640464683356679,0
"CE16OV",0.0063514311437084,0
"GNP",0.00631233986408231,0
"DIVIDEND",0.00622238683001578,0
"BAMLCC4A0710YTRIV",0.00614954956054643,0
"TLAACBW027SBOG",0.00613050066821078,0
"CUSR0000SETB01",0.0060922802415675,0
"BOPSIMP",0.00600921521460774,0
"WGS7YR",0.00595737109491052,0
"DRTSCIS",0.00535539801419637,0
"DEXCHUS",0.00531651437334297,0
"TB3MS",0.00531336555690385,0
"MZMV",0.00525528249006574,0
"T10Y2Y",0.00521195313616517,0
"UEMPMED",0.00505608501565688,0
"CP",0.00498866517468465,0
"MORTGAGE30US",0.00494885133102629,0
"DEXUSEU",0.00479970744303037,0
"DEXUSUK",0.00454084484405246,0
"WGS10YR",0.00448419906728454,0
"GFDEGDQ188S",0.00442996023280534,0
"INVEST",0.0044253504786828,0
"FF",0.00416693268074488,0
"MULT",0.00404953251679287,0
"DGI",0.00401543300577892,0
"RESBALREQ",0.00388542283999332,0
"EQTA",0.00380827260208536,0
"RESBALNS",0.00375281194118836,0
"DPCREDIT",0.00355115144205203,0
"MBST",0.00352857684268368,0
"DALLCACBEP",0.00349141764522379,0
"EXCSRESNS",0.00339643668658095,0
"WGS30YR",0.00338788618502142,0
"BOPGTB",0.00338439065395836,0
"ALTSALES",0.00326672131121497,0
"TOTALSA",0.00326119679958836,0
"DGS30",0.00325516355675401,0
"BOPGSTB",0.00309418090370545,0
"WILLREITIND",0.00306345350931821,0
"WILLRESIPR",0.00300982220863959,0
"M1",0.00289519257537394,0
"COMPOUT",0.00266481026387399,0
"DRSDCILM",0.00262622134253514,0
"A191RI1Q225SBEA",0.00251922534465248,0
"IMPCH",0.00247463513763012,0
"SAVINGS",0.00234452164848551,0
"T10YIE",0.00233284909254348,0
"VXVCLS",0.00221457116705248,0
"WRESBAL",0.00207557838621178,0
"PSAVERT",0.00204154777465408,0
"GOLDPMGBD228NLBM",0.00203652319566648,0
"VolatiSP500",0.00185948571093568,0
"VolatiDJIA",0.00177617591580074,0
"EXPCA",0.00177078888720259,0
"NETFI",0.00176063169673955,0
"IMPMX",0.00174671441101736,0
"DEXMXUS",0.00171723748736454,0
"VIXCLS",0.00167601715671584,0
"VolatiWILL5000IND",0.00161465297729818,0
"DEXJPUS",0.001588319290347,0
"DEXCAUS",0.00157084811670469,0
"PERMIT",0.00149621495184002,0
"DGORDER",0.00146981180014471,0
"EXPCH",0.00146906499019877,0
"IMPCA",0.00143043717937453,0
"EMRATIO",0.00141177469745837,0
"EXPUK",0.00134963796360768,0
"UMCSENT",0.00129965955779809,0
"EXPMX",0.00123827780667245,0
"GRCPROINDMISMEI",0.00117382598859382,0
"IMPUK",0.00115728773812871,0
"CIVPART",0.0010670440578347,0
"HOUST",0.0010355053476524,0
"IMPGE",0.000958364314706476,0
"EXPGE",0.000945945904164052,0
"MEDCPIM157SFRBCLE",0.000915540710302002,0
"HSN1F",0.000892967901330406,0
"IMPJP",0.000836983102793585,0
"DGS10",0.000834882622040622,0
"AWHMAN",0.000821762409447887,0
"EXPJP",0.000712662000849987,0
"GRCSARTMISMEI",0.000704790387115615,0
