"","x"
"2",2503
"3",4940
"4",7368
"5",7851
"6",8322
"7",9476
"8",11972
"9",14197
"10",16199
"11",18345
"12",18711
"13",18888
"14",20756
"15",22767
"16",25845
"17",27704
"18",29819
"19",30257
"20",30394
"21",31803
"22",33515
"23",35508
"24",37286
"25",39285
"26",39563
"27",39718
"28",40850
"29",42361
"30",44219
"31",45327
"32",47624
"33",48017
"34",48140
"35",49347
"36",51008
"37",52626
"38",53342
"39",55394
"40",55840
"41",55971
"42",57164
"43",58578
"44",60170
"45",63386
"46",65375
"47",65681
"48",65797
"49",67024
"50",68481
"51",70091
"52",70469
"53",71016
"54",71181
"55",71280
"56",73150
"57",74687
"58",76638
"59",77976
"60",80090
"61",80591
"62",80772
"63",82100
"64",83867
"65",85718
"66",87012
"67",89099
"68",89512
"69",89707
"70",90998
"71",92729
