"","TICKS","B"
"1","Albania",0.179650191566225
"2","Algeria",0.119881802506272
"3","Andorra",-0.106514023709752
"4","Angola",0.0048813811100593
"5","Argentina",-0.0625134217486951
"6","Armenia",0.1070365838118
"7","Australia",-0.0656717792447274
"8","Austria",0.178283700083582
"9","Azerbaijan",0.191840416946308
"10","Bahamas",-0.042694000589342
"11","Bahrain",0.198866282798556
"12","Bangladesh",0.218378348191573
"13","Barbados",-0.0645532524524388
"14","Belarus",0.0047777668017974
"15","Belgium",0.112558359048747
"16","Belize",0.135955328664988
"17","Bolivia",-0.0444143754718814
"18","Bosnia.and.Herzegovina",0.139650283999902
"19","Botswana",-0.0294612789922227
"20","Brazil",0.221283475398712
"21","Bulgaria",0.1083958270407
"22","Burundi",-0.0523759350985501
"23","Cabo.Verde",-0.0207597144243416
"24","Canada",-0.0267520606456036
"25","Chile",0.160673657112324
"26","Colombia",0.154884549965706
"27","Congo.(Kinshasa)",-0.0251643781210045
"28","Costa.Rica",0.183345512054063
"29","Cote.d'Ivoire",0.00421045228052112
"30","Croatia",0.198734638160017
"31","Cuba",0.147480503043093
"32","Cyprus",-0.016547473531786
"33","Czechia",0.160477854313232
"34","Denmark",0.173859855417219
"35","Dominican.Republic",-0.0498173297650139
"36","Ecuador",0.185664276800796
"37","Egypt",0.12679334440543
"38","Estonia",0.217931145788059
"39","Ethiopia",0.00147492411822922
"40","Fiji",-0.0196639245603534
"41","Finland",-0.0837926428164154
"42","France",-0.0439763427671332
"43","Gabon",0.000960207013218604
"44","Georgia",0.107753137833483
"45","Germany",0.149442623100141
"46","Ghana",-0.00257380308215619
"47","Greece",-0.00465569304716395
"48","Grenada",-0.0371731968150883
"49","Guatemala",0.119236080319512
"50","Guyana",-0.0576045119794515
"51","Honduras",0.129022923093029
"52","Hungary",0.201805924761239
"53","Iceland",-0.0111975840566275
"54","India",0.11479709061544
"55","Indonesia",0.209475962402613
"56","Iran",0.215404355930104
"57","Iraq",0.143185924105451
"58","Ireland",-0.0500947894355819
"59","Israel",0.106963299659846
"60","Italy",-0.044411468490816
"61","Jamaica",-0.0563574677283719
"62","Japan",0.116717954933241
"63","Jordan",0.15781841583363
"64","Kazakhstan",0.209952396909882
"65","Kenya",-0.0194841131442365
"66","Korea.South",0.022563631629838
"67","Kosovo",0.213645491375955
"68","Kuwait",0.172093548411224
"69","Kyrgyzstan",0.148180362746976
"70","Laos",-0.0103775367568907
"71","Latvia",0.20240991673405
"72","Lebanon",-0.0533152817616371
"73","Libya",0.00921848988675554
"74","Lithuania",0.184444405900182
"75","Luxembourg",0.142721373500046
"76","Madagascar",-0.0137051416067006
"77","Malawi",-0.018869312882705
"78","Malaysia",-0.0157700448007138
"79","Maldives",0.111701131049462
"80","Mali",-0.0564897386937216
"81","Malta",-0.00315864346811111
"82","Mauritania",-0.0424515415388298
"83","Mexico",0.217045101730158
"84","Moldova",0.169728529701273
"85","Mongolia",0.146823814986164
"86","Montenegro",-0.0287875401840643
"87","Morocco",0.217480100780534
"88","Mozambique",-0.0251540335419154
"89","Namibia",0.000779221820880495
"90","Nepal",0.195134981490606
"91","Netherlands",0.212908171225988
"92","Nigeria",-0.00619611487625966
"93","North.Macedonia",0.173998854649547
"94","Norway",0.158061202726276
"95","Oman",0.145837213357624
"96","Pakistan",0.134771888520378
"97","Panama",0.120495641039751
"98","Paraguay",0.117223577103544
"99","Peru",0.150665067611581
"100","Philippines",-0.0664168336349042
"101","Poland",0.183296007736752
"102","Portugal",-0.0430025921688891
"103","Qatar",-0.0679915645810277
"104","Romania",0.116923132659553
"105","Russia",0.029536251768698
"106","Rwanda",-0.00484568911496491
"107","Saint.Lucia",-0.105215053323226
"108","Saudi.Arabia",0.202811342552797
"109","Senegal",-0.0516306515884911
"110","Serbia",0.179293716802299
"111","Seychelles",-0.0821951308946155
"112","Singapore",0.18436048573522
"113","Slovakia",0.00476331355522744
"114","Slovenia",0.221141976314812
"115","South.Africa",-0.0150574158892018
"116","Spain",-0.0307976018046959
"117","Sri.Lanka",-0.00849295324482853
"118","Sudan",0.198836419228872
"119","Suriname",-0.0372319699541054
"120","Sweden",0.107634234583106
"121","Switzerland",0.163591819132027
"122","Thailand",0.185743027089238
"123","Togo",-0.0370482944761621
"124","Trinidad.and.Tobago",-0.0177152859378546
"125","Tunisia",0.108421776818489
"126","Turkey",-0.0519770881929205
"127","Uganda",-0.0193211510538682
"128","Ukraine",0.199823247550444
"129","United.Arab.Emirates",-0.0173379589469667
"130","United.Kingdom",-0.0200001103611614
"131","Uruguay",0.185705717470413
"132","US",-0.0360819486246295
"133","Uzbekistan",0.110292924926216
"134","Venezuela",0.217553072691427
"135","Vietnam",-0.019372883701051
"136","West.Bank.and.Gaza",0.115782547853131
"137","Zambia",-0.0185862411982229
"138","Zimbabwe",-0.0210587176888181
"139","ALLOFTHEM",0.166218896438647
