"","Tick_2000-09-26_To_2018-01-26","Membership_2000-09-26_To_2018-01-26"
"1","OIBR4.SA",1
"2","SAPR4.SA",1
"3","PFIZ34.SA",1
"4","REDE3.SA",1
"5","LILY34.SA",1
"6","FRTA3.SA",1
"7","MRCK34.SA",1
"8","VERZ34.SA",1
"9","FDMO34.SA",1
"10","JPMC34.SA",1
"11","ABTT34.SA",1
"12","COCA34.SA",1
"13","LUPA3.SA",1
"14","KROT3.SA",1
"15","LINX3.SA",1
"16","ELET3.SA",1
"17","OSXB3.SA",1
"18","CHVX34.SA",1
"19","WALM34.SA",1
"20","AAPL34.SA",1
"21","MMXM3.SA",1
"22","EQTL3.SA",2
"23","BRKM5.SA",2
"24","JBSS3.SA",2
"25","BNBR3.SA",2
"26","MNDL3.SA",2
"27","HOOT4.SA",2
"28","CRPG5.SA",2
"29","SHUL4.SA",2
"30","CTKA3.SA",2
"31","INEP4.SA",2
"32","TOYB4.SA",2
"33","CRIV4.SA",2
"34","CAMB4.SA",2
"35","CEBR6.SA",2
"36","GPCP3.SA",2
"37","UNIP3.SA",2
"38","RCSL3.SA",2
"39","SANB3.SA",2
"40","MSCD34.SA",2
"41","SPRI3.SA",2
"42","FLRY3.SA",2
"43","TPIS3.SA",2
"44","CLSC4.SA",2
"45","BPAN4.SA",2
"46","SLED3.SA",2
"47","FSRF11.SA",2
"48","BMEB4.SA",2
"49","SCAR3.SA",2
"50","KLBN4.SA",2
"51","AGRO3.SA",3
"52","AVON34.SA",3
"53","ENMA3B.SA",3
"54","CBEE3.SA",3
"55","ETER3.SA",3
"56","ABEV3.SA",3
"57","PTNT4.SA",3
"58","GEPA3.SA",3
"59","DOHL4.SA",3
"60","FCXO34.SA",3
"61","CPFE3.SA",3
"62","MRFG3.SA",3
"63","ELPL3.SA",3
"64","PRIO3.SA",3
"65","JOPA3.SA",3
"66","FESA3.SA",3
"67","BBAS3.SA",4
"68","BBDC4.SA",4
"69","PETR4.SA",4
"70","UGPA3.SA",4
"71","TIMP3.SA",4
"72","PETR3.SA",4
"73","BBDC3.SA",4
"74","ITSA4.SA",4
"75","CCRO3.SA",4
"76","^BVSP",4
"77","ORCL34.SA",4
"78","ITUB4.SA",4
"79","UNIP5.SA",4
"80","PNVL4.SA",4
"81","LCAM3.SA",4
"82","FBMC4.SA",4
"83","PEAB3.SA",4
"84","RCSL4.SA",4
"85","BAZA3.SA",4
