"","Tick_2000-07-07_To_2018-02-09","Membership_2000-07-07_To_2018-02-09"
"1","002291.SZ",1
"2","8092.HK",1
"3","0094.HK",1
"4","1063.HK",1
"5","0491.HK",1
"6","8227.HK",1
"7","0856.HK",1
"8","0158.HK",1
"9","1359.HK",1
"10","0379.HK",1
"11","0996.HK",1
"12","1247.HK",1
"13","8155.HK",1
"14","8326.HK",1
"15","0458.HK",1
"16","2080.HK",1
"17","900924.SS",1
"18","1215.HK",1
"19","0267.HK",2
"20","1038.HK",2
"21","0006.HK",2
"22","0083.HK",2
"23","0992.HK",2
"24","0016.HK",2
"25","0023.HK",2
"26","0017.HK",2
"27","0836.HK",2
"28","002278.SZ",2
"29","300097.SZ",2
"30","002553.SZ",2
"31","000544.SZ",2
"32","002565.SZ",2
"33","002049.SZ",2
"34","300131.SZ",2
"35","399106.SZ",2
"36","600976.SS",2
"37","0342.HK",2
"38","600967.SS",2
"39","0406.HK",2
"40","600284.SS",2
"41","2083.HK",2
"42","1122.HK",2
"43","600719.SS",2
"44","0341.HK",2
"45","0904.HK",2
"46","0579.HK",2
"47","0973.HK",2
"48","1127.HK",2
"49","900917.SS",2
"50","0129.HK",2
"51","600496.SS",2
"52","600566.SS",2
"53","0398.HK",2
"54","600481.SS",2
"55","1522.HK",2
"56","0956.HK",2
"57","0598.HK",2
"58","0096.HK",2
"59","3076.HK",2
"60","600824.SS",2
"61","2886.HK",2
"62","2877.HK",2
"63","600661.SS",2
"64","600477.SS",2
"65","1135.HK",2
"66","600086.SS",2
"67","600315.SS",2
"68","0381.HK",2
"69","3016.HK",2
"70","0778.HK",2
"71","600406.SS",2
"72","600353.SS",2
"73","3366.HK",2
"74","0568.HK",2
"75","0154.HK",2
"76","0842.HK",2
"77","0704.HK",2
"78","900948.SS",2
"79","600720.SS",2
"80","0060.HK",2
"81","600398.SS",2
"82","0640.HK",2
"83","0573.HK",2
"84","1193.HK",2
"85","600760.SS",2
"86","600766.SS",2
"87","3060.HK",2
"88","1370.HK",2
"89","8348.HK",2
"90","0271.HK",2
"91","600550.SS",2
"92","600865.SS",2
"93","900934.SS",2
"94","0001.HK",2
"95","0626.HK",2
"96","8193.HK",2
"97","3398.HK",2
"98","0777.HK",2
"99","1638.HK",2
"100","1043.HK",2
"101","0833.HK",2
"102","0903.HK",2
"103","600516.SS",2
"104","0088.HK",2
"105","600207.SS",2
"106","600581.SS",2
"107","600293.SS",2
"108","2778.HK",2
"109","0673.HK",2
"110","0382.HK",2
"111","600687.SS",2
"112","0110.HK",2
"113","600151.SS",2
"114","1052.HK",2
"115","1382.HK",2
"116","600801.SS",2
"117","2382.HK",2
"118","600839.SS",2
"119","0703.HK",2
"120","518800.SS",2
"121","0938.HK",2
"122","2030.HK",2
"123","0607.HK",2
"124","2698.HK",2
"125","0168.HK",2
"126","0991.HK",2
"127","0066.HK",2
"128","0430.HK",2
"129","600887.SS",3
"130","^HSI",3
"131","0012.HK",3
"132","0003.HK",3
"133","0883.HK",3
"134","0002.HK",3
"135","2388.HK",3
"136","1299.HK",3
"137","0386.HK",3
"138","0101.HK",3
"139","0135.HK",3
"140","2319.HK",3
"141","300004.SZ",3
"142","300257.SZ",3
"143","000785.SZ",3
"144","002680.SZ",3
"145","600815.SS",3
"146","600562.SS",3
"147","3055.HK",3
"148","600056.SS",3
"149","600969.SS",3
"150","600302.SS",3
"151","510290.SS",3
"152","2805.HK",3
"153","600526.SS",3
"154","2341.HK",3
"155","601616.SS",3
"156","600560.SS",3
"157","600624.SS",3
"158","600697.SS",3
"159","900921.SS",3
"160","600505.SS",3
"161","601777.SS",3
"162","600493.SS",3
"163","603167.SS",3
"164","600616.SS",3
"165","600805.SS",3
"166","600367.SS",3
"167","600662.SS",3
"168","0011.HK",3
"169","1319.HK",3
"170","510090.SS",3
"171","600079.SS",3
"172","513100.SS",3
"173","600268.SS",3
"174","600322.SS",3
"175","510190.SS",3
"176","600148.SS",3
"177","900953.SS",3
"178","0857.HK",3
"179","900914.SS",3
"180","600573.SS",3
"181","1234.HK",3
"182","600000.SS",4
"183","600016.SS",4
"184","600028.SS",4
"185","600030.SS",4
"186","600048.SS",4
"187","600519.SS",4
"188","600999.SS",4
"189","601166.SS",4
"190","601628.SS",4
"191","601688.SS",4
"192","601788.SS",4
"193","2628.HK",4
"194","600133.SS",4
"195","600307.SS",4
"196","600223.SS",4
"197","600023.SS",4
"198","600508.SS",4
"199","0868.HK",4
"200","600007.SS",4
"201","600292.SS",4
"202","510270.SS",4
"203","510160.SS",4
"204","600383.SS",4
"205","600163.SS",4
"206","600787.SS",4
"207","510020.SS",4
"208","600536.SS",4
"209","2208.HK",4
"210","600066.SS",4
"211","600816.SS",4
"212","600835.SS",4
"213","600017.SS",4
"214","601002.SS",4
"215","600635.SS",4
"216","600830.SS",4
"217","601336.SS",5
"218","1044.HK",5
"219","1109.HK",5
"220","2018.HK",5
"221","002176.SZ",5
"222","000429.SZ",5
"223","0230.HK",5
"224","0697.HK",5
"225","2002.HK",5
"226","8296.HK",5
"227","1060.HK",5
"228","3318.HK",5
"229","1229.HK",5
"230","1205.HK",5
"231","600694.SS",5
"232","0820.HK",5
"233","1020.HK",5
"234","1893.HK",5
"235","0179.HK",5
"236","1813.HK",5
"237","600782.SS",5
"238","0895.HK",5
"239","0264.HK",5
"240","0486.HK",5
"241","0030.HK",5
"242","3813.HK",5
"243","3828.HK",5
"244","1600.HK",5
"245","1133.HK",5
"246","8272.HK",5
"247","8243.HK",5
"248","0213.HK",5
"249","1069.HK",5
"250","600113.SS",5
"251","0716.HK",5
"252","8106.HK",5
"253","0529.HK",5
"254","0199.HK",5
"255","0908.HK",5
"256","1666.HK",5
"257","600606.SS",5
"258","3698.HK",5
"259","0605.HK",5
"260","0557.HK",5
"261","601116.SS",5
"262","0354.HK",5
"263","3369.HK",5
"264","3300.HK",5
"265","600615.SS",5
"266","0174.HK",5
"267","0340.HK",5
"268","0243.HK",5
"269","0665.HK",5
"270","0426.HK",5
"271","1312.HK",5
"272","0373.HK",5
"273","600330.SS",5
"274","600569.SS",5
"275","0247.HK",5
"276","0610.HK",5
"277","2314.HK",5
"278","600848.SS",5
"279","0272.HK",5
"280","0484.HK",5
"281","600231.SS",5
"282","0813.HK",5
"283","1090.HK",5
"284","1002.HK",5
"285","0089.HK",5
"286","3339.HK",5
"287","601928.SS",5
"288","0417.HK",5
"289","8051.HK",5
"290","0877.HK",5
"291","0951.HK",5
"292","3948.HK",5
"293","0190.HK",5
"294","0989.HK",5
"295","600461.SS",5
"296","0309.HK",5
"297","0656.HK",5
"298","0858.HK",5
"299","1075.HK",5
"300","0552.HK",5
"301","1013.HK",5
"302","1380.HK",5
"303","0688.HK",5
"304","600243.SS",5
"305","PORTFO",5
"306","601006.SS",6
"307","601186.SS",6
"308","601390.SS",6
"309","601668.SS",6
"310","601800.SS",6
"311","0717.HK",6
"312","1157.HK",6
"313","0887.HK",6
"314","1829.HK",6
"315","1039.HK",6
"316","1800.HK",6
"317","600221.SS",6
"318","601179.SS",6
"319","0234.HK",6
"320","0941.HK",7
"321","1041.HK",7
"322","600745.SS",7
"323","3399.HK",7
"324","0231.HK",7
"325","0111.HK",7
"326","0422.HK",7
"327","0618.HK",7
"328","8037.HK",7
"329","1099.HK",7
"330","0052.HK",7
"331","600435.SS",7
"332","0310.HK",7
"333","3382.HK",7
"334","3008.HK",7
"335","8048.HK",7
"336","0898.HK",7
"337","0104.HK",7
"338","1882.HK",7
"339","0280.HK",7
"340","1717.HK",7
"341","0720.HK",7
"342","601677.SS",7
"343","0378.HK",7
"344","1360.HK",7
"345","600966.SS",7
"346","0621.HK",7
"347","0948.HK",7
"348","0601.HK",7
"349","0202.HK",7
"350","1298.HK",7
"351","600399.SS",7
"352","8020.HK",7
"353","0146.HK",7
"354","601169.SS",8
"355","0293.HK",8
"356","002164.SZ",8
"357","000818.SZ",8
"358","002438.SZ",8
"359","000016.SZ",8
"360","002209.SZ",8
"361","0282.HK",8
"362","600988.SS",8
"363","0166.HK",8
"364","600739.SS",8
"365","2010.HK",8
"366","600078.SS",8
"367","8016.HK",8
"368","600781.SS",8
"369","600520.SS",8
"370","0044.HK",8
"371","600777.SS",8
"372","0952.HK",8
"373","1062.HK",8
"374","600749.SS",8
"375","600153.SS",8
"376","0914.HK",8
"377","6828.HK",8
"378","600346.SS",8
"379","2888.HK",8
"380","601018.SS",8
"381","8120.HK",8
"382","600736.SS",8
"383","0287.HK",8
"384","2343.HK",8
"385","600689.SS",8
"386","600710.SS",8
"387","0676.HK",8
"388","2727.HK",8
"389","1293.HK",8
"390","0805.HK",8
"391","600721.SS",8
"392","601001.SS",8
"393","0608.HK",8
"394","1913.HK",8
"395","0266.HK",8
"396","600029.SS",9
"397","600036.SS",9
"398","600104.SS",9
"399","601288.SS",9
"400","601328.SS",9
"401","601398.SS",9
"402","601601.SS",9
"403","601818.SS",9
"404","601857.SS",9
"405","601988.SS",9
"406","002451.SZ",9
"407","0218.HK",9
"408","0753.HK",9
"409","600642.SS",9
"410","0755.HK",9
"411","600208.SS",9
"412","8008.HK",10
"413","0263.HK",10
"414","1668.HK",10
"415","2307.HK",10
"416","0235.HK",10
"417","2339.HK",10
"418","0698.HK",10
"419","0987.HK",10
"420","0954.HK",10
"421","603077.SS",10
"422","2300.HK",10
"423","0399.HK",10
"424","600518.SS",11
"425","601766.SS",11
"426","000498.SZ",11
"427","002324.SZ",11
"428","600510.SS",11
"429","600055.SS",11
"430","0980.HK",11
"431","0364.HK",11
"432","600260.SS",11
"433","0577.HK",11
"434","1250.HK",11
"435","600986.SS",11
"436","2848.HK",11
"437","600290.SS",11
"438","603766.SS",11
"439","^SSEC",12
"440","600641.SS",12
"441","600168.SS",12
"442","600525.SS",12
"443","600798.SS",12
"444","600280.SS",12
"445","0628.HK",12
"446","0059.HK",12
"447","600610.SS",12
"448","600335.SS",13
"449","600506.SS",13
"450","8019.HK",13
"451","0508.HK",13
"452","0278.HK",13
"453","600111.SS",14
"454","1398.HK",14
"455","000933.SZ",14
"456","600971.SS",14
"457","600792.SS",14
"458","1928.HK",15
"459","0027.HK",15
