"","Tick_2001-01-31_To_2018-01-26","Membership_2001-01-31_To_2018-01-26"
"1","VCX.F",1
"2","G7H.F",1
"3","PREC.PA",1
"4","AIR.F",1
"5","PKX.F",1
"6","UG5A.F",1
"7","XQN.F",1
"8","NUO.F",1
"9","NCR1.F",1
"10","CTRG.PA",1
"11","MLEDS.PA",1
"12","SS1A.F",1
"13","HGM.F",1
"14","GPT.F",1
"15","OIS.F",1
"16","XSG.F",1
"17","CE2.F",1
"18","UNC.F",1
"19","H5V.F",1
"20","TU9.F",1
"21","BIO.F",1
"22","IO8N.F",1
"23","VCXA.F",1
"24","RSX.F",1
"25","G17.F",1
"26","TDK.F",1
"27","GRM.F",1
"28","R6N.F",1
"29","AVP.F",1
"30","BUD.F",1
"31","SVHH.F",1
"32","QNC1.F",1
"33","TTY.F",1
"34","8CZ.F",1
"35","IX4.F",2
"36","TLK.F",2
"37","E4C.F",2
"38","PRZ.F",2
"39","RIC1.F",2
"40","UV7.F",2
"41","BR3.F",2
"42","ISW.F",2
"43","NN6.F",2
"44","KPO.F",2
"45","TQY.F",2
"46","ZEE.F",2
"47","7CT.F",2
"48","PVR.F",2
"49","NVAH.F",2
"50","HIAA.F",2
"51","STF.PA",2
"52","5EG.F",2
"53","BON.PA",2
"54","RGH.F",2
"55","GSG.F",2
"56","HQ1N.F",2
"57","TQI1.F",2
"58","T97.F",2
"59","OFZ.F",2
"60","BE4A.F",2
"61","MEX.F",2
"62","ADC.F",2
"63","EMZ1.F",2
"64","KA3.F",2
"65","BEM.F",2
"66","U1P.F",2
"67","HKT.F",2
"68","PEN.F",2
"69","DSE.F",2
"70","UUD.F",2
"71","BIG.PA",2
"72","PKA.F",2
"73","EI.PA",3
"74","L9J.F",3
"75","H0H1.F",3
"76","KRD.F",3
"77","6LA.F",3
"78","JUS1.F",3
"79","TJN.F",3
"80","OU2A.F",3
"81","NVAI.F",3
"82","VOS.F",3
"83","7AZ1.F",3
"84","7TR.F",3
"85","MLV4S.PA",3
"86","C8U.F",3
"87","IDL.PA",3
"88","DOF5.F",3
"89","PV3.F",3
"90","RX5.F",3
"91","LQP.F",3
"92","NZCA.F",3
"93","PQM.F",3
"94","MX4A.F",3
"95","ATP.F",3
"96","29X.F",3
"97","WI1.F",3
"98","NJPA.F",3
"99","UR9.F",3
"100","6AW.F",3
"101","LYI.F",3
"102","XQJ.F",3
"103","WD1.F",3
"104","PXI.F",3
"105","ABA.F",3
"106","LOO.F",3
"107","MLAAH.PA",3
"108","NK1A.F",3
"109","4AH1.F",3
"110","CRI.PA",4
"111","FSY.F",4
"112","RV41.F",4
"113","FFP.F",4
"114","VL2.F",4
"115","USX1.F",4
"116","4HK.F",4
"117","PRVA.F",4
"118","AY5.F",4
"119","K1W.F",4
"120","D8HN.F",4
"121","A8Y1.F",4
