"","Tick_2000-07-11_To_2018-02-09","Membership_2000-07-11_To_2018-02-09"
"1","EICHERMOT.NS",1
"2","CATVISION.BO",1
"3","CRANEX.BO",1
"4","INDOBORAX.BO",1
"5","RELIGARE.BO",1
"6","NTCIND.BO",1
"7","GALLANTT.NS",1
"8","RUCHINFRA.NS",1
"9","SURYACHAKRA.BO",1
"10","SAHARAHOUS.BO",1
"11","FERROALL.BO",1
"12","THERMAX.BO",1
"13","LOVABLE.BO",1
"14","DYNAMICP.BO",1
"15","UGARSUGAR.NS",1
"16","TAAZAINT.BO",1
"17","RAMRAT.BO",1
"18","GMDCLTD.NS",1
"19","CIMMCO.BO",1
"20","LIBORD.BO",1
"21","INDIANVSH.BO",1
"22","OASISEC.BO",1
"23","TREEHOUSE.BO",1
"24","PRESSMN.BO",1
"25","INTECCAP.BO",1
"26","PNTKYOR.BO",1
"27","AEGISCHEM.NS",1
"28","INDHOTEL.BO",1
"29","SOURCENTRL.BO",1
"30","VAPIPPR.BO",1
"31","MANCREDIT.BO",1
"32","RAJVIR.BO",1
"33","INFRATEL.NS",2
"34","CIPLA.NS",2
"35","DRREDDY.NS",2
"36","GRASIM.NS",2
"37","HCLTECH.NS",2
"38","ITC.NS",2
"39","TCS.NS",2
"40","MMWL.BO",2
"41","PANKAJPOLY.BO",2
"42","MANGALAM.NS",2
"43","DATAMATICS.BO",2
"44","ESABINDIA.NS",2
"45","COMFINCAP.BO",2
"46","PRECWIRE.NS",2
"47","DCM.NS",2
"48","PAPERPROD.BO",2
"49","RAVALSUGAR.BO",2
"50","BPL.NS",2
"51","GICHSGFIN.NS",2
"52","FINCABLES.BO",2
"53","GTNTEX.NS",2
"54","BPCAP.BO",2
"55","HATHWAY.BO",2
"56","SHIVACEM.BO",2
"57","BGPL.BO",2
"58","SYSTMTXC.BO",2
"59","KESARPE.BO",2
"60","IMFA.NS",2
"61","SUZLON.BO",2
"62","AJIL.BO",2
"63","CMI.BO",2
"64","KANANIIND.NS",2
"65","KECL.NS",2
"66","BASF.BO",2
"67","ATLASCYCLE.NS",2
"68","SBTL.BO",2
"69","IZMO.NS",2
"70","SALORAINTL.BO",2
"71","MONSANTO.BO",2
"72","NDL.NS",2
"73","TORNTPOWER.BO",2
"74","MANALIPETC.BO",2
"75","DHUNINV.NS",2
"76","CAMEXLTD.BO",2
"77","BLISSGVS.NS",2
"78","GULFPETRO.BO",2
"79","SRSFIN.BO",2
"80","TIDEWATER.NS",2
"81","ESHAMEDIA.BO",2
"82","ALKASEC.BO",2
"83","WINSOME.NS",2
"84","SRHHYPOLTD.NS",2
"85","JJFINCOR.BO",2
