"","Tick_2000-12-14_To_2018-02-08","Membership_2000-12-14_To_2018-02-08"
"1","BANC",1
"2","BBVA",1
"3","SAN",1
"4","BCS",1
"5","DKT",1
"6","DB",1
"7","ING",1
"8","LYG",1
"9","RBS",1
"10","CS",1
"11","SCGLY",1
"12","BNP.PA",1
"13","G.MI",1
"14","GLE.PA",1
"15","LLOY.L",1
"16","BSBR",2
"17","CIB",2
"18","BAC",2
"19","BK",2
"20","BBT",2
"21","COF",2
"22","C",2
"23","CMA",2
"24","BAP",2
"25","FBP",2
"26","BSMX",2
"27","HTH",2
"28","JPM",2
"29","KEY",2
"30","MTB",2
"31","OFG",2
"32","RF",2
"33","STT",2
"34","STI",2
"35","SNV",2
"36","USB",2
"37","GS",2
"38","MS",2
"39","AIG",2
"40","AFL",2
"41","QNBK.QA",2
"42","DHY",2
"43","BLX",3
"44","KB",3
"45","SHG",3
"46","UBS",3
"47","WF",3
"48","BRK",3
"49","ALL",3
"50","CUBI",3
"51","GWB",3
"52","DBK",3
"53","1398.HK",4
"54","0939.HK",4
"55","3988.HK",4
"56","3328.HK",4
"57","HSBC",5
"58","MTU",5
"59","MFG",5
"60","SMFG",5
"61","WBK",5
"62","DSEEY",5
"63","JFBC",5
"64","MCILX",5
"65","NMR",5
"66","AZSEY",5
"67","LFC",5
"68","ZURVY",5
"69","^TYX",5
"70","^TNX",5
"71","^FVX",5
"72","BCH",6
"73","BSAC",6
"74","ASB",7
"75","BXS",7
"76","BOH",7
"77","BKU",7
"78","CBU",7
"79","CPF",7
"80","CFR",7
"81","FNB",7
"82","FCF",7
"83","FHN",7
"84","MSL",7
"85","NBHC",7
"86","PNC",7
"87","PB",7
"88","PFS",7
"89","STL",7
"90","VLY",7
"91","WFC",7
"92","WAL",7
"93","TCF",7
"94","^BANK",7
"95","PORTFO",7
"96","BFR",8
"97","FBC",8
"98","HDB",8
"99","IBN",8
"100","BMA",8
"101","ZBK",8
"102","NTB",8
"103","BBD",9
"104","BMO",9
"105","BNS",9
"106","CM",9
"107","ITUB",9
"108","RY",9
"109","TD",9
