"","Tick_2001-02-07_To_2018-02-02","Membership_2001-02-07_To_2018-02-02"
"1","BBD",1
"2","ITUB",1
"3","BRK",1
"4","BBVA",2
"5","SAN",2
"6","BCS",2
"7","DB",2
"8","LYG",2
"9","RBS",2
"10","CS",2
"11","NMR",2
"12","G.MI",2
"13","ZURVY",2
"14","LLOY.L",2
"15","BSBR",3
"16","CIB",3
"17","CFR",3
"18","OFG",3
"19","JFBC",3
"20","GWB",3
"21","MTU",4
"22","MFG",4
"23","SMFG",4
"24","^TNX",4
"25","^FVX",4
"26","BFR",5
"27","HDB",5
"28","HTH",5
"29","BMA",5
"30","ZBK",5
"31","BSAC",6
"32","IBN",6
"33","LFC",6
"34","^TYX",6
"35","1398.HK",6
"36","0939.HK",6
"37","3988.HK",6
"38","3328.HK",6
"39","BLX",7
"40","BBT",7
"41","COF",7
"42","CMA",7
"43","CBU",7
"44","CPF",7
"45","DKT",7
"46","FNB",7
"47","HSBC",7
"48","KEY",7
"49","PNC",7
"50","RY",7
"51","STT",7
"52","USB",7
"53","ALL",7
"54","^BANK",7
"55","BAC",8
"56","C",8
"57","FHN",8
"58","FBC",8
"59","BSMX",8
"60","ING",8
"61","MSL",8
"62","NBHC",8
"63","STL",8
"64","SNV",8
"65","UBS",8
"66","WAL",8
"67","WF",8
"68","DSEEY",8
"69","MS",8
"70","SCGLY",8
"71","BNP.PA",8
"72","AIG",8
"73","AZSEY",8
"74","AFL",8
"75","QNBK.QA",8
"76","NTB",8
"77","CUBI",8
"78","GLE.PA",8
"79","PORTFO",8
"80","BMO",9
"81","BNS",9
"82","CM",9
"83","BAP",9
"84","FBP",9
"85","MTB",9
"86","TD",9
"87","WBK",9
"88","DHY",9
"89","ASB",10
"90","BCH",10
"91","BXS",10
"92","BK",10
"93","FCF",10
"94","JPM",10
"95","KB",10
"96","PFS",10
"97","RF",10
"98","SHG",10
"99","STI",10
"100","VLY",10
"101","WFC",10
"102","GS",10
"103","MCILX",10
"104","TCF",10
"105","BANC",11
"106","BOH",11
"107","BKU",11
"108","PB",11
"109","DBK",12
