"","Tick_2001-02-15_To_2018-02-02","Membership_2001-02-15_To_2018-02-02"
"1","IBM",1
"2","MRK",1
"3","PFE",1
"4","NKE",1
"5","CVX",1
"6","XOM",1
"7","MCD",1
"8","WMT",1
"9","JNJ",1
"10","BA",1
"11","^XAX",1
"12","^AXJO",1
"13","^AORD",1
"14","^KLSE",1
"15","^BVSP",1
"16","TD",1
"17","^SSMI",1
"18","^NBI",1
"19","BNS",1
"20","BMO",1
"21","CM",1
"22","^DJU",1
"23","PORTFO",1
"24","V",2
"25","VZ",2
"26","MSFT",2
"27","^BSESN",2
"28","^JKSE",2
"29","^MXX",2
"30","^IPSA",2
"31","^NSEI",2
"32","SPLK",2
"33","^FTSE",3
"34","^GDAXI",3
"35","^FCHI",3
"36","^STOXX50E",3
"37","^N100",3
"38","^BFX",3
"39","^HSI",3
"40","^STI",3
"41","^NZ50",3
"42","HSBC",3
"43","RY",3
"44","^AEX",3
"45","TRV",4
"46","PG",4
"47","UTX",4
"48","CSCO",4
"49","AAPL",4
"50","AXP",4
"51","KO",4
"52","CAT",4
"53","^RUT",4
"54","^N225",4
"55","MCILX",4
"56","^TNX",4
"57","^TYX",4
"58","^FVX",4
"59","^MID",4
"60","1398.HK",4
"61","0939.HK",4
"62","3988.HK",4
"63","3328.HK",4
"64","UNH",5
"65","MMM",5
"66","INTC",5
"67","HD",5
"68","DIS",5
"69","GE",5
"70","^GSPTSE",5
"71","^GSPC",5
"72","^DJI",5
"73","^IXIC",5
"74","^NYA",5
"75","^TWII",5
"76","^ATX",5
"77","^XMI",5
"78","^OEX",5
"79","^PSE",5
"80","^RUA",5
"81","^RUI",5
"82","GS",6
"83","JPM",6
"84","C",6
"85","BAC",6
"86","AIG",6
"87","MS",6
"88","^KS11",6
"89","WFC",6
"90","RBS",6
"91","DB",6
"92","^NWX",6
"93","ING",6
"94","^SSEC",7
"95","^OSEAX",7
"96","^OMXSPI",7
"97","^XAU",7
"98","MICEXINDEXCF.ME",8
"99","^MERV",8
"100","ZBK",8
