"","Tick_2001-02-05_To_2018-02-09","Membership_2001-02-05_To_2018-02-09"
"1","^GSPTSE",1
"2","^GSPC",1
"3","^DJI",1
"4","^IXIC",1
"5","^NYA",1
"6","^RUT",1
"7","^XMI",1
"8","^OEX",1
"9","^MID",1
"10","^NBI",1
"11","^NWX",1
"12","^PSE",1
"13","^RUA",1
"14","^RUI",1
"15","^XAX",2
"16","^FTSE",2
"17","^N225",2
"18","^HSI",2
"19","^STI",2
"20","^AXJO",2
"21","^AORD",2
"22","^JKSE",2
"23","^KLSE",2
"24","^NZ50",2
"25","^KS11",2
"26","^TWII",2
"27","^BVSP",2
"28","^MXX",2
"29","^IPSA",2
"30","^SSEC",2
"31","^ATX",2
"32","^OSEAX",2
"33","^OMXSPI",2
"34","^SSMI",2
"35","^XAU",2
"36","^DJU",2
"37","^KFX",2
"38","^XU100",2
"39","MICEXINDEXCF.ME",3
"40","PORTFO",3
"41","^GDAXI",4
"42","^FCHI",4
"43","^STOXX50E",4
"44","^N100",4
"45","^BFX",4
"46","^MERV",4
"47","^AEX",4
"48","^SMSI",4
"49","^BSESN",5
"50","^NSEI",5
