"","Tick_2001-02-06_To_2018-01-24","Membership_2001-02-06_To_2018-01-24"
"1","TRV",1
"2","PG",1
"3","AXP",1
"4","GS",1
"5","JPM",1
"6","CAT",1
"7","C",1
"8","BAC",1
"9","AIG",1
"10","MS",1
"11","^RUT",1
"12","^STI",1
"13","^NZ50",1
"14","^KS11",1
"15","WFC",1
"16","HSBC",1
"17","RBS",1
"18","DB",1
"19","MCILX",1
"20","^ATX",1
"21","^TNX",1
"22","^TYX",1
"23","^FVX",1
"24","^MID",1
"25","^NWX",1
"26","1398.HK",1
"27","0939.HK",1
"28","3988.HK",1
"29","3328.HK",1
"30","ING",1
"31","MRK",2
"32","PFE",2
"33","XOM",2
"34","JNJ",2
"35","MICEXINDEXCF.ME",2
"36","^MERV",2
"37","^SSEC",2
"38","ZBK",2
"39","^OSEAX",2
"40","^OMXSPI",2
"41","^XAU",2
"42","^NBI",2
"43","^DJU",2
"44","IBM",3
"45","NKE",3
"46","CVX",3
"47","MCD",3
"48","WMT",3
"49","BA",3
"50","^XAX",3
"51","^FTSE",3
"52","^GDAXI",3
"53","^FCHI",3
"54","^STOXX50E",3
"55","^N100",3
"56","^BFX",3
"57","^N225",3
"58","^HSI",3
"59","^AXJO",3
"60","^AORD",3
"61","^KLSE",3
"62","^BVSP",3
"63","TD",3
"64","RY",3
"65","^SSMI",3
"66","BNS",3
"67","BMO",3
"68","CM",3
"69","^AEX",3
"70","PORTFO",3
"71","UNH",4
"72","MMM",4
"73","INTC",4
"74","UTX",4
"75","HD",4
"76","CSCO",4
"77","AAPL",4
"78","DIS",4
"79","KO",4
"80","GE",4
"81","^GSPTSE",4
"82","^GSPC",4
"83","^DJI",4
"84","^IXIC",4
"85","^NYA",4
"86","^TWII",4
"87","^XMI",4
"88","^OEX",4
"89","^PSE",4
"90","^RUA",4
"91","^RUI",4
"92","V",5
"93","VZ",5
"94","MSFT",5
"95","^BSESN",5
"96","^JKSE",5
"97","^MXX",5
"98","^IPSA",5
"99","^NSEI",5
"100","SPLK",5
