"","Tick_2000-09-19_To_2018-02-09","Membership_2000-09-19_To_2018-02-09"
"1","EFL.TO",1
"2","ESP.TO",1
"3","FSZ.TO",1
"4","LYD.TO",1
"5","MDV.V",1
"6","TPL.TO",1
"7","^IXIC",1
"8","^GSPC",1
"9","^DJI",1
"10","^NYA",1
"11","^RUT",1
"12","ACQ.TO",1
"13","CAE.TO",1
"14","CG.TO",1
"15","CNL.TO",1
"16","CSU.TO",1
"17","CWX.TO",1
"18","DR.TO",1
"19","DRT.TO",1
"20","DSG.TO",1
"21","EIF.TO",1
"22","PVG.TO",1
"23","GPV.V",1
"24","GUY.TO",1
"25","IFC.TO",1
"26","TVK.TO",1
"27","L.TO",1
"28","LTV.V",1
"29","MFI.TO",1
"30","MNW.TO",1
"31","RBA.TO",1
"32","RSI.TO",1
"33","SEV.TO",1
"34","SPE.TO",1
"35","SW.TO",1
"36","NVT.V",1
"37","OVT.V",1
"38","TMD.TO",1
"39","TRQ.TO",1
"40","UFS.TO",1
"41","WEF.TO",1
"42","WPK.TO",1
"43","SBB.TO",1
"44","1398.HK",2
"45","0939.HK",2
"46","3988.HK",2
"47","3328.HK",2
"48","CNQ.TO",3
"49","ENB.TO",3
"50","ELD.TO",3
"51","SU.TO",3
"52","TCW.TO",3
"53","^GSPTSE",3
"54","CNE.TO",3
"55","DRM.TO",3
"56","ESI.TO",3
"57","EXE.TO",3
"58","PPL.TO",3
"59","X.TO",3
"60","^XAX",3
"61","ALA.TO",3
"62","ARE.TO",3
"63","AXY.TO",3
"64","BAD.TO",3
"65","BCE.TO",3
"66","CEU.TO",3
"67","CMG.TO",3
"68","CNR.TO",3
"69","CP.TO",3
"70","CR.TO",3
"71","CU.TO",3
"72","DOL.TO",3
"73","EFX.TO",3
"74","ENF.TO",3
"75","ERF.TO",3
"76","FFH.TO",3
"77","FTS.TO",3
"78","FTT.TO",3
"79","GEI.TO",3
"80","GTE.TO",3
"81","IGM.TO",3
"82","IMO.TO",3
"83","IPL.TO",3
"84","KEY.TO",3
"85","LIF.TO",3
"86","MG.TO",3
"87","MRU.TO",3
