"","Tick_2000-11-10_To_2018-01-29","Membership_2000-11-10_To_2018-01-29"
"1","J37.SI",1
"2","H78.SI",1
"3","U14.SI",1
"4","LJ3.SI",1
"5","RF1U.SI",1
"6","S9B.SI",1
"7","HD7.SI",1
"8","IH1.SI",1
"9","U09.SI",1
"10","S45U.SI",1
"11","P40U.SI",1
"12","IH2.SI",1
"13","K6S.SI",1
"14","P9D.SI",1
"15","AFC.SI",1
"16","Q1P.SI",1
"17","5OT.SI",1
"18","5UX.SI",1
"19","5DO.SI",1
"20","QL2.SI",1
"21","OV8.SI",1
"22","A30.SI",1
"23","5IC.SI",1
"24","ADJ.SI",1
"25","LG8.SI",1
"26","LF1.SI",1
"27","AXB.SI",1
"28","AVX.SI",1
"29","5TT.SI",1
"30","N2E.SI",1
"31","I21.SI",1
"32","KJ7.SI",1
"33","D07.SI",1
"34","P8A.SI",1
"35","D5IU.SI",1
"36","S19.SI",1
"37","I17.SI",1
"38","5TR.SI",1
"39","5SO.SI",1
"40","567.SI",1
"41","BEC.SI",1
"42","5EG.SI",1
"43","BJZ.SI",1
"44","G0I.SI",1
"45","L23.SI",1
"46","O87.SI",1
"47","5OI.SI",1
"48","BDX.SI",1
"49","BEW.SI",1
"50","S27.SI",1
"51","569.SI",1
"52","593.SI",1
"53","BQI.SI",1
"54","L5I.SI",1
"55","M35.SI",1
"56","NR7.SI",1
"57","566.SI",1
"58","P60.SI",1
"59","5JK.SI",1
"60","AYB.SI",1
"61","D11.SI",1
"62","RW0U.SI",1
"63","5RA.SI",1
"64","570.SI",1
"65","5I1.SI",1
"66","AO9.SI",1
"67","5UZ.SI",1
"68","F25U.SI",1
"69","T24.SI",1
"70","5UJ.SI",1
"71","LG7.SI",1
"72","C09.SI",2
"73","BS6.SI",2
"74","BN4.SI",2
"75","C52.SI",2
"76","Y92.SI",2
"77","M30.SI",2
"78","AJ2.SI",2
"79","BRD.SI",2
"80","574.SI",2
"81","41F.SI",2
"82","5OQ.SI",2
"83","5FA.SI",2
"84","O9E.SI",2
"85","5GI.SI",2
"86","BEZ.SI",2
"87","O9D.SI",2
"88","5AE.SI",2
"89","K29.SI",2
"90","U13.SI",2
"91","H12.SI",2
"92","5PL.SI",2
"93","MU7.SI",2
"94","UQ7.SI",2
"95","5FL.SI",2
"96","BLS.SI",2
"97","5QT.SI",2
"98","L09.SI",2
"99","5FW.SI",2
"100","C13.SI",2
"101","5EF.SI",2
"102","EB5.SI",2
"103","ACW.SI",2
"104","DM0.SI",2
"105","5TP.SI",2
"106","5RC.SI",2
"107","545.SI",2
"108","C8R.SI",2
"109","B58.SI",2
"110","AWZ.SI",2
"111","BJD.SI",2
"112","NO4.SI",2
"113","544.SI",2
"114","5WA.SI",2
"115","5QY.SI",2
"116","5EV.SI",2
"117","IH4.SI",2
"118","BBW.SI",2
"119","BAI.SI",2
"120","BCD.SI",2
"121","GU5.SI",2
"122","E8Z.SI",2
"123","H17.SI",2
"124","BDA.SI",2
"125","C41.SI",2
"126","M04.SI",2
"127","5PC.SI",2
"128","U06.SI",2
"129","AYL.SI",2
