"","Tick_2000-08-16_To_2018-02-09","Membership_2000-08-16_To_2018-02-09"
"1","020560.KS",1
"2","000210.KS",1
"3","086280.KS",1
"4","005380.KS",1
"5","051910.KS",1
"6","051915.KS",1
"7","009150.KS",1
"8","009155.KS",1
"9","010955.KS",1
"10","006380.KS",1
"11","060250.KQ",1
"12","070300.KQ",1
"13","108670.KS",1
"14","011790.KS",1
"15","149980.KQ",1
"16","011170.KS",1
"17","002360.KS",1
"18","111770.KS",1
"19","032960.KQ",1
"20","060980.KS",1
"21","128660.KQ",1
"22","078350.KQ",1
"23","084650.KQ",1
"24","017940.KS",1
"25","038070.KQ",1
"26","032850.KQ",1
"27","005500.KS",1
"28","072130.KS",1
"29","109070.KS",1
"30","183190.KS",2
"31","027390.KS",2
"32","000370.KS",2
"33","035900.KQ",2
"34","073240.KS",2
"35","041140.KQ",2
"36","004380.KS",2
"37","005930.KS",2
"38","010140.KS",2
"39","005935.KS",2
"40","004170.KS",2
"41","052190.KQ",2
"42","095700.KQ",2
"43","093050.KS",2
"44","023900.KQ",2
"45","000400.KS",2
"46","044340.KQ",2
"47","053110.KQ",2
"48","001390.KS",2
"49","083470.KQ",2
"50","024740.KQ",2
"51","014190.KQ",2
"52","047040.KS",2
"53","073110.KQ",2
"54","151910.KQ",2
"55","053590.KQ",2
"56","115450.KQ",2
"57","036460.KS",2
"58","043370.KQ",2
"59","037370.KQ",2
"60","004000.KS",2
"61","006730.KQ",2
"62","092230.KS",2
"63","102460.KS",2
"64","112240.KQ",2
"65","016100.KQ",2
"66","039860.KQ",2
"67","065350.KQ",2
"68","066430.KQ",2
"69","068270.KQ",2
"70","023800.KS",2
"71","031390.KQ",2
"72","095190.KQ",2
"73","003300.KS",2
"74","007820.KQ",2
"75","041190.KQ",2
"76","060720.KQ",2
"77","010240.KQ",2
"78","034020.KS",3
"79","012450.KS",3
"80","009830.KS",3
"81","000720.KS",3
"82","005389.KS",3
"83","005385.KS",3
"84","030200.KS",3
"85","005490.KS",3
"86","032830.KS",3
"87","137940.KQ",3
"88","033790.KQ",3
"89","101000.KQ",3
"90","039420.KQ",3
"91","066790.KQ",3
"92","047050.KS",3
"93","093380.KQ",3
"94","119500.KQ",3
"95","126880.KQ",3
"96","001465.KS",4
"97","001460.KS",4
"98","097230.KS",4
"99","003480.KS",4
"100","014680.KS",4
"101","000880.KS",4
"102","008770.KS",4
"103","004800.KS",4
"104","011760.KS",4
"105","012330.KS",4
"106","004990.KS",4
"107","068290.KS",4
"108","029780.KS",4
"109","037710.KS",4
"110","031430.KS",4
"111","005940.KS",4
"112","000650.KS",4
"113","096775.KS",4
"114","018620.KQ",4
"115","052400.KQ",4
"116","000760.KS",4
"117","002460.KS",4
"118","002790.KS",4
"119","000140.KS",4
"120","043650.KQ",4
"121","005725.KS",4
"122","054940.KQ",4
"123","050110.KQ",4
"124","078150.KQ",4
"125","085910.KQ",4
"126","003555.KS",4
"127","104460.KQ",4
"128","009520.KQ",4
"129","036480.KQ",4
"130","008040.KS",4
"131","054210.KQ",4
"132","004780.KQ",4
"133","097780.KQ",4
"134","019010.KQ",4
"135","121440.KQ",4
"136","004980.KS",4
"137","001630.KS",4
"138","084180.KQ",4
"139","137950.KQ",4
"140","020400.KQ",4
"141","007575.KS",4
"142","078935.KS",4
"143","082210.KQ",4
"144","^KS11",5
"145","090435.KS",5
"146","016385.KS",5
"147","010420.KS",5
"148","034220.KS",5
"149","006345.KS",5
"150","018500.KS",5
"151","018470.KS",5
"152","080010.KQ",5
"153","000070.KS",5
"154","130740.KQ",5
"155","032540.KQ",5
"156","016670.KQ",5
"157","042670.KS",5
"158","051490.KQ",5
"159","008420.KS",5
"160","141080.KQ",5
"161","063170.KQ",5
"162","130580.KQ",5
"163","021045.KQ",5
"164","065650.KQ",5
"165","084990.KQ",5
"166","900100.KQ",5
"167","021240.KS",5
"168","011080.KQ",5
"169","003415.KS",5
"170","031310.KQ",5
"171","095720.KS",5
"172","068240.KQ",5
"173","017550.KS",5
"174","052900.KQ",5
"175","064760.KQ",5
"176","131390.KQ",5
"177","032820.KQ",5
"178","089230.KQ",5
"179","009420.KS",5
"180","009300.KQ",5
"181","010120.KS",5
"182","090360.KQ",5
"183","041960.KQ",5
"184","036180.KQ",5
"185","105840.KS",5
"186","079190.KQ",5
"187","002760.KS",5
"188","059210.KQ",5
"189","158310.KQ",5
"190","098120.KQ",5
"191","043290.KQ",5
"192","050120.KQ",5
"193","PORTFO",5
"194","016920.KQ",6
"195","079160.KS",6
"196","001230.KS",6
"197","011160.KS",6
"198","009835.KS",6
"199","004020.KS",6
"200","003490.KS",6
"201","032640.KS",6
"202","041510.KQ",6
"203","006400.KS",6
"204","006405.KS",6
"205","006660.KS",6
"206","034120.KS",6
"207","000105.KS",6
"208","003465.KS",6
"209","060540.KQ",6
"210","123420.KQ",6
"211","002140.KS",6
"212","004545.KS",6
"213","002290.KQ",6
"214","024830.KQ",6
"215","031330.KQ",6
"216","060300.KQ",6
"217","006390.KS",6
"218","017000.KQ",6
"219","043200.KQ",6
"220","012790.KQ",6
"221","002785.KS",6
"222","084870.KS",6
"223","035150.KS",6
"224","038870.KQ",6
"225","033290.KQ",6
"226","009200.KS",6
"227","123690.KS",6
"228","102210.KQ",6
"229","001067.KS",6
"230","101680.KQ",6
"231","057540.KQ",6
"232","015590.KS",6
"233","011390.KS",6
"234","013720.KQ",6
"235","085310.KS",6
"236","022100.KQ",6
"237","141020.KQ",6
"238","109080.KQ",6
"239","074430.KQ",6
"240","004835.KS",6
"241","046120.KQ",6
"242","092070.KQ",6
"243","007810.KS",6
"244","140890.KS",6
"245","099410.KQ",6
"246","033270.KS",6
"247","093190.KQ",6
"248","106190.KQ",6
"249","045340.KQ",6
"250","079950.KQ",6
"251","004360.KS",6
"252","095270.KQ",6
"253","065570.KQ",6
"254","045100.KQ",6
"255","038950.KQ",6
"256","054180.KQ",6
"257","016380.KS",7
"258","097870.KQ",7
"259","000270.KS",7
"260","052220.KQ",7
"261","02826K.KS",7
"262","112040.KQ",7
"263","065530.KQ",7
"264","004840.KS",7
"265","005010.KS",7
"266","046390.KQ",7
"267","000300.KS",7
"268","080440.KQ",7
"269","003240.KS",7
"270","025620.KS",7
"271","163560.KS",7
"272","002880.KS",7
"273","039980.KQ",7
"274","063440.KQ",7
"275","051390.KQ",7
"276","093230.KS",7
"277","053700.KQ",7
"278","089890.KQ",7
"279","078340.KQ",8
"280","000215.KS",8
"281","009180.KS",8
"282","099660.KQ",8
"283","008775.KS",8
"284","024110.KS",8
"285","015760.KS",8
"286","000040.KS",8
"287","016170.KQ",8
"288","005305.KS",8
"289","007310.KS",8
"290","000815.KS",8
"291","000660.KS",8
"292","017670.KS",8
"293","000030.KS",8
"294","122870.KQ",8
"295","009440.KS",8
"296","004890.KS",8
"297","008000.KS",8
"298","004910.KS",8
"299","001130.KS",8
"300","095660.KQ",8
"301","141070.KQ",8
"302","049080.KQ",8
"303","004870.KS",8
"304","073640.KQ",8
"305","067920.KQ",8
"306","039020.KQ",8
"307","064550.KQ",8
"308","026260.KQ",8
"309","115310.KQ",8
"310","010690.KS",8
"311","000970.KS",8
"312","007210.KS",8
"313","010620.KS",8
"314","001070.KS",8
"315","058630.KQ",8
"316","046140.KQ",8
"317","058470.KQ",8
"318","009270.KS",8
"319","007660.KS",8
"320","093320.KQ",8
"321","042520.KQ",8
"322","056360.KQ",8
"323","019540.KQ",8
"324","058650.KS",8
"325","005820.KS",8
"326","042420.KQ",8
"327","092200.KS",8
"328","023770.KQ",8
"329","043710.KQ",8
"330","058610.KQ",8
"331","084680.KS",8
"332","000250.KQ",8
"333","001560.KS",8
"334","127120.KQ",8
"335","024890.KS",8
"336","123570.KQ",8
"337","008250.KS",8
"338","035080.KQ",8
"339","181710.KS",8
"340","023910.KQ",8
"341","045520.KQ",8
"342","051360.KQ",8
"343","019990.KQ",8
"344","007980.KS",8
"345","006200.KS",8
"346","078140.KQ",8
"347","036800.KQ",8
"348","900120.KQ",8
"349","003620.KS",8
"350","170030.KQ",8
"351","111870.KQ",8
"352","900140.KS",8
"353","023810.KS",8
"354","033230.KQ",8
"355","086790.KS",9
"356","088350.KS",9
"357","094280.KS",9
"358","001420.KS",9
"359","005860.KQ",9
"360","020180.KQ",9
"361","100090.KQ",9
"362","096630.KQ",9
"363","030270.KQ",9
"364","065940.KQ",9
"365","066110.KQ",9
"366","032800.KQ",9
"367","053290.KQ",9
"368","044490.KQ",9
"369","044780.KQ",9
"370","013000.KS",9
"371","061970.KQ",9
"372","001570.KS",9
"373","019210.KQ",9
"374","139050.KQ",9
"375","018680.KQ",9
"376","005965.KS",9
"377","038620.KQ",9
"378","058220.KQ",9
"379","014910.KS",9
"380","050540.KQ",9
"381","064800.KQ",9
"382","090150.KQ",9
"383","039840.KQ",9
"384","099830.KQ",9
"385","083660.KQ",9
"386","056000.KQ",10
"387","005750.KS",10
"388","000810.KS",10
"389","035460.KQ",10
"390","067080.KQ",10
"391","004450.KS",10
"392","004270.KS",10
"393","032940.KQ",10
"394","078940.KQ",10
"395","068790.KQ",10
"396","138690.KQ",10
"397","012690.KS",10
"398","000547.KS",10
"399","000545.KS",10
"400","020120.KS",10
"401","010820.KS",10
"402","023960.KS",10
"403","025870.KQ",10
"404","006090.KS",10
"405","007160.KS",10
"406","070590.KQ",11
