"","Tick_2001-01-30_To_2018-01-29","Membership_2001-01-30_To_2018-01-29"
"1","ENG.MC",1
"2","IBE.MC",1
"3","ADZ.MC",1
"4","MAS.MC",1
"5","ABB.MC",1
"6","CDR.MC",1
"7","GALQ.MC",1
"8","SNC.MC",1
"9","PVA.MC",1
"10","CAR.MC",1
"11","ISUR.MC",1
"12","MED.MC",1
"13","IMG.MC",1
"14","R4.MC",1
"15","FAE.MC",1
"16","OLE.MC",1
"17","SPS.MC",1
"18","ALM.MC",1
"19","BNT.MC",1
"20","COM.MC",1
"21","ALC.MC",1
"22","GRF-P.MC",1
"23","CIE.MC",1
"24","EWT.MC",1
"25","ZNK.MC",1
"26","PAC.MC",1
"27","BKIA.MC",2
"28","GSJ.MC",2
"29","MDF.MC",2
"30","PRM.MC",2
"31","INY.MC",2
"32","OHL.MC",2
"33","VID.MC",2
"34","FUN.MC",2
"35","RLIA.MC",2
"36","ECR.MC",2
"37","CMC.MC",2
"38","TRG.MC",2
"39","STG.MC",2
"40","RJF.MC",2
"41","LBK.MC",2
"42","ROVI.MC",2
"43","ABG-P.MC",2
"44","REN.MC",2
"45","AMP.MC",2
"46","GRI.MC",2
"47","ABG.MC",2
"48","ADV.MC",2
"49","MCM.MC",2
"50","IBG.MC",2
"51","NAT.MC",2
"52","VOC.MC",2
"53","GRF.MC",3
"54","ELE.MC",3
"55","ANA.MC",3
"56","REE.MC",3
"57","EBI.MC",3
"58","PRS.MC",3
"59","RIO.MC",3
"60","FCC.MC",3
"61","APAM.MC",3
"62","VIS.MC",4
"63","ACS.MC",4
"64","AMS.MC",4
"65","ABE.MC",4
"66","^IBEX",4
"67","ITX.MC",4
"68","ENC.MC",4
"69","BAY.MC",4
"70","LGT.MC",4
"71","IDR.MC",4
"72","AIR.MC",4
"73","ZOT.MC",4
"74","CAF.MC",4
"75","PORTFO",4
"76","TEF.MC",5
"77","SAN.MC",5
"78","TRE.MC",5
"79","CABK.MC",5
"80","SAB.MC",5
"81","DIA.MC",5
"82","BBVA.MC",5
"83","IAG.MC",5
"84","MTS.MC",5
"85","ACX.MC",5
"86","REP.MC",5
"87","ENO.MC",5
"88","EZE.MC",5
"89","PHM.MC",5
"90","GAS.MC",6
"91","MEL.MC",6
"92","MAP.MC",6
"93","FER.MC",6
"94","TUB.MC",6
"95","TL5.MC",6
"96","BIO.MC",6
"97","AZK.MC",6
"98","SLR.MC",6
"99","QBT.MC",6
"100","A3M.MC",6
"101","BDL.MC",6
"102","GCO.MC",6
"103","ALB.MC",6
"104","NHH.MC",6
"105","SCYR.MC",6
"106","IKM.MC",6
"107","BME.MC",6
"108","EBRO.MC",6
"109","PSG.MC",6
"110","CBAV.MC",6
"111","BKT.MC",7
"112","FDR.MC",7
"113","RDM.MC",7
"114","NEA.MC",7
"115","DGI.MC",7
"116","MTB.MC",7
"117","EEP.MC",7
"118","VER.MC",7
"119","COL.MC",7
