"","Tick_2000-12-04_To_2018-01-26","Membership_2000-12-04_To_2018-01-26"
"1","RATO-B.ST",1
"2","BILL.ST",1
"3","TRAD.ST",1
"4","EKTA-B.ST",1
"5","MQ.ST",1
"6","SNM.ST",1
"7","XVIVO.ST",1
"8","ZETA.ST",1
"9","NCC-A.ST",1
"10","ENZY.ST",1
"11","KABE-B.ST",1
"12","RATO-A.ST",1
"13","BILI-A.ST",1
"14","LATO-B.ST",1
"15","LIAB.ST",1
"16","IPL.ST",2
"17","OP-PREF.ST",2
"18","INDT.ST",2
"19","DURC-B.ST",2
"20","MANG.ST",2
"21","BULTEN.ST",2
"22","AVEG-B.ST",2
"23","UFLX-B.ST",2
"24","STEF-B.ST",2
"25","LAGR-B.ST",2
"26","IS.ST",2
"27","SWEC-B.ST",2
"28","SPUO.ST",2
"29","ODD.ST",2
"30","SINT.ST",2
"31","ACAN-B.ST",2
"32","SECT-B.ST",2
"33","AUR.ST",2
"34","CAST.ST",2
"35","HPOL-B.ST",2
"36","SEMC.ST",2
"37","PROB.ST",2
"38","SVED-B.ST",2
"39","WINT.ST",2
"40","TAGM-B.ST",2
"41","SAGA-PREF.ST",2
"42","ORES.ST",2
"43","FPIP.ST",2
"44","PORTFO",2
"45","ERIC-B.ST",3
"46","SECU-B.ST",3
"47","SKF-B.ST",3
"48","ATCO-B.ST",3
"49","INVE-B.ST",3
"50","TELIA.ST",3
"51","ALFA.ST",3
"52","SKA-B.ST",3
"53","SCA-B.ST",3
"54","ALIV-SDB.ST",3
"55","TEL2-B.ST",3
"56","BOL.ST",3
"57","SEB-A.ST",3
"58","ELUX-B.ST",3
"59","NDA-SEK.ST",3
"60","^OMX",3
"61","LUPE.ST",3
"62","PFE.ST",3
"63","AXFO.ST",3
"64","SHB-B.ST",3
"65","SEB-C.ST",3
"66","IAR-B.ST",3
"67","PXXS-SDB.ST",3
"68","DRIL.ST",3
"69","HOLM-A.ST",3
"70","INVE-A.ST",3
"71","SCA-A.ST",3
"72","AZA.ST",3
"73","TETY.ST",3
"74","MYCR.ST",3
"75","BELE.ST",3
"76","ICA.ST",3
"77","SMF.ST",3
"78","KLOV-A.ST",3
"79","WIHL.ST",3
"80","BMAX.ST",3
"81","GETI-B.ST",4
"82","BEGR.ST",4
"83","DEDI.ST",4
"84","CTT.ST",4
"85","SKMO.ST",4
"86","STIL.ST",4
"87","BOUL.ST",4
"88","NAXS.ST",4
"89","ARCT.ST",4
"90","FNMA-PREF.ST",4
"91","SEAM.ST",4
"92","MIDW-A.ST",4
"93","FAG.ST",4
"94","CONS-B.ST",4
"95","HMS.ST",4
"96","ACTI.ST",4
"97","OBAB.ST",4
"98","NJOB.ST",4
"99","OASM.ST",4
"100","ADDT-B.ST",4
"101","FPAR-PREF.ST",4
"102","MACK-B.ST",4
"103","ANOT.ST",4
"104","DIST.ST",4
"105","LOOM-B.ST",4
"106","PRCO-B.ST",4
"107","ORTI-B.ST",4
"108","WIFOG.ST",4
"109","FING-B.ST",5
"110","ELOS-B.ST",5
"111","MISE.ST",5
"112","BRE2.ST",5
"113","VSSAB-B.ST",5
"114","HMED.ST",5
"115","FROO.ST",5
"116","NNH.ST",5
"117","KDEV.ST",5
"118","ZZ-B.ST",5
"119","SENS.ST",5
"120","BRGO.ST",5
"121","AAP-B.ST",5
"122","RAY-B.ST",5
"123","DUNI.ST",5
"124","TIEN.ST",5
"125","NEXAM.ST",5
"126","THINO.ST",5
"127","KENH.ST",5
"128","AMSCO.ST",5
"129","MSON-B.ST",5
"130","NLAB.ST",5
"131","KAHL.ST",5
"132","MAV.ST",5
"133","CRAD-B.ST",5
"134","SAGA-B.ST",5
"135","AMAST.ST",5
"136","GSFO.ST",5
"137","NEWA-B.ST",5
"138","KLOV-PREF.ST",5
"139","CCC.ST",5
"140","JINO.ST",5
"141","VICP-PREF.ST",5
"142","DMYD-B.ST",5
"143","CI-B.ST",5
"144","EKOO.ST",5
"145","CATE.ST",5
"146","DEFL-B.ST",5
"147","DIAH.ST",5
"148","CE.ST",5
"149","WESC.ST",5
"150","ARP.ST",5
"151","ATCO-A.ST",6
"152","SAND.ST",6
"153","SWMA.ST",6
"154","VOLV-B.ST",6
"155","ABB.ST",6
"156","SWED-A.ST",6
"157","WISE.ST",6
"158","HIQ.ST",6
"159","CASO.ST",6
"160","MTG-B.ST",6
"161","MIDW-B.ST",6
"162","NIBE-B.ST",6
"163","MOB.ST",6
"164","ENEA.ST",6
"165","TEL2-A.ST",6
"166","BORG.ST",6
"167","MEDR-B.ST",6
"168","OPUS.ST",6
"169","HUSQ-A.ST",6
"170","AVEN.ST",6
"171","SKF-A.ST",6
"172","FABG.ST",6
"173","CLA-B.ST",6
"174","VOLV-A.ST",6
"175","HUSQ-B.ST",6
"176","HAV-B.ST",6
"177","MVIR-B.ST",6
"178","QLRO.ST",6
"179","KVAERO.ST",6
"180","AXIS.ST",6
"181","ETX.ST",6
"182","COIC.ST",6
