"","Tick_2000-10-23_To_2018-02-09","Membership_2000-10-23_To_2018-02-09"
"1","ASML.SW",1
"2","ADENE.SW",1
"3","BVZN.SW",1
"4","BPDG.SW",1
"5","ROL.SW",1
"6","ISN.SW",1
"7","GMI.SW",1
"8","TK.SW",1
"9","RIOP.SW",1
"10","AAM.SW",1
"11","GBMN.SW",1
"12","ZWM.SW",1
"13","BA.SW",1
"14","BATS.SW",1
"15","UHR.VX",2
"16","SNBN.SW",2
"17","CLTN.SW",2
"18","SFZN.SW",2
"19","BSLN.SW",2
"20","EDHN.SW",2
"21","CPGN.SW",2
"22","CALN.SW",2
"23","RUS.SW",2
"24","SCR.SW",2
"25","BION.SW",2
"26","VONN.SW",2
"27","EFGN.SW",2
"28","SAHN.SW",2
"29","STGN.SW",2
"30","LECN.SW",2
"31","PWTN.SW",2
"32","KUD.SW",2
"33","CPHN.SW",2
"34","ALLN.SW",2
"35","INRN.SW",2
"36","ZBH.SW",2
"37","CL.SW",2
"38","KOMN.SW",2
"39","CICN.SW",2
"40","DAE.SW",2
"41","TECN.SW",2
"42","RLD.SW",2
"43","GEBNE.SW",2
"44","MOBN.SW",2
"45","FHZN.SW",2
"46","SWTQ.SW",2
"47","FORN.SW",2
"48","AIRN.SW",2
"49","DOKA.SW",2
"50","EI.SW",2
"51","VALN.SW",2
"52","PORTFO",2
"53","ALTN.SW",3
"54","DPW.SW",3
"55","METN.SW",3
"56","ZUGN.SW",3
"57","CIE.SW",3
"58","ALPH.SW",3
"59","ELMN.SW",3
"60","CAT.SW",3
"61","ODHN.SW",3
"62","STLN.SW",3
"63","SAN.SW",3
"64","BBN.SW",3
"65","YPSN.SW",3
"66","VAHN.SW",3
"67","ZG.SW",3
"68","ZEHN.SW",3
"69","HBLN.SW",3
"70","SHLTN.SW",3
"71","AUTN.SW",3
"72","T.SW",3
"73","SLB.SW",3
"74","CFR.VX",4
"75","ZURN.VX",4
"76","LHN.VX",4
"77","UBSG.VX",4
"78","SREN.VX",4
"79","CSGN.VX",4
"80","COM.SW",4
"81","RDN.SW",4
"82","UCG.SW",4
"83","ADXN.SW",4
"84","NEWN.SW",4
"85","MMM.SW",4
"86","SANN.SW",4
"87","SUN.SW",4
"88","BCVN.SW",4
"89","BELL.SW",5
"90","VBSN.SW",5
"91","ZUBN.SW",5
"92","SONC.SW",5
"93","ASCN.SW",5
"94","TOSH.SW",5
"95","VIE.SW",5
"96","MCD.SW",5
"97","PHI.SW",5
"98","BCGE.SW",5
"99","AXP.SW",5
"100","PEAN.SW",5
"101","VILN.SW",5
"102","HEN3.SW",5
"103","SIK.VX",6
"104","CLN.VX",6
"105","BMW.SW",6
"106","AAPL.SW",6
"107","DTE.SW",6
"108","HUBN.SW",6
"109","EOAN.SW",6
"110","ADS.SW",6
"111","KO.SW",6
"112","RIEN.SW",6
"113","BP.SW",6
"114","NOVOB.SW",6
"115","SAP.SW",6
"116","MSFT.SW",6
"117","ALV.SW",6
"118","TEMN.SW",6
"119","GE.SW",6
"120","DAI.SW",6
"121","CASN.SW",6
"122","BB.SW",6
"123","STMN.SW",6
"124","PARG.SW",6
"125","NEM.SW",6
"126","PEHN.SW",6
"127","BOBNN.SW",6
"128","BSKP.SW",6
"129","IFX.SW",6
"130","CS.SW",6
"131","MRK.SW",7
"132","BKW.SW",7
"133","LINN.SW",7
"134","XOM.SW",7
"135","ISP.SW",7
"136","SFPN.SW",7
"137","ABX.SW",7
"138","AEVS.SW",7
"139","NOVN.VX",8
"140","SCMN.VX",8
"141","LONN.VX",8
"142","SGSN.VX",8
"143","GEBN.VX",8
"144","SLHN.VX",8
"145","ABBN.VX",8
"146","ADEN.VX",8
"147","BAER.VX",8
"148","ROG.VX",8
"149","^SSMI",8
"150","NESN.VX",8
"151","GIVN.VX",8
"152","PMI.SW",8
"153","SCHP.VX",8
"154","LISP.SW",8
"155","DKSH.SW",8
"156","PM.SW",8
"157","HUE.SW",8
"158","BALN.VX",8
"159","KNIN.VX",8
"160","SQN.SW",8
"161","GLE.SW",9
"162","FP.SW",9
"163","AMGN.SW",9
"164","F.SW",9
"165","RNO.SW",9
"166","FME.SW",9
"167","CA.SW",9
