"","Tick_2000-07-31_To_2018-02-09","Membership_2000-07-31_To_2018-02-09"
"1","2609.TW",1
"2","1737.TW",1
"3","3339.TWO",1
"4","3045.TW",1
"5","6426.TWO",1
"6","4205.TWO",1
"7","6204.TWO",1
"8","6434.TWO",1
"9","6803.TWO",1
"10","1234.TW",1
"11","6215.TW",1
"12","6174.TWO",1
"13","2641.TWO",1
"14","2330.TW",1
"15","4938.TW",1
"16","2496.TW",1
"17","3363.TWO",1
"18","6141.TW",1
"19","3312.TW",1
"20","3609.TWO",1
"21","6177.TW",1
"22","2424.TW",1
"23","3226.TWO",1
"24","9157.TW",1
"25","5310.TWO",1
"26","8416.TWO",1
"27","9928.TW",1
"28","5233.TWO",1
"29","4150.TWO",1
"30","3232.TWO",1
"31","5274.TWO",1
"32","5904.TWO",1
"33","6124.TWO",1
"34","2838.TW",1
"35","T0506Y.TWO",1
"36","2102.TW",1
"37","4956.TW",1
"38","2501.TW",1
"39","3601.TWO",1
"40","8222.TW",1
"41","3406.TW",1
"42","2912.TW",1
"43","9944.TW",1
"44","3564.TWO",1
"45","1101.TW",1
"46","3313.TWO",1
"47","4921.TWO",1
"48","5450.TWO",1
"49","T3714Y.TWO",1
"50","5475.TWO",1
"51","5347.TWO",1
"52","6220.TWO",1
"53","8183.TWO",1
"54","2904.TW",1
"55","2606.TW",1
"56","5309.TWO",2
"57","8383.TWO",2
"58","3272.TWO",2
"59","4513.TWO",2
"60","2228.TW",2
"61","3562.TWO",2
"62","6198.TWO",2
"63","5487.TWO",2
"64","5403.TWO",2
"65","2311.TW",2
"66","4729.TWO",2
"67","3032.TW",2
"68","4994.TW",2
"69","8092.TWO",2
"70","2451.TW",2
"71","4911.TWO",2
"72","1452.TW",3
"73","1326.TW",3
"74","1752.TWO",3
"75","4752.TWO",3
"76","3499.TWO",3
"77","6210.TWO",3
"78","2615.TW",3
"79","4104.TW",3
"80","4406.TWO",3
"81","9105.TW",3
"82","8427.TW",3
"83","8096.TWO",3
"84","5514.TWO",3
"85","4971.TWO",3
"86","1463.TW",3
"87","4737.TW",3
"88","3419.TW",3
"89","2027.TW",3
"90","4417.TWO",3
"91","1445.TW",3
"92","3628.TWO",3
"93","2915.TW",4
"94","6208.TWO",4
"95","2852.TW",4
"96","8401.TWO",4
"97","6270.TWO",4
"98","1319.TW",4
"99","5007.TW",4
"100","5289.TWO",4
"101","6290.TWO",4
"102","4711.TWO",4
"103","1527.TW",4
"104","2901.TW",4
"105","5102.TWO",5
"106","3587.TWO",5
"107","4538.TWO",5
"108","5212.TWO",5
"109","8271.TW",5
"110","6291.TWO",5
"111","2015.TW",5
"112","5205.TWO",5
"113","2498.TW",5
"114","6171.TWO",5
"115","8937.TWO",5
"116","4706.TWO",5
"117","2429.TW",5
"118","8064.TWO",5
"119","5455.TWO",5
"120","4728.TWO",5
"121","6428.TWO",6
"122","8935.TWO",6
"123","4925.TWO",6
"124","8084.TWO",6
"125","1530.TW",6
"126","6219.TWO",6
"127","2321.TW",6
"128","3002.TW",6
"129","6438.TWO",6
"130","6269.TW",7
"131","3227.TWO",7
"132","6445.TWO",7
"133","3026.TW",7
"134","2492.TW",7
"135","3090.TW",7
"136","3105.TWO",7
"137","3037.TW",7
"138","911616.TW",7
"139","3504.TW",7
"140","3189.TW",7
