"","Tick_2000-11-02_To_2018-01-26","Membership_2000-11-02_To_2018-01-26"
"1","GS",1
"2","JPM",1
"3","C",1
"4","BAC",1
"5","MS",1
"6","AGPDY",1
"7","PPG",1
"8","FT",1
"9","DEAC",1
"10","SPWR",1
"11","POT",1
"12","GUT",1
"13","MRAAF",1
"14","FRRVY",1
"15","CHDN",1
"16","BFNH",1
"17","NMR",1
"18","PLT",1
"19","BIQLF",1
"20","MSON",1
"21","EVSNF",1
"22","CASY",1
"23","SECCF",1
"24","EIO",1
"25","CVVIF",1
"26","AIR",1
"27","CRECF",1
"28","ASGLY",1
"29","CLPBF",1
"30","KBR",1
"31","AIVAF",1
"32","TRC",1
"33","SKLKY",1
"34","RICOY",1
"35","ESKYF",1
"36","MTT",1
"37","MVF",1
"38","GMICF",1
"39","SAN",1
"40","IBM",2
"41","TRV",2
"42","PFE",2
"43","UNH",2
"44","PG",2
"45","MMM",2
"46","NKE",2
"47","CVX",2
"48","UTX",2
"49","AXP",2
"50","MCD",2
"51","DIS",2
"52","KO",2
"53","GE",2
"54","BA",2
"55","CAT",2
"56","^GSPTSE",2
"57","^GSPC",2
"58","^DJI",2
"59","^IXIC",2
"60","^NYA",2
"61","^XAX",2
"62","^RUT",2
"63","USAP",2
"64","EADSF",2
"65","USTC",2
"66","LFC",2
"67","SCHYY",2
"68","DAR",2
"69","RTNTF",2
"70","SYK",2
"71","EMAN",2
"72","CSNVY",2
"73","NDEKF",2
"74","SUUIF",2
"75","TUP",2
"76","OAOFY",2
"77","FRC",2
"78","PWCDF",2
"79","SNYYF",2
"80","SLAB",2
"81","BRK-A",2
"82","HAL",2
"83","LGLBF",2
"84","INTU",2
"85","AVB",2
"86","JCE",2
"87","HI",2
"88","BLX",2
"89","GAM",2
"90","ACM",2
"91","TS",2
"92","AMSYF",2
"93","CM",2
"94","GWLIF",2
"95","GWSAF",2
"96","TRN",2
"97","POWL",2
"98","CBSH",2
"99","TIPT",2
"100","DNBHF",2
"101","ERIE",2
"102","WMT",3
"103","FMC",3
"104","CENX",3
"105","BDRAF",3
"106","CPLP",3
"107","PCG-PE",3
"108","TORZ",3
"109","PKD",3
"110","MFCB",3
"111","VKSC",3
"112","OIS",3
"113","NTII",3
"114","LEDS",3
"115","SMSMY",3
"116","MXC",3
"117","ABGOY",3
"118","MLOOF",3
"119","ARREF",3
"120","ETST",3
"121","GNFTF",3
"122","GGB",3
"123","TTI",3
"124","RSO",3
"125","ASOZF",3
"126","GCAP",3
"127","SSVFF",3
"128","MYE",3
"129","MTNOF",3
"130","RLJ",3
"131","EXK",3
"132","MGDPF",3
"133","VHI",3
"134","CLVS",3
"135","LGSXY",3
"136","ANLDF",3
"137","FOLGF",3
"138","MRK",4
"139","INTC",4
"140","XOM",4
"141","HD",4
"142","JNJ",4
"143","MBT",4
"144","MGI",4
"145","PLOW",4
"146","FLL",4
"147","PODD",4
"148","TTYP",4
"149","PPL",4
"150","EE",4
"151","FSBS",4
"152","PRTK",4
"153","TSU",4
"154","V",5
"155","AAPL",5
"156","MSFT",5
"157","LSDAF",5
"158","GALXF",5
"159","GIFI",5
"160","AKBTY",5
"161","EFSG",5
"162","SCFFF",5
"163","MCHHF",5
"164","MAANF",5
"165","KSBI",5
"166","STKXF",5
"167","INTT",5
"168","LSFG",5
"169","NANX",5
"170","ASUR",5
"171","CNSWF",5
"172","TVFCF",5
"173","BEVS",5
"174","EXLS",5
"175","AZTEF",5
"176","MMNGF",5
"177","JRONY",5
"178","URNXF",5
"179","PRTX",5
"180","ABCFF",5
"181","GNTP",5
"182","CARE",5
"183","LSGOF",5
"184","RKHNF",5
"185","CNGA",5
"186","THAFF",5
"187","FMXUF",5
"188","DIN",5
"189","BNJ",5
"190","AUSVF",5
"191","FPAFY",5
"192","PSPGF",5
"193","CKFC",5
"194","SYDDF",5
"195","PEBK",5
"196","NICK",5
"197","ZFSVF",5
"198","CUAEF",5
"199","SNET",5
"200","AVEO",5
"201","AUDVF",5
"202","TTF",5
"203","KREVF",5
"204","PWEB",5
"205","NKTR",5
"206","ISDCF",5
"207","CZFC",5
"208","WST",5
"209","DLII",5
"210","GOODP",5
"211","WCTXF",5
"212","BURCA",5
"213","JZZI",5
"214","GXSBF",5
"215","NRDEF",5
"216","HPJ",5
"217","HLPCF",5
"218","ATTU",5
"219","CSCO",6
"220","AIG",6
"221","CAL",6
"222","PERY",6
"223","APAM",6
"224","KBH",6
"225","FII",6
"226","TBBK",6
"227","ISNPY",6
"228","RECN",6
"229","THRM",6
"230","UNLRF",6
"231","BEGYF",6
"232","SKHSY",6
"233","PSUD",6
"234","XON",6
"235","NTAP",6
"236","MHGU",6
"237","HMDPF",6
"238","BKMU",6
"239","SXI",6
"240","WASH",6
"241","SINA",6
"242","MLGF",6
"243","TBDYF",6
"244","KLIC",6
"245","GLPI",6
"246","TEI",6
"247","ACXM",6
"248","HNET",6
"249","ARAFF",6
"250","WF",6
"251","CLGX",6
"252","DRRSF",6
"253","BICX",6
"254","SHPMY",6
"255","HRUFF",6
"256","MSA",6
"257","HIG",6
"258","AZPN",6
"259","WFSTF",6
"260","LEN",6
"261","EQC",6
"262","INCKF",6
"263","DOLHF",6
"264","SAPLF",6
"265","IFON",6
"266","SCBH",6
"267","MTLQU",6
"268","SPHS",6
"269","RNR-PC",6
"270","BXBLY",6
"271","AXMIF",6
"272","BACHF",6
"273","GIGNF",6
"274","ENTA",6
"275","HSY",6
"276","WRTBY",6
"277","ACAD",6
"278","CVCO",6
"279","GPX",6
"280","TNSGF",6
"281","SHALY",6
"282","INCM",6
"283","APHB",6
"284","MLYBY",6
"285","GRCU",6
"286","PEXNY",6
"287","FTF",6
"288","CREE",6
"289","IPGP",6
"290","EVR",6
"291","NRBAY",6
"292","DGJI",6
"293","APLVF",6
"294","ENRT",7
"295","EXCC",7
"296","IGPK",7
"297","CXCQ",7
"298","MFCO",7
"299","GRWC",7
"300","BJRI",7
"301","JANL",7
"302","GSMGF",7
"303","CAI",7
"304","AINSF",7
"305","FBVA",7
"306","ANFGF",7
"307","WLTGQ",7
"308","SLFPY",7
"309","MDLXF",7
"310","BCTXF",7
"311","ENTB",7
"312","CLVFA",7
"313","IOBCF",7
"314","PRXM",7
"315","HBIO",7
"316","IEVM",7
"317","SHCAY",7
"318","CRXM",7
"319","MSEZ",7
"320","RGRX",7
"321","K",7
"322","DBRM",7
"323","HCTPF",7
"324","ANDC",7
"325","BLMT",7
"326","JCTCF",7
"327","BOSSY",7
"328","SRNN",7
"329","CKH",7
"330","DLYT",8
"331","SGOO",8
"332","WAC",8
"333","TEVA",8
"334","ARLZ",8
"335","MARZF",8
"336","TWMC",8
"337","LPMDF",8
"338","ITMC",8
"339","CFSU",8
"340","FHBC",8
"341","QRSRF",8
"342","THNRF",8
"343","BOLYY",8
"344","PALAF",8
"345","CTO",8
"346","GFOX",8
"347","AWGI",8
"348","MCCK",8
"349","HLDVF",8
"350","AMRN",8
"351","NWPHF",8
"352","CCLX",8
"353","SCIE",8
"354","ALTAF",8
"355","UCSO",8
"356","VPGDF",8
"357","YGYI",9
"358","SZEVF",9
"359","TATD",9
"360","MPFRY",9
"361","NMIH",9
"362","HXGBF",9
"363","YPPN",9
"364","ALJJ",9
"365","TXSO",9
"366","PEMC",9
"367","CSTM",9
"368","WUHN",9
"369","FMCKP",9
"370","SZC",9
"371","ERKAF",9
"372","CMTB",9
"373","HTBX",9
"374","CHEXF",9
"375","APRI",9
"376","CBAF",9
"377","GME",9
"378","ALRS",9
"379","FFKT",9
"380","ACMC",9
"381","ENHD",9
"382","PGXPF",9
"383","DYNT",9
"384","ATCMF",9
"385","SMTOY",9
"386","SEOTF",9
"387","PVTTF",9
"388","BNKHF",9
"389","ENBP",9
"390","QEPC",9
"391","MMLP",9
"392","IAGX",9
"393","ZVLO",9
"394","AKKVF",9
"395","GLU-PA",9
"396","CCBG",9
"397","OPGX",9
"398","QNTQY",9
"399","BPOSY",9
"400","ARDC",9
"401","BWEN",9
"402","LACDF",9
"403","NUVA",9
"404","AUSI",9
"405","ZMRK",9
"406","FITX",9
"407","CGEI",9
"408","GWLLY",9
"409","AAIGF",9
"410","RBIZ",9
"411","IRMGF",9
"412","ATTBF",9
"413","LGCY",9
"414","NHEGY",9
"415","KLKNF",9
"416","RIGI",9
"417","PHMZF",9
"418","PNCKF",9
"419","JMDA",9
"420","EEGC",9
"421","PSON",9
"422","PCG-PH",9
"423","CTT",9
"424","IGAP",9
"425","ESSE",9
"426","CCNI",9
"427","AGNC",9
"428","DTQ",9
"429","ANTB",9
"430","SKPO",9
"431","GALOF",9
"432","VIAV",9
"433","TFAOF",9
"434","QIWI",9
"435","EEQ",9
"436","SSFN",9
"437","FOSYF",9
"438","AUNB",9
"439","AXPW",9
"440","IFUS",9
"441","GEH",9
"442","EPZM",9
"443","PORTFO",9
"444","SHASF",10
"445","IBWC",10
"446","POTRF",10
"447","NTDOF",10
"448","AIOCF",10
"449","DLNG",10
"450","KALY",10
"451","CPAH",10
"452","TACT",10
"453","OHPB",10
"454","ICABY",10
"455","DEEL",10
"456","GNZR",10
"457","ALIF",10
"458","IMMD",10
"459","NYLD",10
"460","GGTHF",10
"461","CGMBF",10
"462","GERFF",10
"463","LFGP",10
"464","IGEN",10
"465","USEG",10
"466","TPCS",10
"467","SWSSF",10
"468","PPLL",10
"469","IBTX",10
"470","NKRSF",10
"471","INPCF",10
"472","MYD",11
"473","MCA",11
"474","PJH",11
"475","CHWWF",11
"476","AVBH",11
"477","MUH",11
"478","DRKOF",11
"479","NPSNY",11
"480","ZEON",11
"481","BKN",11
"482","BLQN",12
"483","NC",12
