"","Tick_2000-12-14_To_2018-01-29","Membership_2000-12-14_To_2018-01-29"
"1","CPG.L",1
"2","COST.L",1
"3","MRCH.L",1
"4","ADL.L",1
"5","SMP.L",1
"6","RE.L",1
"7","SFR.L",1
"8","CEPS.L",1
"9","TIR.L",1
"10","VSVS.L",1
"11","CEY.L",1
"12","HVE.L",1
"13","BVA.L",1
"14","BAG.L",1
"15","CHAR.L",1
"16","STY.L",1
"17","AV.L",1
"18","MRL.L",1
"19","TRIG.L",1
"20","MGAM.L",1
"21","DJAN.L",1
"22","TRY.L",1
"23","RWA.L",1
"24","CBKD.IL",1
"25","STJ.L",2
"26","SBER.IL",2
"27","BIOG.L",2
"28","PHP.L",2
"29","FENR.L",2
"30","CKN.L",2
"31","DMGT.L",2
"32","CVSG.L",2
"33","RUSP.L",2
"34","HAST.L",2
"35","BRNA.L",2
"36","CPP.L",2
"37","CNE.L",2
"38","IVI.L",2
"39","CGS.L",2
"40","RMV.L",2
"41","BPC.L",2
"42","MMK.IL",2
"43","EKF.L",2
"44","SFI.L",2
"45","HL.L",2
"46","GKP.L",2
"47","SDY.L",2
"48","VOD.L",3
"49","BATS.L",3
"50","CNA.L",3
"51","ULVR.L",3
"52","AFC.L",3
"53","TLW.L",3
"54","USG.L",3
"55","IDEA.L",3
"56","CRPR.L",3
"57","UEN.L",3
"58","AST.L",3
"59","CNC.L",3
"60","NET.L",3
"61","BEM.L",3
"62","EFGD.IL",3
"63","ORCP.L",3
"64","TCN.L",3
"65","CCT.L",3
"66","HVT.L",3
"67","CTI.L",3
"68","DWHA.L",3
"69","PFC.L",3
"70","RRR.L",3
"71","KEFI.L",3
"72","CSFG.L",3
"73","TSCO.L",4
"74","SHP.L",4
"75","HPAC.L",4
"76","CMB.L",4
"77","STI.L",4
"78","SUH.L",4
"79","TAVI.L",4
"80","RICO.L",4
"81","LWDB.L",4
"82","ZOL.L",4
"83","ZYT.L",4
"84","BPM.L",4
"85","TILS.L",4
"86","FLK.L",4
"87","JEL.L",4
"88","CITY.L",4
"89","GOOD.L",4
"90","RCDO.L",4
"91","SML.L",4
"92","POLR.L",4
"93","HAIK.L",4
"94","HEAD.L",4
"95","AGL.L",4
"96","EDR.L",4
"97","AZN.L",4
"98","RPT.L",4
"99","GAW.L",4
"100","CLIN.L",4
"101","MTVW.L",4
"102","GDP.L",4
"103","SEE.L",4
"104","UKR.L",4
"105","ACC.L",4
"106","IDOX.L",4
"107","ACSO.L",4
"108","BXP.L",4
"109","RUR.L",4
"110","SND.L",4
"111","SUMM.L",4
"112","VOF.L",4
"113","ABD.L",4
"114","MERL.L",4
"115","MPO.L",4
"116","SDR.L",5
"117","PSN.L",5
"118","ANTO.L",5
"119","EZJ.L",5
"120","PRU.L",5
"121","HSBA.L",5
"122","WKP.L",5
"123","GFRD.L",5
"124","SST.L",5
"125","LRE.L",5
"126","GTC.L",5
"127","BT-A.L",5
"128","BEZ.L",5
"129","DEB.L",5
"130","ASBE.L",5
"131","MARS.L",5
"132","BBA.L",5
"133","HWDN.L",5
"134","BRW.L",5
"135","KIE.L",5
"136","BLU.L",5
"137","LGEN.L",5
"138","MAB.L",5
"139","HFD.L",5
"140","CBG.L",5
"141","BWY.L",5
"142","CMX.L",6
"143","AIFZ.L",6
"144","ANW.L",6
"145","CRU.L",6
"146","GCL.L",6
"147","CTY.L",6
"148","KIT.L",6
"149","D4OO.L",6
"150","BWO.L",6
"151","VGAS.L",6
"152","SIM.L",6
"153","OGDC.IL",6
"154","FJET.L",6
"155","BWSA.L",6
"156","BP-A.L",6
"157","LPA.L",6
"158","TRS.L",6
"159","HHV.L",6
"160","BZT.L",6
"161","OBT.L",6
"162","CSSG.L",6
"163","BBY.L",6
"164","PROX.L",6
"165","AT2.L",6
"166","RSW.L",6
"167","MAV4.L",6
"168","MCRO.L",6
"169","APC.L",6
"170","PHC.L",6
"171","CYN.L",6
"172","SAG.L",6
"173","CRDA.L",6
"174","SPE.L",6
"175","SCE.L",6
"176","WTR.L",6
"177","THAL.L",6
"178","RUS.L",6
"179","WYG.L",6
"180","MDMG.IL",6
"181","GRPH.L",6
"182","ALBH.IL",6
"183","SOM.L",6
"184","BQAD.IL",7
"185","SGZ.L",7
"186","GRL.L",7
"187","ACA.L",7
"188","RMP.L",7
"189","PXOG.L",7
"190","RNWH.L",7
"191","LSRG.IL",7
"192","ASY.L",7
"193","GLE.L",7
"194","LGT.L",7
"195","CDI.L",7
"196","PCGH.L",7
"197","DFIB.L",7
"198","HVO.L",7
"199","STHR.L",7
"200","FOUR.L",7
"201","SPH.L",7
"202","HDD.L",7
"203","NCC.L",7
"204","IVO.L",7
"205","ETLN.IL",7
"206","UEM.L",7
"207","JKX.L",7
"208","STL.L",7
"209","GRTB.IL",7
"210","CML.L",7
"211","PTD.L",7
"212","SPT.L",7
"213","3IN.L",7
"214","AATG.L",7
"215","BOK.L",7
"216","WOR.L",7
"217","SKY.L",8
"218","CCH.L",8
"219","RTC.L",8
"220","HSL.L",8
"221","NBDX.L",8
"222","SEC.L",8
"223","BMY.L",8
"224","ARGO.L",8
"225","ASPL.L",8
"226","MYI.L",8
"227","AVGR.IL",8
"228","EDV.L",8
"229","BRSC.L",8
"230","TAN.L",8
"231","JMF.L",8
"232","SCP.L",8
"233","PKG.L",8
"234","WEB.L",8
"235","MFX.L",8
"236","ET.L",8
"237","MIG5.L",8
"238","SGGD.IL",8
"239","AAA.L",8
"240","MVI.L",8
"241","LWB.L",8
"242","AGTA.L",8
"243","EAT.L",8
"244","IVPM.L",8
"245","PHTM.L",8
"246","IPE.L",8
"247","SFE.L",8
"248","BVT.L",8
"249","FLOW.L",8
"250","JCH.L",8
"251","EMG.L",8
"252","TET.L",8
"253","NWBD.L",8
"254","BBOX.L",8
"255","PLAZ.L",8
"256","NAS.L",8
"257","INL.L",8
"258","SLN.L",8
"259","JZCP.L",8
"260","CLDN.L",8
"261","MNZS.L",8
"262","ASL.L",8
"263","LTHM.L",8
"264","HYG.L",8
"265","ARO.L",8
"266","ICGT.L",8
"267","MRC.L",8
"268","VIN.L",8
"269","RR.L",9
"270","DLG.L",9
"271","NIPT.L",9
"272","TALK.L",9
"273","VCP.L",9
"274","CPX.L",9
"275","WSG.L",9
"276","ITM.L",9
"277","NBDD.L",9
"278","VAL.L",9
"279","ISAT.L",9
"280","MCT.L",9
"281","WATR.L",9
"282","FTF.L",9
"283","MAI.L",9
"284","88E.L",9
"285","JLH.L",9
"286","IPF.L",9
"287","SHG.L",9
"288","PIM.L",9
"289","PLA.L",9
"290","HYR.L",9
"291","BGS.L",9
"292","ECR.L",9
"293","POS.L",9
"294","DC.L",9
"295","CCPG.L",9
"296","DO1B.L",9
"297","BKY.L",9
"298","NSCI.L",9
"299","LOGP.L",9
"300","DP3D.L",9
"301","EXI.L",9
"302","GRN.L",9
"303","ROSE.L",9
"304","CGH.L",9
"305","FCR.L",9
"306","HER.L",9
"307","TOWN.L",9
"308","JDS.L",9
"309","AFID.IL",9
"310","AFRB.L",9
"311","IMB.L",9
"312","CAMB.L",9
"313","GLB.L",9
"314","DP2E.L",9
"315","ARBB.L",9
"316","BKG.L",9
"317","AAZ.L",9
"318","VENC.L",9
"319","PFG.L",10
"320","SGI.L",10
"321","NCCL.L",10
"322","SWL.L",10
"323","BILN.L",10
"324","SPX.L",10
"325","MIX.L",10
"326","LXB.L",10
"327","AVG.L",10
"328","REAT.L",10
"329","PANR.L",10
"330","CLP.L",10
"331","SOU.L",10
"332","SAF.L",10
"333","URU.L",10
"334","WRES.L",10
"335","OVG.L",10
"336","MTL.L",10
"337","CWR.L",10
"338","BWNG.L",10
"339","BHGU.L",10
"340","OTMT.IL",10
"341","DTG.L",10
"342","BUR.L",10
"343","SLNG.L",10
"344","PGY.L",10
"345","ITQ.L",10
"346","ATYM.L",10
"347","CRL.L",10
"348","WALG.L",10
"349","GVC.L",10
"350","CGI.L",10
"351","CCL.L",11
"352","EXPN.L",11
"353","AHT.L",11
"354","GKN.L",11
"355","RB.L",11
"356","^FTSE",11
"357","JMAT.L",11
"358","DPP.L",11
"359","SMT.L",11
"360","HLMA.L",11
"361","JIM.L",11
"362","STAN.L",11
"363","BA.L",11
"364","BQE.L",11
"365","GSS.L",11
"366","COD.L",11
"367","BOY.L",11
"368","APF.L",11
"369","FCCN.L",11
"370","LGLD.IL",11
"371","CMS.L",11
"372","FIPP.L",11
"373","CNMI.L",11
"374","AMER.L",11
"375","MHID.IL",11
"376","BTG.L",11
"377","PORTFO",11
"378","NAK.L",12
"379","DCI.L",12
"380","TOM.L",12
"381","CLTV.L",12
"382","FCRM.L",12
"383","RDSA.L",13
"384","SSE.L",13
"385","PGR.L",13
"386","PPB.L",13
"387","JUS.L",13
"388","FPM.L",13
"389","ESNT.L",14
"390","GPX.L",14
"391","CAPC.L",14
"392","GCM.L",14
"393","MKS.L",14
"394","R4E.L",14
"395","OEX.L",15
"396","PUM9.L",15
"397","HFG.L",16
"398","SDL.L",16
"399","VLE.L",17
"400","OXT.L",17
"401","POG.L",17
"402","DNLM.L",17
"403","JLIF.L",17
"404","LBOW.L",17
"405","47IE.L",18
"406","LTHP.L",19
"407","53GW.L",20
