"","Tick_2000-12-22_To_2018-02-08","Membership_2000-12-22_To_2018-02-08"
"1","GS",1
"2","C",1
"3","BAC",1
"4","MS",1
"5","ZBK",1
"6","WFC",1
"7","HSBC",1
"8","RBS",1
"9","DB",1
"10","^TNX",1
"11","^TYX",1
"12","^FVX",1
"13","ING",1
"14","MRK",2
"15","TRV",2
"16","PFE",2
"17","UNH",2
"18","PG",2
"19","MMM",2
"20","INTC",2
"21","VZ",2
"22","HD",2
"23","AXP",2
"24","MCD",2
"25","DIS",2
"26","KO",2
"27","JNJ",2
"28","GE",2
"29","^NZ50",2
"30","^MXX",2
"31","^IPSA",2
"32","^DJU",2
"33","^FTSE",3
"34","^HSI",3
"35","^AXJO",3
"36","^AORD",3
"37","^SSEC",3
"38","^ATX",3
"39","^OMXSPI",3
"40","^SSMI",3
"41","V",4
"42","NKE",4
"43","UTX",4
"44","AAPL",4
"45","MSFT",4
"46","JPM",4
"47","BA",4
"48","AIG",4
"49","^GSPC",4
"50","^DJI",4
"51","^IXIC",4
"52","^NYA",4
"53","^RUT",4
"54","MICEXINDEXCF.ME",4
"55","^N225",4
"56","^STI",4
"57","^JKSE",4
"58","^KS11",4
"59","MCILX",4
"60","^XMI",4
"61","^OEX",4
"62","^MID",4
"63","^NBI",4
"64","^NWX",4
"65","^PSE",4
"66","^RUA",4
"67","^RUI",4
"68","SPLK",4
"69","PORTFO",4
"70","1398.HK",5
"71","0939.HK",5
"72","3988.HK",5
"73","3328.HK",5
"74","IBM",6
"75","CSCO",6
"76","TD",6
"77","RY",6
"78","BNS",6
"79","BMO",6
"80","CM",6
"81","CVX",7
"82","XOM",7
"83","WMT",7
"84","^GSPTSE",7
"85","^XAX",7
"86","^KLSE",7
"87","^TWII",7
"88","^BVSP",7
"89","^OSEAX",7
"90","^XAU",7
"91","^GDAXI",8
"92","^FCHI",8
"93","^STOXX50E",8
"94","^N100",8
"95","^BFX",8
"96","^MERV",8
"97","^AEX",8
"98","^BSESN",9
"99","^NSEI",9
