"","Tick_2000-12-18_To_2018-02-12","Membership_2000-12-18_To_2018-02-12"
"1","CEA",1
"2","ZNH",1
"3","VLRS",1
"4","0293.HK",1
"5","REX.AX",1
"6","QAN.AX",1
"7","AIZ.AX",1
"8","AEGN.AT",1
"9","AEROMEX.MX",1
"10","JBLU.MX",1
"11","JETAIRWAYS.NS",1
"12","AQZ.AX",1
"13","1055.HK",1
"14","0753.HK",1
"15","VOLARA.MX",1
"16","0670.HK",1
"17","PORTFO",1
"18","DAL",2
"19","AAL",2
"20","SAVE",2
"21","WJA.TO",2
"22","EIF.TO",2
"23","UAL",2
"24","EZJ.L",2
"25","IAG.L",2
"26","FLYB.L",2
"27","RYA.L",2
"28","VAH.AX",2
"29","UAL.MX",2
"30","GOLL4.SA",2
"31","DAL.MX",2
"32","LUV.MX",2
"33","DTG.L",2
"34","LHA.DU",2
"35","LHA.HA",2
"36","LHA.SG",2
"37","AF.PA",3
"38","LHA.DE",3
"39","LHA.F",3
"40","LHA.BE",3
"41","LHA.MU",3
"42","AB1.MU",4
"43","AB1.DE",4
"44","AB1.HA",4
"45","AB1.DU",4
"46","AB1.SG",4
"47","AB1.BE",4
"48","AB1.F",4
