"","Tick_2000-10-23_To_2018-02-13","Membership_2000-10-23_To_2018-02-13"
"1","AZN.ST",1
"2","ELUX-B.ST",1
"3","GETI-B.ST",1
"4","HM-B.ST",1
"5","INVE-B.ST",1
"6","KINV-B.ST",1
"7","LUPE.ST",1
"8","MTG-B.ST",1
"9","FING-B.ST",1
"10","NDA-SEK.ST",1
"11","SEB-A.ST",1
"12","SKA-B.ST",1
"13","SSAB-A.ST",1
"14","SHB-A.ST",1
"15","SWED-A.ST",1
"16","TELIA.ST",1
"17","ALIV-SDB.ST",1
"18","^OMX",1
"19","PORTFO",1
"20","ABB.ST",2
"21","ALFA.ST",2
"22","ASSA-B.ST",2
"23","ATCO-A.ST",2
"24","ATCO-B.ST",2
"25","BOL.ST",2
"26","ERIC-B.ST",2
"27","SAND.ST",2
"28","SCA-B.ST",2
"29","SECU-B.ST",2
"30","SKF-B.ST",2
"31","SWMA.ST",2
"32","TEL2-B.ST",2
"33","VOLV-B.ST",2
